Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
40,523333333.33333397,22222222222222.355,6666666.666666687,-4.130210286694954e-05,8.105639265025093e-13,1.2732351915514348e-06
41,536666666.66666734,22222222222221.562,6666666.666666567,-3.881340031232567e-05,7.39070243036318e-13,1.2157880103343e-06
42,550000000.0000005,22222222222221.96,6666666.666666627,-3.643706414523077e-05,6.737939094067063e-13,1.1608565022488406e-06
43,563333333.3333337,22222222222221.96,6666666.666666627,-3.4168159747008606e-05,6.142137495759289e-13,1.1083444857768084e-06
44,576666666.666667,22222222222221.96,6666666.666666627,-3.200194076350934e-05,5.598510718793978e-13,1.0581597912219097e-06
45,590000000.0000002,22222222222221.96,6666666.666666627,-2.9933841716051147e-05,5.10265804669865e-13,1.0102136453937504e-06
46,603333333.3333335,22222222222221.96,6666666.666666627,-2.795947169686564e-05,4.650531607920141e-13,9.644201996972213e-07
47,616666666.6666667,22222222222221.96,6666666.666666627,-2.607460888381397e-05,4.2384072804059446e-13,9.206961801165403e-07
48,630000000.0,22222222222221.96,6666666.666666627,-2.427519565269382e-05,3.862859005933024e-13,8.789606368812e-07
49,643333333.3333333,22222222222221.96,6666666.666666627,-2.2557334107347865e-05,3.5207358509806433e-13,8.391347747508315e-07
50,656666666.6666665,22222222222221.96,6666666.666666627,-2.0917281885282243e-05,3.209141279937111e-13,8.011418451107283e-07
51,669999999.9999998,22222222222221.96,6666666.666666627,-1.9351448130214e-05,2.9254142444004295e-13,7.64907085128701e-07
52,683333333.333333,22222222222221.96,6666666.666666627,-1.7856389551001767e-05,2.6671117829049156e-13,7.303576908481098e-07
53,696666666.6666663,22222222222221.96,6666666.666666627,-1.642880650981126e-05,2.4319929043548144e-13,6.974228135578609e-07
54,709999999.9999995,22222222222221.96,6666666.666666627,-1.506553910181027e-05,2.218003588473752e-13,6.660335709968007e-07
55,723333333.3333328,22222222222221.96,6666666.666666627,-1.376356320352484e-05,2.0232627802840953e-13,6.361230667542398e-07
56,736666666.666666,22222222222221.96,6666666.666666627,-1.2519986478966585e-05,1.8460492863133287e-13,6.076264125782105e-07
57,749999999.9999993,22222222222221.96,6666666.666666627,-1.1332044341764875e-05,1.6847895037716819e-13,5.804807496845493e-07
58,763333333.3333325,22222222222221.96,6666666.666666627,-1.0197095877382897e-05,1.5380459331789142e-13,5.546252668566253e-07
59,776666666.6666658,22222222222221.96,6666666.666666627,-9.112619735107504e-06,1.4045064274404477e-13,5.300012127232253e-07
60,789999999.999999,22222222222221.96,6666666.666666627,-8.076210001420523e-06,1.2829741456966455e-13,5.065519017231394e-07
