FeaturesParamTransientDCNNP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.127517) Y,1.489424e+00,1.611037e-23,2.882371e-11
/out0 (Vin=1.138255) Y,1.489657e+00,7.223911e-23,-2.119848e-11
/out0 (Vin=1.148993) Y,1.489884e+00,5.977249e-24,-5.642270e-11
/out0 (Vin=1.159732) Y,1.490106e+00,1.519035e-23,6.383161e-12
/out0 (Vin=1.17047) Y,1.490321e+00,9.256171e-24,-2.131580e-11
/out0 (Vin=1.181208) Y,1.490532e+00,9.440967e-24,-4.234078e-11
/out0 (Vin=1.191946) Y,1.490737e+00,7.274257e-24,-7.738285e-12
/out0 (Vin=1.202685) Y,1.490938e+00,8.550416e-23,-5.473161e-11
/out0 (Vin=1.213423) Y,1.491134e+00,4.339005e-23,8.403914e-11
/out0 (Vin=1.224161) Y,1.491326e+00,4.233222e-24,3.387239e-11
/out0 (Vin=1.234899) Y,1.491514e+00,2.725951e-23,-7.671247e-11
/out0 (Vin=1.245638) Y,1.491697e+00,2.256273e-24,-4.340524e-11
/out0 (Vin=1.256376) Y,1.491877e+00,3.615920e-23,2.798711e-11
/out0 (Vin=1.267114) Y,1.492053e+00,4.929355e-24,-7.814750e-11
/out0 (Vin=1.277852) Y,1.492225e+00,9.201615e-24,-5.326038e-11
/out0 (Vin=1.288591) Y,1.492394e+00,2.021933e-23,-6.007809e-12
/out0 (Vin=1.299329) Y,1.492559e+00,2.401276e-23,6.003009e-11
/out0 (Vin=1.310067) Y,1.492721e+00,1.503023e-23,-5.697788e-11
/out0 (Vin=1.320805) Y,1.492879e+00,2.043570e-23,2.805830e-11
/out0 (Vin=1.331544) Y,1.493034e+00,6.475316e-24,4.788159e-11
/out0 (Vin=1.342282) Y,1.493186e+00,2.060388e-23,-4.096904e-11
/out0 (Vin=1.35302) Y,1.493335e+00,5.026402e-24,-5.531821e-11
/out0 (Vin=1.363758) Y,1.493481e+00,1.761849e-20,-2.098290e-08
/out0 (Vin=1.374497) Y,1.493623e+00,4.536113e-23,-2.832701e-11
/out0 (Vin=1.385235) Y,1.493762e+00,2.418609e-23,1.366201e-11
/out0 (Vin=1.395973) Y,1.493898e+00,1.025898e-23,-1.165376e-11
/out0 (Vin=1.406711) Y,1.494030e+00,3.685632e-24,-2.652978e-11
/out0 (Vin=1.41745) Y,1.494159e+00,1.263822e-23,-8.643755e-11
/out0 (Vin=1.428188) Y,1.494284e+00,1.426344e-23,7.819360e-11
/out0 (Vin=1.438926) Y,1.494405e+00,5.100208e-24,-2.826783e-11
/out0 (Vin=1.449664) Y,1.494522e+00,1.098747e-23,-5.102799e-11
/out0 (Vin=1.460403) Y,1.494633e+00,2.166799e-21,-7.015054e-09
/out0 (Vin=1.471141) Y,1.494739e+00,1.159067e-23,1.800962e-10
/out0 (Vin=1.481879) Y,1.494838e+00,8.225084e-24,-7.893120e-12
/out0 (Vin=1.492617) Y,1.494929e+00,5.354730e-24,7.090088e-12
/out0 (Vin=1.503356) Y,1.495009e+00,1.133932e-20,-1.486460e-08
/out0 (Vin=1.514094) Y,1.495078e+00,3.256012e-22,-2.266077e-09
/out0 (Vin=1.524832) Y,1.495133e+00,1.858167e-23,-4.688573e-10
/out0 (Vin=1.53557) Y,1.495172e+00,1.118753e-23,3.928768e-10
/out0 (Vin=1.546309) Y,1.495197e+00,1.802469e-21,8.413445e-09
/out0 (Vin=1.557047) Y,1.495212e+00,6.637403e-24,4.584213e-10
/out0 (Vin=1.567785) Y,1.495219e+00,1.533652e-24,3.406595e-11
/out0 (Vin=1.578523) Y,1.495222e+00,4.784353e-23,-5.800198e-11
/out0 (Vin=1.589262) Y,1.495223e+00,3.458486e-23,-7.670044e-12
/out0 (Vin=1.6) Y,1.495224e+00,1.427539e-23,7.282513e-10
Stage 2 Output
/out1 (Vin=0) Y,2.497551e-01,6.320204e-19,1.276979e-07
/out1 (Vin=0.01073826) Y,2.497552e-01,5.463218e-18,3.755375e-07
/out1 (Vin=0.02147651) Y,2.497552e-01,2.669151e-18,2.624672e-07
/out1 (Vin=0.03221477) Y,2.497553e-01,1.696279e-20,2.091567e-08
/out1 (Vin=0.04295302) Y,2.497554e-01,6.385058e-17,1.283518e-06
/out1 (Vin=0.05369128) Y,2.497556e-01,5.299701e-16,3.697794e-06
/out1 (Vin=0.06442953) Y,2.497558e-01,4.723869e-16,3.491082e-06
/out1 (Vin=0.07516779) Y,2.497561e-01,4.358055e-16,3.353195e-06
/out1 (Vin=0.08590604) Y,2.497564e-01,2.358657e-12,2.467105e-04
/out1 (Vin=0.0966443) Y,2.497571e-01,7.520201e-14,4.404812e-05
/out1 (Vin=0.1073826) Y,2.497579e-01,1.251963e-13,5.683489e-05
/out1 (Vin=0.1181208) Y,2.497590e-01,6.511597e-18,4.098538e-07
/out1 (Vin=0.1288591) Y,2.497605e-01,3.426670e-16,2.973135e-06
/out1 (Vin=0.1395973) Y,2.497626e-01,2.275543e-16,2.423082e-06
