FeaturesParamTransientDCPPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.2791946) Y,7.503370e-02,8.454379e-26,3.575086e-12
/out1 (Vin=0.2899329) Y,7.503370e-02,5.291707e-25,1.309281e-11
/out1 (Vin=0.3006711) Y,7.503370e-02,1.835422e-23,6.913690e-10
/out1 (Vin=0.3114094) Y,7.503370e-02,1.793452e-25,4.705938e-12
/out1 (Vin=0.3221477) Y,7.503370e-02,1.130448e-25,6.624761e-12
/out1 (Vin=0.3328859) Y,7.503370e-02,1.102927e-25,-3.510986e-13
/out1 (Vin=0.3436242) Y,7.503370e-02,5.670507e-26,6.626418e-12
/out1 (Vin=0.3543624) Y,7.503370e-02,1.379405e-25,1.490443e-11
/out1 (Vin=0.3651007) Y,7.503370e-02,5.830223e-26,2.680180e-12
/out1 (Vin=0.3758389) Y,7.503370e-02,5.342595e-24,3.586658e-10
/out1 (Vin=0.3865772) Y,7.503370e-02,6.742593e-25,1.511843e-11
/out1 (Vin=0.3973154) Y,7.503370e-02,8.160670e-26,1.365793e-11
/out1 (Vin=0.4080537) Y,7.503370e-02,4.844412e-25,1.307096e-12
/out1 (Vin=0.4187919) Y,7.503370e-02,8.358024e-25,-5.622468e-12
/out1 (Vin=0.4295302) Y,7.503370e-02,5.385003e-25,-1.042594e-12
/out1 (Vin=0.4402685) Y,7.503370e-02,2.337741e-26,1.201748e-11
/out1 (Vin=0.4510067) Y,7.503370e-02,1.522845e-25,2.004104e-11
/out1 (Vin=0.461745) Y,7.503370e-02,1.819686e-25,1.050078e-11
/out1 (Vin=0.4724832) Y,7.503370e-02,3.105610e-25,9.406183e-12
/out1 (Vin=0.4832215) Y,7.503370e-02,4.375071e-25,3.338438e-11
/out1 (Vin=0.4939597) Y,7.503354e-02,3.712474e-12,3.096438e-04
/out1 (Vin=0.504698) Y,7.503370e-02,1.012341e-25,8.392208e-12
/out1 (Vin=0.5154362) Y,7.503370e-02,1.240890e-25,9.606845e-12
/out1 (Vin=0.5261745) Y,7.503370e-02,2.723323e-25,2.725510e-12
/out1 (Vin=0.5369128) Y,7.503370e-02,1.609107e-25,1.021983e-11
/out1 (Vin=0.547651) Y,7.503370e-02,1.276501e-25,1.793578e-11
/out1 (Vin=0.5583893) Y,7.503370e-02,1.758593e-24,2.569662e-11
/out1 (Vin=0.5691275) Y,7.503370e-02,1.528195e-25,2.144410e-11
/out1 (Vin=0.5798658) Y,7.503370e-02,2.458458e-25,2.055351e-11
/out1 (Vin=0.590604) Y,7.503370e-02,1.098802e-24,3.526343e-11
/out1 (Vin=0.6013423) Y,7.503370e-02,5.234393e-26,2.515231e-11
/out1 (Vin=0.6120805) Y,7.503370e-02,5.378489e-26,2.751596e-11
/out1 (Vin=0.6228188) Y,7.503371e-02,1.836713e-25,3.026152e-11
/out1 (Vin=0.633557) Y,7.503371e-02,2.734522e-25,3.396096e-11
/out1 (Vin=0.6442953) Y,7.503371e-02,1.362128e-24,1.762324e-11
/out1 (Vin=0.6550336) Y,7.503371e-02,8.323143e-23,1.469443e-09
/out1 (Vin=0.6657718) Y,7.503371e-02,4.299856e-26,2.202161e-12
/out1 (Vin=0.6765101) Y,7.503371e-02,2.110853e-25,4.968802e-12
/out1 (Vin=0.6872483) Y,7.503371e-02,3.264037e-25,4.103265e-12
/out1 (Vin=0.6979866) Y,7.503371e-02,2.615926e-26,1.035175e-11
/out1 (Vin=0.7087248) Y,7.503371e-02,1.961818e-25,8.206050e-12
/out1 (Vin=0.7194631) Y,7.503371e-02,2.184257e-25,2.766528e-14
/out1 (Vin=0.7302013) Y,7.503371e-02,2.943431e-25,2.295483e-12
/out1 (Vin=0.7409396) Y,7.503372e-02,1.043242e-25,7.782850e-12
/out1 (Vin=0.7516779) Y,7.503372e-02,5.266334e-25,1.054484e-10
/out1 (Vin=0.7624161) Y,7.503372e-02,1.351539e-24,1.135538e-10
/out1 (Vin=0.7731544) Y,7.503372e-02,9.151154e-26,-2.188959e-12
/out1 (Vin=0.7838926) Y,7.503372e-02,3.886300e-26,5.506753e-12
/out1 (Vin=0.7946309) Y,7.503372e-02,9.885402e-26,3.916876e-12
/out1 (Vin=0.8053691) Y,7.503372e-02,5.107035e-26,2.998799e-12
/out1 (Vin=0.8161074) Y,7.503372e-02,1.908265e-25,7.502957e-12
/out1 (Vin=0.8268456) Y,7.503373e-02,2.563934e-25,-1.630843e-12
/out1 (Vin=0.8375839) Y,7.503373e-02,2.861248e-24,2.665450e-10
/out1 (Vin=0.8483221) Y,7.503373e-02,3.462282e-24,2.945515e-10
/out1 (Vin=0.8590604) Y,7.503373e-02,4.720379e-24,3.231413e-10
/out1 (Vin=0.8697987) Y,7.503373e-02,4.301647e-25,3.723847e-11
/out1 (Vin=0.8805369) Y,7.503373e-02,6.084937e-24,3.883683e-10
/out1 (Vin=0.8912752) Y,7.503373e-02,6.105062e-23,1.244767e-09
/out1 (Vin=0.9020134) Y,7.503374e-02,9.711008e-24,4.887148e-10
/out1 (Vin=0.9127517) Y,7.503374e-02,5.975425e-24,3.117903e-10
/out1 (Vin=0.9234899) Y,7.503374e-02,1.223196e-23,5.633573e-10
/out1 (Vin=0.9342282) Y,7.503374e-02,1.425673e-23,5.928091e-10
/out1 (Vin=0.9449664) Y,7.503374e-02,1.783037e-23,6.801305e-10
/out1 (Vin=0.9557047) Y,7.503374e-02,2.770922e-25,5.481853e-11
/out1 (Vin=0.966443) Y,7.503374e-02,2.210479e-22,2.377477e-09
/out1 (Vin=0.9771812) Y,7.503375e-02,2.840655e-23,8.554012e-10
/out1 (Vin=0.9879195) Y,7.503375e-02,5.533178e-26,-1.166360e-11
/out1 (Vin=0.9986577) Y,7.503375e-02,6.299496e-25,1.220336e-10
/out1 (Vin=1.009396) Y,7.503375e-02,5.277476e-26,1.335441e-12
/out1 (Vin=1.020134) Y,7.503375e-02,5.223362e-26,6.306661e-12
/out1 (Vin=1.030872) Y,7.503375e-02,4.180444e-25,-4.471394e-12
/out1 (Vin=1.041611) Y,7.503375e-02,5.301249e-26,4.699220e-12
/out1 (Vin=1.052349) Y,7.503375e-02,1.071606e-24,-1.648544e-11
/out1 (Vin=1.063087) Y,7.503375e-02,8.710523e-25,-1.715318e-11
/out1 (Vin=1.073826) Y,7.503375e-02,9.880118e-22,5.060588e-09
/out1 (Vin=1.084564) Y,7.503375e-02,1.688552e-25,-3.336402e-12
/out1 (Vin=1.095302) Y,7.503375e-02,7.787448e-26,2.770739e-12
/out1 (Vin=1.10604) Y,7.503376e-02,6.146866e-23,1.245034e-09
/out1 (Vin=1.116779) Y,7.503376e-02,3.677432e-23,9.749322e-10
/out1 (Vin=1.127517) Y,7.503376e-02,1.537431e-22,2.003075e-09
/out1 (Vin=1.138255) Y,7.503376e-02,3.957791e-23,9.862193e-10
/out1 (Vin=1.148993) Y,7.503376e-02,1.096553e-25,-6.201078e-13
/out1 (Vin=1.159732) Y,7.503376e-02,4.017138e-22,3.226947e-09
/out1 (Vin=1.17047) Y,7.503376e-02,9.818421e-26,6.224675e-12
