FeaturesParamTransientDCAAP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.6872483) Y,1.412614e+00,6.323670e-23,2.965512e-11
/out1 (Vin=0.6979866) Y,1.412614e+00,5.021206e-23,-1.251380e-10
/out1 (Vin=0.7087248) Y,1.412614e+00,3.252678e-23,-1.184643e-11
/out1 (Vin=0.7194631) Y,1.412614e+00,4.948208e-23,3.464620e-11
/out1 (Vin=0.7302013) Y,1.412614e+00,4.410646e-22,1.195565e-08
/out1 (Vin=0.7409396) Y,1.412614e+00,1.907101e-23,1.283646e-10
/out1 (Vin=0.7516779) Y,1.412614e+00,1.186328e-23,-4.941961e-11
/out1 (Vin=0.7624161) Y,1.412614e+00,4.688064e-23,-4.982558e-11
/out1 (Vin=0.7731544) Y,1.412614e+00,5.881399e-23,1.300171e-10
/out1 (Vin=0.7838926) Y,1.412614e+00,6.887995e-23,-3.945733e-11
/out1 (Vin=0.7946309) Y,1.412614e+00,1.789613e-20,8.579157e-08
/out1 (Vin=0.8053691) Y,1.412614e+00,9.798555e-23,3.630326e-10
/out1 (Vin=0.8161074) Y,1.412614e+00,1.169591e-21,1.870141e-08
/out1 (Vin=0.8268456) Y,1.412614e+00,6.694796e-23,-6.628507e-10
/out1 (Vin=0.8375839) Y,1.412614e+00,4.619198e-22,1.250415e-08
/out1 (Vin=0.8483221) Y,1.412614e+00,4.547002e-21,3.984589e-08
/out1 (Vin=0.8590604) Y,1.412614e+00,1.350436e-22,6.346336e-11
/out1 (Vin=0.8697987) Y,1.412614e+00,2.824752e-22,-7.136699e-11
/out1 (Vin=0.8805369) Y,1.412614e+00,2.801002e-22,2.189435e-10
/out1 (Vin=0.8912752) Y,1.412614e+00,2.137068e-22,1.379480e-10
/out1 (Vin=0.9020134) Y,1.412614e+00,1.297848e-22,1.245765e-10
/out1 (Vin=0.9127517) Y,1.412614e+00,4.155836e-23,2.081441e-10
/out1 (Vin=0.9234899) Y,1.412614e+00,7.294668e-23,-1.383303e-12
/out1 (Vin=0.9342282) Y,1.412614e+00,3.844928e-22,7.092574e-11
/out1 (Vin=0.9449664) Y,1.412614e+00,2.721982e-23,3.865715e-10
/out1 (Vin=0.9557047) Y,1.412614e+00,1.751472e-23,3.302223e-10
/out1 (Vin=0.966443) Y,1.412614e+00,1.015044e-22,3.078080e-10
/out1 (Vin=0.9771812) Y,1.412614e+00,3.967768e-22,8.155281e-11
/out1 (Vin=0.9879195) Y,1.412614e+00,3.315492e-22,-5.599953e-11
/out1 (Vin=0.9986577) Y,1.412614e+00,1.693911e-22,5.670256e-10
/out1 (Vin=1.009396) Y,1.412614e+00,6.902594e-23,1.822604e-10
/out1 (Vin=1.020134) Y,1.412614e+00,1.730645e-23,2.109125e-10
/out1 (Vin=1.030872) Y,1.412614e+00,3.978516e-23,4.747495e-11
/out1 (Vin=1.041611) Y,1.412614e+00,2.867215e-22,2.030319e-11
/out1 (Vin=1.052349) Y,1.412614e+00,3.226307e-22,-1.095887e-10
/out1 (Vin=1.063087) Y,1.412614e+00,1.237586e-20,1.062104e-07
/out1 (Vin=1.073826) Y,1.412614e+00,1.092042e-22,1.050423e-10
/out1 (Vin=1.084564) Y,1.412614e+00,3.728166e-22,4.680011e-10
/out1 (Vin=1.095302) Y,1.412614e+00,3.870318e-23,2.024644e-10
/out1 (Vin=1.10604) Y,1.412614e+00,3.846113e-23,2.556101e-10
/out1 (Vin=1.116779) Y,1.412614e+00,2.106496e-22,3.049339e-10
/out1 (Vin=1.127517) Y,1.412614e+00,7.728503e-23,8.273440e-11
/out1 (Vin=1.138255) Y,1.412614e+00,7.317297e-23,1.875631e-10
/out1 (Vin=1.148993) Y,1.412614e+00,9.858144e-23,2.607317e-10
/out1 (Vin=1.159732) Y,1.412614e+00,1.209882e-22,2.082342e-09
/out1 (Vin=1.17047) Y,1.412614e+00,5.588271e-23,1.593243e-10
/out1 (Vin=1.181208) Y,1.412614e+00,1.062118e-22,-7.128487e-12
/out1 (Vin=1.191946) Y,1.412614e+00,1.110150e-22,2.530630e-10
/out1 (Vin=1.202685) Y,1.412614e+00,2.714939e-23,2.250918e-11
/out1 (Vin=1.213423) Y,1.412614e+00,2.063763e-22,2.589008e-10
/out1 (Vin=1.224161) Y,1.412614e+00,1.424634e-22,1.820763e-10
/out1 (Vin=1.234899) Y,1.412614e+00,1.827194e-20,8.652054e-08
/out1 (Vin=1.245638) Y,1.412614e+00,7.512342e-23,1.031592e-10
/out1 (Vin=1.256376) Y,1.412614e+00,9.628207e-23,1.866478e-10
/out1 (Vin=1.267114) Y,1.412614e+00,1.145014e-22,-1.327766e-10
/out1 (Vin=1.277852) Y,1.412614e+00,2.534986e-22,1.954794e-11
/out1 (Vin=1.288591) Y,1.412614e+00,1.661167e-22,3.623305e-10
/out1 (Vin=1.299329) Y,1.412614e+00,2.885137e-22,1.509092e-08
/out1 (Vin=1.310067) Y,1.412614e+00,3.727181e-20,1.834910e-07
/out1 (Vin=1.320805) Y,1.412614e+00,9.399732e-21,6.227712e-08
/out1 (Vin=1.331544) Y,1.412614e+00,1.401249e-22,2.408625e-10
/out1 (Vin=1.342282) Y,1.412614e+00,2.198339e-22,-5.183466e-11
/out1 (Vin=1.35302) Y,1.412614e+00,7.781622e-23,-1.830848e-10
/out1 (Vin=1.363758) Y,1.412614e+00,2.573631e-23,2.314621e-10
/out1 (Vin=1.374497) Y,1.412614e+00,1.180378e-23,6.144554e-11
/out1 (Vin=1.385235) Y,1.412614e+00,9.431198e-23,1.995587e-10
/out1 (Vin=1.395973) Y,1.412614e+00,1.507316e-22,1.848777e-10
/out1 (Vin=1.406711) Y,1.412614e+00,2.039231e-23,7.052424e-11
/out1 (Vin=1.41745) Y,1.412614e+00,4.507132e-20,1.367130e-07
/out1 (Vin=1.428188) Y,1.412614e+00,6.367582e-23,1.456990e-10
/out1 (Vin=1.438926) Y,1.412614e+00,4.596130e-13,-1.089185e-04
/out1 (Vin=1.449664) Y,1.412614e+00,1.537146e-22,1.026661e-10
/out1 (Vin=1.460403) Y,1.412614e+00,3.912701e-22,1.807480e-08
/out1 (Vin=1.471141) Y,1.412614e+00,4.760403e-22,1.408650e-09
/out1 (Vin=1.481879) Y,1.412614e+00,5.424675e-23,9.826159e-11
/out1 (Vin=1.492617) Y,1.412614e+00,5.189503e-21,4.549716e-08
/out1 (Vin=1.503356) Y,1.412614e+00,6.910739e-23,1.102043e-09
/out1 (Vin=1.514094) Y,1.412614e+00,2.331703e-22,8.278265e-09
/out1 (Vin=1.524832) Y,1.412614e+00,6.095961e-22,1.653565e-10
/out1 (Vin=1.53557) Y,1.412614e+00,4.337978e-22,1.141447e-10
/out1 (Vin=1.546309) Y,1.412614e+00,3.057831e-23,2.775937e-10
/out1 (Vin=1.557047) Y,1.412614e+00,1.382878e-22,-1.028072e-10
/out1 (Vin=1.567785) Y,1.412614e+00,7.550056e-22,4.608290e-10
/out1 (Vin=1.578523) Y,1.412614e+00,5.342368e-23,5.132962e-11
/out1 (Vin=1.589262) Y,1.412614e+00,4.905511e-22,-2.013873e-10
/out1 (Vin=1.6) Y,1.412614e+00,5.720760e-23,2.246952e-10
Stage 3 Output
/out2 (Vin=0) Y,7.503504e-02,2.734460e-22,2.664304e-09
/out2 (Vin=0.01073826) Y,7.503507e-02,1.040483e-13,-5.197081e-05
/out2 (Vin=0.02147651) Y,7.503503e-02,1.592561e-14,2.034440e-05
/out2 (Vin=0.03221477) Y,7.503504e-02,2.652060e-25,9.911810e-12
/out2 (Vin=0.04295302) Y,7.503504e-02,4.763232e-26,-2.902334e-13
/out2 (Vin=0.05369128) Y,7.503504e-02,9.015102e-26,2.109963e-11
/out2 (Vin=0.06442953) Y,7.503504e-02,1.775566e-26,2.882267e-12
/out2 (Vin=0.07516779) Y,7.503504e-02,1.786350e-26,-8.023081e-13
/out2 (Vin=0.08590604) Y,7.503504e-02,4.504452e-22,3.418230e-09
/out2 (Vin=0.0966443) Y,7.503504e-02,3.525891e-25,4.654387e-12
/out2 (Vin=0.1073826) Y,7.503504e-02,5.996862e-25,1.173071e-10
/out2 (Vin=0.1181208) Y,7.503504e-02,1.598346e-25,-9.842747e-14
/out2 (Vin=0.1288591) Y,7.503504e-02,7.219200e-26,3.425291e-12
/out2 (Vin=0.1395973) Y,7.503504e-02,8.857090e-26,5.073600e-12
/out2 (Vin=0.1503356) Y,7.503504e-02,2.937654e-25,-7.580910e-12
/out2 (Vin=0.1610738) Y,7.503504e-02,1.238944e-25,1.661730e-11
