FeaturesParamTransientDCANN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.406711) Y,1.434703e+00,1.008403e-22,2.532801e-10
/out0 (Vin=1.41745) Y,1.434703e+00,9.200999e-23,-1.416048e-10
/out0 (Vin=1.428188) Y,1.434703e+00,1.065461e-22,5.583323e-11
/out0 (Vin=1.438926) Y,1.434703e+00,3.943529e-23,2.356011e-10
/out0 (Vin=1.449664) Y,1.434703e+00,2.047720e-22,3.071485e-10
/out0 (Vin=1.460403) Y,1.434703e+00,8.872042e-23,1.265291e-10
/out0 (Vin=1.471141) Y,1.434703e+00,7.612574e-23,-3.129176e-11
/out0 (Vin=1.481879) Y,1.434703e+00,1.779738e-23,3.478689e-11
/out0 (Vin=1.492617) Y,1.434703e+00,2.079938e-22,1.571486e-10
/out0 (Vin=1.503356) Y,1.434703e+00,2.075604e-23,-1.184619e-10
/out0 (Vin=1.514094) Y,1.434703e+00,3.264694e-23,3.786527e-11
/out0 (Vin=1.524832) Y,1.434703e+00,3.337006e-23,-7.377383e-11
/out0 (Vin=1.53557) Y,1.434703e+00,2.522106e-23,9.782012e-11
/out0 (Vin=1.546309) Y,1.434703e+00,7.075557e-23,1.475792e-10
/out0 (Vin=1.557047) Y,1.434703e+00,2.368111e-23,-3.477479e-11
/out0 (Vin=1.567785) Y,1.434703e+00,2.833717e-23,3.135020e-10
/out0 (Vin=1.578523) Y,1.434703e+00,2.591097e-22,9.321190e-11
/out0 (Vin=1.589262) Y,1.434704e+00,3.845625e-23,-4.917563e-11
/out0 (Vin=1.6) Y,1.434704e+00,4.033278e-23,-1.270355e-10
Stage 2 Output
/out1 (Vin=0) Y,2.476777e-01,6.004373e-23,-7.311285e-11
/out1 (Vin=0.01073826) Y,2.476777e-01,4.920113e-22,-1.513321e-10
/out1 (Vin=0.02147651) Y,2.476777e-01,3.514703e-18,3.014223e-07
/out1 (Vin=0.03221477) Y,2.476777e-01,3.238867e-15,9.141371e-06
/out1 (Vin=0.04295302) Y,2.476777e-01,2.114452e-17,7.386901e-07
/out1 (Vin=0.05369128) Y,2.476777e-01,2.867521e-16,2.720006e-06
/out1 (Vin=0.06442953) Y,2.476777e-01,3.952946e-16,3.193406e-06
/out1 (Vin=0.07516779) Y,2.476777e-01,2.760489e-16,2.668887e-06
/out1 (Vin=0.08590604) Y,2.476776e-01,2.202455e-12,2.384112e-04
/out1 (Vin=0.0966443) Y,2.476777e-01,2.715368e-16,2.646778e-06
/out1 (Vin=0.1073826) Y,2.476777e-01,4.608630e-14,3.448377e-05
/out1 (Vin=0.1181208) Y,2.476777e-01,3.853217e-15,9.970951e-06
/out1 (Vin=0.1288591) Y,2.476777e-01,8.421032e-23,9.828219e-11
/out1 (Vin=0.1395973) Y,2.476777e-01,1.095626e-21,4.975271e-09
/out1 (Vin=0.1503356) Y,2.476777e-01,3.189846e-22,2.132276e-09
/out1 (Vin=0.1610738) Y,2.476777e-01,2.668203e-23,-9.342445e-12
/out1 (Vin=0.1718121) Y,2.476777e-01,1.025490e-22,-4.927192e-11
/out1 (Vin=0.1825503) Y,2.476777e-01,1.063909e-22,-8.493213e-11
/out1 (Vin=0.1932886) Y,2.476777e-01,1.169489e-22,4.972611e-11
/out1 (Vin=0.2040268) Y,2.476778e-01,1.352393e-23,-3.367919e-11
/out1 (Vin=0.2147651) Y,2.476778e-01,2.085551e-23,9.839398e-11
/out1 (Vin=0.2255034) Y,2.476778e-01,7.637139e-19,1.402257e-07
/out1 (Vin=0.2362416) Y,2.476779e-01,3.014211e-23,-2.164348e-10
/out1 (Vin=0.2469799) Y,2.476779e-01,4.537383e-22,1.995741e-10
/out1 (Vin=0.2577181) Y,2.476780e-01,4.265517e-23,7.057252e-11
/out1 (Vin=0.2684564) Y,2.476780e-01,9.869107e-23,3.360799e-10
/out1 (Vin=0.2791946) Y,2.476781e-01,4.275968e-20,3.323657e-08
/out1 (Vin=0.2899329) Y,2.476783e-01,1.929097e-22,1.093186e-10
/out1 (Vin=0.3006711) Y,2.476784e-01,2.467281e-23,-1.671184e-10
/out1 (Vin=0.3114094) Y,2.476786e-01,5.333277e-18,3.709402e-07
/out1 (Vin=0.3221477) Y,2.476788e-01,9.914594e-23,-1.124840e-10
/out1 (Vin=0.3328859) Y,2.476791e-01,4.999507e-23,-1.171159e-10
/out1 (Vin=0.3436242) Y,2.476794e-01,6.272462e-20,4.031323e-08
/out1 (Vin=0.3543624) Y,2.476798e-01,5.813127e-23,4.729473e-11
