FeaturesParamTransientDCAPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.4402685) Y,7.503515e-02,2.850090e-17,8.575957e-07
/out1 (Vin=0.4510067) Y,7.503515e-02,4.171254e-26,4.346047e-12
/out1 (Vin=0.461745) Y,7.503516e-02,5.422738e-26,3.017791e-12
/out1 (Vin=0.4724832) Y,7.503517e-02,2.899597e-26,7.933727e-12
/out1 (Vin=0.4832215) Y,7.503518e-02,1.265468e-25,3.152326e-12
/out1 (Vin=0.4939597) Y,7.503520e-02,2.499529e-25,1.181370e-11
/out1 (Vin=0.504698) Y,7.503523e-02,1.302142e-17,5.796675e-07
/out1 (Vin=0.5154362) Y,7.503530e-02,1.565407e-25,5.197734e-12
/out1 (Vin=0.5261745) Y,7.503543e-02,2.015906e-25,1.260501e-11
/out1 (Vin=0.5369128) Y,7.503562e-02,4.132149e-26,9.560366e-12
/out1 (Vin=0.547651) Y,7.503589e-02,2.311650e-26,3.165045e-12
/out1 (Vin=0.5583893) Y,7.503627e-02,1.046748e-24,-1.210803e-11
/out1 (Vin=0.5691275) Y,7.503684e-02,1.546707e-25,9.097868e-13
/out1 (Vin=0.5798658) Y,7.503777e-02,1.925327e-25,7.157703e-12
/out1 (Vin=0.590604) Y,7.503963e-02,8.250395e-26,1.098364e-11
/out1 (Vin=0.6013423) Y,7.504605e-02,2.908676e-26,7.432309e-12
/out1 (Vin=0.6120805) Y,7.550127e-02,8.473961e-20,4.675341e-08
/out1 (Vin=0.6228188) Y,9.601535e-02,2.748421e-24,1.694967e-10
/out1 (Vin=0.633557) Y,9.642662e-02,3.638065e-25,-1.155725e-11
/out1 (Vin=0.6442953) Y,9.642872e-02,1.828024e-25,2.115853e-10
/out1 (Vin=0.6550336) Y,9.642886e-02,1.890244e-25,1.386345e-11
/out1 (Vin=0.6657718) Y,9.642890e-02,1.038450e-25,3.894902e-13
/out1 (Vin=0.6765101) Y,9.642892e-02,2.732312e-24,-8.248178e-12
/out1 (Vin=0.6872483) Y,9.642894e-02,1.779160e-25,1.494352e-11
/out1 (Vin=0.6979866) Y,9.642895e-02,6.755035e-25,-7.831473e-12
/out1 (Vin=0.7087248) Y,9.642896e-02,1.482738e-25,2.154243e-11
/out1 (Vin=0.7194631) Y,9.642897e-02,2.234179e-25,8.538361e-13
/out1 (Vin=0.7302013) Y,9.642898e-02,2.427843e-24,1.737345e-11
/out1 (Vin=0.7409396) Y,9.642898e-02,2.493641e-25,1.629163e-12
/out1 (Vin=0.7516779) Y,9.642899e-02,8.700255e-24,1.193332e-10
/out1 (Vin=0.7624161) Y,9.642899e-02,2.189024e-25,7.338910e-11
/out1 (Vin=0.7731544) Y,9.642899e-02,1.703350e-25,4.952905e-13
/out1 (Vin=0.7838926) Y,9.642900e-02,4.071083e-25,-2.353338e-12
/out1 (Vin=0.7946309) Y,9.642900e-02,3.553541e-25,2.334392e-11
/out1 (Vin=0.8053691) Y,9.642900e-02,7.380584e-25,2.545365e-11
/out1 (Vin=0.8161074) Y,9.642900e-02,2.064071e-24,1.387482e-10
/out1 (Vin=0.8268456) Y,9.642901e-02,1.760008e-24,7.037056e-12
/out1 (Vin=0.8375839) Y,9.642901e-02,5.807560e-25,-7.459636e-12
/out1 (Vin=0.8483221) Y,9.642901e-02,1.464262e-25,7.507346e-11
/out1 (Vin=0.8590604) Y,9.642901e-02,1.870627e-24,1.657989e-11
/out1 (Vin=0.8697987) Y,9.642901e-02,8.538749e-25,1.841291e-11
/out1 (Vin=0.8805369) Y,9.642901e-02,8.078025e-26,1.387378e-11
/out1 (Vin=0.8912752) Y,9.642901e-02,2.167509e-25,1.149615e-11
/out1 (Vin=0.9020134) Y,9.642902e-02,1.216750e-25,5.372667e-12
/out1 (Vin=0.9127517) Y,9.642902e-02,5.225260e-25,1.118525e-11
/out1 (Vin=0.9234899) Y,9.642902e-02,3.748041e-25,4.889318e-13
/out1 (Vin=0.9342282) Y,9.642902e-02,6.218355e-25,-1.569446e-11
/out1 (Vin=0.9449664) Y,9.642902e-02,3.289587e-25,5.687776e-12
/out1 (Vin=0.9557047) Y,9.642902e-02,5.598386e-25,-4.839812e-12
/out1 (Vin=0.966443) Y,9.642902e-02,1.108810e-25,7.802683e-12
/out1 (Vin=0.9771812) Y,9.642902e-02,1.921423e-25,-4.726402e-12
/out1 (Vin=0.9879195) Y,9.642902e-02,5.704259e-25,7.341877e-12
/out1 (Vin=0.9986577) Y,9.642902e-02,1.117084e-24,1.336034e-11
/out1 (Vin=1.009396) Y,9.642902e-02,1.632574e-25,2.294587e-10
/out1 (Vin=1.020134) Y,9.642902e-02,7.635549e-25,-2.878398e-12
/out1 (Vin=1.030872) Y,9.642902e-02,7.411752e-25,-9.449976e-12
/out1 (Vin=1.041611) Y,9.642902e-02,3.429424e-25,1.719833e-10
/out1 (Vin=1.052349) Y,9.642902e-02,3.383090e-24,2.082776e-11
/out1 (Vin=1.063087) Y,9.642902e-02,4.702349e-25,1.039494e-11
/out1 (Vin=1.073826) Y,9.642902e-02,2.531814e-24,-7.002470e-12
/out1 (Vin=1.084564) Y,9.642903e-02,2.919173e-24,-9.767432e-12
/out1 (Vin=1.095302) Y,9.642903e-02,5.524293e-25,1.321187e-11
/out1 (Vin=1.10604) Y,9.642903e-02,9.332355e-25,7.362291e-12
/out1 (Vin=1.116779) Y,9.642903e-02,1.406178e-25,6.207456e-11
/out1 (Vin=1.127517) Y,9.642903e-02,1.758923e-24,2.793534e-11
/out1 (Vin=1.138255) Y,9.642903e-02,1.476771e-24,7.199782e-12
/out1 (Vin=1.148993) Y,9.642903e-02,1.102576e-24,1.698206e-11
/out1 (Vin=1.159732) Y,9.642903e-02,3.251158e-24,-2.043897e-11
/out1 (Vin=1.17047) Y,9.642903e-02,4.229190e-25,2.001706e-12
/out1 (Vin=1.181208) Y,9.642903e-02,3.170559e-25,7.285715e-12
/out1 (Vin=1.191946) Y,9.642903e-02,1.719750e-25,-1.193698e-11
/out1 (Vin=1.202685) Y,9.642903e-02,1.912104e-25,-5.119049e-12
/out1 (Vin=1.213423) Y,9.642903e-02,2.084709e-24,-1.628559e-11
/out1 (Vin=1.224161) Y,9.642903e-02,3.581944e-25,2.492301e-11
/out1 (Vin=1.234899) Y,9.642903e-02,2.062333e-25,-8.458365e-12
/out1 (Vin=1.245638) Y,9.642903e-02,1.011730e-23,3.580727e-11
/out1 (Vin=1.256376) Y,9.642903e-02,1.052328e-25,3.103735e-12
/out1 (Vin=1.267114) Y,9.642903e-02,1.061655e-25,9.817483e-12
/out1 (Vin=1.277852) Y,9.642903e-02,3.110592e-25,1.671775e-10
/out1 (Vin=1.288591) Y,9.642903e-02,3.487438e-25,8.725667e-11
/out1 (Vin=1.299329) Y,9.642903e-02,5.833866e-25,9.422632e-12
/out1 (Vin=1.310067) Y,9.642903e-02,2.827559e-25,1.916032e-10
/out1 (Vin=1.320805) Y,9.642903e-02,1.837045e-24,1.763100e-11
/out1 (Vin=1.331544) Y,9.642903e-02,6.209625e-25,7.048316e-12
/out1 (Vin=1.342282) Y,9.642903e-02,8.412744e-25,2.311216e-11
/out1 (Vin=1.35302) Y,9.642903e-02,1.851311e-18,2.185454e-07
/out1 (Vin=1.363758) Y,9.642903e-02,2.894102e-25,-2.667848e-12
/out1 (Vin=1.374497) Y,9.642903e-02,8.797561e-25,1.129442e-11
/out1 (Vin=1.385235) Y,9.642903e-02,2.989118e-25,8.571529e-12
/out1 (Vin=1.395973) Y,9.642903e-02,6.087039e-25,6.494292e-11
/out1 (Vin=1.406711) Y,9.642903e-02,1.743885e-24,-1.174473e-11
/out1 (Vin=1.41745) Y,9.642903e-02,1.653522e-24,-8.393879e-12
/out1 (Vin=1.428188) Y,9.642903e-02,2.104121e-25,1.270659e-11
/out1 (Vin=1.438926) Y,9.642903e-02,6.739719e-25,4.512804e-11
/out1 (Vin=1.449664) Y,9.642903e-02,2.947817e-25,2.197380e-10
/out1 (Vin=1.460403) Y,9.642903e-02,1.105574e-24,2.716664e-10
/out1 (Vin=1.471141) Y,9.642903e-02,7.337529e-25,2.103680e-12
/out1 (Vin=1.481879) Y,9.642903e-02,8.381743e-25,1.517036e-11
/out1 (Vin=1.492617) Y,9.642903e-02,4.691478e-25,9.339487e-12
/out1 (Vin=1.503356) Y,9.642903e-02,1.926881e-25,1.832131e-11
/out1 (Vin=1.514094) Y,9.642903e-02,3.850386e-25,2.490166e-12
/out1 (Vin=1.524832) Y,9.642903e-02,9.166126e-25,-5.308338e-12
/out1 (Vin=1.53557) Y,9.642903e-02,4.683017e-25,1.907279e-11
/out1 (Vin=1.546309) Y,9.642903e-02,1.123640e-24,4.430381e-11
/out1 (Vin=1.557047) Y,9.642903e-02,5.033806e-25,-7.795113e-12
/out1 (Vin=1.567785) Y,9.642903e-02,3.674888e-25,1.446988e-11
/out1 (Vin=1.578523) Y,9.642903e-02,3.903151e-25,1.646721e-10
/out1 (Vin=1.589262) Y,9.642898e-02,4.184913e-13,1.039417e-04
/out1 (Vin=1.6) Y,9.642903e-02,5.195266e-25,9.732960e-12
Stage 3 Output
/out2 (Vin=0) Y,1.825786e-01,1.423814e-16,1.919423e-06
/out2 (Vin=0.01073826) Y,1.825786e-01,2.278998e-21,7.610911e-09
/out2 (Vin=0.02147651) Y,1.825786e-01,3.011758e-21,8.812980e-09
/out2 (Vin=0.03221477) Y,1.825786e-01,5.147084e-21,1.153294e-08
/out2 (Vin=0.04295302) Y,1.825786e-01,5.127056e-21,1.150273e-08
/out2 (Vin=0.05369128) Y,1.825786e-01,5.151382e-21,1.153595e-08
/out2 (Vin=0.06442953) Y,1.825786e-01,5.123615e-21,1.149078e-08
/out2 (Vin=0.07516779) Y,1.825786e-01,5.151943e-21,1.149520e-08
/out2 (Vin=0.08590604) Y,1.825786e-01,5.125704e-21,1.154351e-08
