FeaturesParamTransientDCPAN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.299329) Y,9.995516e-02,2.306406e-25,-9.637047e-12
/out0 (Vin=1.310067) Y,9.999453e-02,3.738113e-25,9.261114e-12
/out0 (Vin=1.320805) Y,1.000328e-01,3.466536e-25,-3.314219e-12
/out0 (Vin=1.331544) Y,1.000700e-01,8.883535e-13,1.514496e-04
/out0 (Vin=1.342282) Y,1.001064e-01,6.880223e-25,9.325286e-12
/out0 (Vin=1.35302) Y,1.001418e-01,8.712168e-25,5.247479e-12
/out0 (Vin=1.363758) Y,1.001763e-01,1.869838e-25,-7.152519e-12
/out0 (Vin=1.374497) Y,1.002101e-01,6.489163e-24,2.164846e-11
/out0 (Vin=1.385235) Y,1.002431e-01,8.652839e-25,1.767541e-11
/out0 (Vin=1.395973) Y,1.002754e-01,4.785891e-25,-4.076535e-12
/out0 (Vin=1.406711) Y,1.003070e-01,6.105096e-25,-6.070874e-12
/out0 (Vin=1.41745) Y,1.003380e-01,1.538104e-24,1.510979e-11
/out0 (Vin=1.428188) Y,1.003683e-01,1.567775e-24,-8.783620e-12
/out0 (Vin=1.438926) Y,1.003981e-01,6.214659e-24,1.910516e-11
/out0 (Vin=1.449664) Y,1.004274e-01,5.091511e-25,4.888942e-12
/out0 (Vin=1.460403) Y,1.004560e-01,1.797985e-25,4.947108e-12
/out0 (Vin=1.471141) Y,1.004842e-01,2.288019e-25,5.463712e-12
/out0 (Vin=1.481879) Y,1.005119e-01,1.015672e-24,7.733325e-12
/out0 (Vin=1.492617) Y,1.005391e-01,6.448251e-25,-2.150255e-12
/out0 (Vin=1.503356) Y,1.005659e-01,5.713348e-26,-6.608775e-12
/out0 (Vin=1.514094) Y,1.005922e-01,8.095145e-25,3.000103e-12
/out0 (Vin=1.524832) Y,1.006181e-01,4.779225e-26,-6.490000e-12
/out0 (Vin=1.53557) Y,1.006436e-01,1.266853e-24,-1.236540e-11
/out0 (Vin=1.546309) Y,1.006687e-01,7.475118e-25,1.495172e-11
/out0 (Vin=1.557047) Y,1.006934e-01,2.254856e-25,-1.541951e-11
/out0 (Vin=1.567785) Y,1.007178e-01,1.734050e-24,-2.463744e-11
/out0 (Vin=1.578523) Y,1.007418e-01,7.836907e-25,-8.751647e-13
/out0 (Vin=1.589262) Y,1.007655e-01,1.888976e-24,1.416575e-11
/out0 (Vin=1.6) Y,1.007888e-01,1.991288e-24,-8.655710e-13
Stage 2 Output
/out1 (Vin=0) Y,1.825786e-01,5.132669e-21,1.152524e-08
/out1 (Vin=0.01073826) Y,1.825786e-01,5.143999e-21,1.153233e-08
/out1 (Vin=0.02147651) Y,1.825786e-01,2.131674e-23,-3.137826e-11
/out1 (Vin=0.03221477) Y,1.825786e-01,5.137376e-21,1.152229e-08
