FeaturesParamTransientDCNNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.084564) Y,1.488422e+00,1.240812e-30,3.004577e-15
/out0 (Vin=1.095302) Y,1.488684e+00,4.466925e-31,-4.237972e-15
/out0 (Vin=1.10604) Y,1.488938e+00,7.941200e-31,-5.555964e-14
/out0 (Vin=1.116779) Y,1.489184e+00,1.985300e-31,-1.115664e-13
/out0 (Vin=1.127517) Y,1.489424e+00,4.466925e-31,-1.938190e-14
/out0 (Vin=1.138255) Y,1.489657e+00,7.941200e-31,-9.819755e-14
/out0 (Vin=1.148993) Y,1.489884e+00,7.941200e-31,-7.846708e-14
/out0 (Vin=1.159732) Y,1.490106e+00,1.240812e-30,-1.054690e-13
/out0 (Vin=1.17047) Y,1.490321e+00,7.941200e-31,-6.489493e-14
/out0 (Vin=1.181208) Y,1.490532e+00,4.466925e-31,-1.497130e-13
/out0 (Vin=1.191946) Y,1.490737e+00,1.991169e-19,-8.260725e-08
/out0 (Vin=1.202685) Y,1.490938e+00,1.299779e-19,2.439865e-09
/out0 (Vin=1.213423) Y,1.491134e+00,0,-1.544044e-13
/out0 (Vin=1.224161) Y,1.491326e+00,1.985300e-31,-5.440390e-14
/out0 (Vin=1.234899) Y,1.491514e+00,1.240812e-30,-8.120733e-14
/out0 (Vin=1.245638) Y,1.491697e+00,4.963250e-32,-6.750574e-14
/out0 (Vin=1.256376) Y,1.491877e+00,0,-1.218181e-13
/out0 (Vin=1.267114) Y,1.492053e+00,4.963250e-32,-2.196218e-13
/out0 (Vin=1.277852) Y,1.492225e+00,7.941200e-31,-1.775885e-13
/out0 (Vin=1.288591) Y,1.492394e+00,2.431992e-30,-9.295930e-14
/out0 (Vin=1.299329) Y,1.492559e+00,4.466925e-31,-1.148351e-13
/out0 (Vin=1.310067) Y,1.492721e+00,7.941200e-31,-5.588779e-14
/out0 (Vin=1.320805) Y,1.492879e+00,4.466925e-31,2.638996e-14
/out0 (Vin=1.331544) Y,1.493034e+00,1.985300e-31,-5.470676e-14
/out0 (Vin=1.342282) Y,1.493186e+00,7.941200e-31,-1.810730e-13
/out0 (Vin=1.35302) Y,1.493335e+00,2.431992e-30,-2.118172e-13
/out0 (Vin=1.363758) Y,1.493481e+00,1.240812e-30,-3.219804e-14
/out0 (Vin=1.374497) Y,1.493623e+00,1.240812e-30,4.263358e-14
/out0 (Vin=1.385235) Y,1.493762e+00,1.786770e-30,-4.796863e-14
/out0 (Vin=1.395973) Y,1.493898e+00,0,4.288086e-15
/out0 (Vin=1.406711) Y,1.494030e+00,4.466925e-31,2.305246e-14
/out0 (Vin=1.41745) Y,1.494159e+00,4.963250e-32,-5.324583e-14
/out0 (Vin=1.428188) Y,1.494284e+00,7.941200e-31,6.312320e-14
/out0 (Vin=1.438926) Y,1.494405e+00,7.941200e-31,-4.282855e-14
/out0 (Vin=1.449664) Y,1.494522e+00,4.466925e-31,-4.471674e-14
/out0 (Vin=1.460403) Y,1.494633e+00,1.786770e-30,-1.127019e-13
/out0 (Vin=1.471141) Y,1.494739e+00,4.466925e-31,-2.168627e-13
/out0 (Vin=1.481879) Y,1.494838e+00,4.466925e-31,-7.151328e-14
/out0 (Vin=1.492617) Y,1.494929e+00,7.941200e-31,3.135785e-14
/out0 (Vin=1.503356) Y,1.495009e+00,1.985300e-31,-1.867689e-13
/out0 (Vin=1.514094) Y,1.495078e+00,1.985300e-31,-8.209232e-14
/out0 (Vin=1.524832) Y,1.495133e+00,4.466925e-31,-1.458613e-13
/out0 (Vin=1.53557) Y,1.495172e+00,1.985300e-31,-6.828614e-14
/out0 (Vin=1.546309) Y,1.495197e+00,1.985300e-31,-1.155389e-13
/out0 (Vin=1.557047) Y,1.495212e+00,7.941200e-31,-5.619569e-14
/out0 (Vin=1.567785) Y,1.495219e+00,4.466925e-31,-1.218074e-14
/out0 (Vin=1.578523) Y,1.495222e+00,1.985300e-31,-7.049960e-14
/out0 (Vin=1.589262) Y,1.495223e+00,2.431992e-30,-8.348556e-14
/out0 (Vin=1.6) Y,1.495224e+00,7.941200e-31,-3.924067e-15
Stage 2 Output
/out1 (Vin=0) Y,2.497551e-01,5.364238e-19,1.176368e-07
/out1 (Vin=0.01073826) Y,2.497552e-01,3.814570e-18,3.136981e-07
/out1 (Vin=0.02147651) Y,2.497552e-01,2.649007e-18,2.614151e-07
/out1 (Vin=0.03221477) Y,2.497553e-01,2.649007e-20,2.614151e-08
/out1 (Vin=0.04295302) Y,2.497554e-01,2.390728e-18,2.483444e-07
/out1 (Vin=0.05369128) Y,2.497556e-01,3.234503e-16,2.888637e-06
/out1 (Vin=0.06442953) Y,2.497558e-01,3.626225e-16,3.058557e-06
/out1 (Vin=0.07516779) Y,2.497561e-01,3.751258e-16,3.110840e-06
/out1 (Vin=0.08590604) Y,2.497565e-01,9.378146e-17,1.555420e-06
/out1 (Vin=0.0966443) Y,2.497571e-01,7.755078e-34,-1.196015e-15
/out1 (Vin=0.1073826) Y,2.497579e-01,7.755078e-34,-1.708467e-14
/out1 (Vin=0.1181208) Y,2.497590e-01,3.102031e-33,-2.506209e-14
/out1 (Vin=0.1288591) Y,2.497605e-01,4.685828e-16,3.476821e-06
/out1 (Vin=0.1395973) Y,2.497626e-01,3.975166e-16,3.202335e-06
/out1 (Vin=0.1503356) Y,2.497654e-01,8.252252e-16,4.613977e-06
/out1 (Vin=0.1610738) Y,2.497692e-01,2.121921e-16,2.339665e-06
/out1 (Vin=0.1718121) Y,2.497744e-01,3.102031e-33,-1.505866e-14
/out1 (Vin=0.1825503) Y,2.497814e-01,1.059603e-19,5.228301e-08
/out1 (Vin=0.1932886) Y,2.497908e-01,7.755078e-34,-1.300858e-14
/out1 (Vin=0.2040268) Y,2.498033e-01,1.938769e-32,-2.380599e-14
/out1 (Vin=0.2147651) Y,2.498199e-01,5.364238e-19,1.176368e-07
/out1 (Vin=0.2255034) Y,2.498419e-01,2.384106e-19,7.842453e-08
/out1 (Vin=0.2362416) Y,2.498708e-01,3.245033e-19,9.149527e-08
/out1 (Vin=0.2469799) Y,2.499087e-01,2.436203e-19,-1.512722e-07
/out1 (Vin=0.2577181) Y,2.499581e-01,6.979570e-33,4.291734e-15
/out1 (Vin=0.2684564) Y,2.500222e-01,0,-1.416273e-14
/out1 (Vin=0.2791946) Y,2.501054e-01,0,-1.306904e-14
/out1 (Vin=0.2899329) Y,2.502134e-01,5.569536e-18,3.790519e-07
/out1 (Vin=0.3006711) Y,2.503536e-01,4.963250e-32,-1.096088e-14
/out1 (Vin=0.3114094) Y,2.505367e-01,3.102031e-33,-6.676486e-15
/out1 (Vin=0.3221477) Y,2.507775e-01,1.240812e-32,-5.734972e-15
/out1 (Vin=0.3328859) Y,2.510981e-01,7.113401e-13,1.354782e-04
/out1 (Vin=0.3436242) Y,2.515321e-01,4.963250e-32,-2.812033e-14
/out1 (Vin=0.3543624) Y,2.521329e-01,0,-5.969336e-15
/out1 (Vin=0.3651007) Y,2.529908e-01,1.002079e-12,1.608348e-04
/out1 (Vin=0.3758389) Y,2.542677e-01,4.963250e-32,-6.055334e-15
/out1 (Vin=0.3865772) Y,2.562777e-01,2.791828e-32,-2.403558e-14
/out1 (Vin=0.3973154) Y,2.596968e-01,0,-3.269952e-15
/out1 (Vin=0.4080537) Y,2.661838e-01,3.102031e-33,-1.722346e-14
