FeaturesParamTransientDCNPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.138255) Y,1.489657e+00,1.217933e-23,4.221928e-11
/out0 (Vin=1.148993) Y,1.489884e+00,2.607086e-23,1.066092e-11
/out0 (Vin=1.159732) Y,1.490106e+00,2.373953e-23,3.152186e-11
/out0 (Vin=1.17047) Y,1.490321e+00,9.928704e-24,3.644344e-11
/out0 (Vin=1.181208) Y,1.490532e+00,3.389211e-23,-9.490920e-12
/out0 (Vin=1.191946) Y,1.490737e+00,3.153912e-23,-6.188934e-12
/out0 (Vin=1.202685) Y,1.490938e+00,4.056909e-23,8.125611e-12
/out0 (Vin=1.213423) Y,1.491134e+00,2.795348e-24,-8.887881e-11
/out0 (Vin=1.224161) Y,1.491326e+00,8.201281e-24,-4.838006e-11
/out0 (Vin=1.234899) Y,1.491514e+00,6.102325e-24,9.206960e-12
/out0 (Vin=1.245638) Y,1.491697e+00,2.281778e-24,-3.179584e-11
/out0 (Vin=1.256376) Y,1.491877e+00,1.734861e-23,-6.822547e-12
/out0 (Vin=1.267114) Y,1.492053e+00,5.348282e-23,-9.879219e-11
/out0 (Vin=1.277852) Y,1.492225e+00,1.696338e-23,6.813634e-12
/out0 (Vin=1.288591) Y,1.492394e+00,2.413167e-23,7.197525e-11
/out0 (Vin=1.299329) Y,1.492559e+00,5.205901e-23,1.123962e-11
/out0 (Vin=1.310067) Y,1.492721e+00,8.314262e-24,5.849343e-11
/out0 (Vin=1.320805) Y,1.492879e+00,3.342845e-24,-6.031723e-12
/out0 (Vin=1.331544) Y,1.493034e+00,7.137281e-24,-2.797860e-12
/out0 (Vin=1.342282) Y,1.493186e+00,1.580507e-23,8.237604e-11
/out0 (Vin=1.35302) Y,1.493335e+00,4.886812e-19,1.146781e-07
/out0 (Vin=1.363758) Y,1.493481e+00,9.121532e-22,-4.727763e-09
/out0 (Vin=1.374497) Y,1.493623e+00,4.860661e-24,-5.401903e-11
/out0 (Vin=1.385235) Y,1.493762e+00,6.740915e-24,-2.731228e-12
/out0 (Vin=1.395973) Y,1.493898e+00,7.973880e-19,-1.435080e-07
/out0 (Vin=1.406711) Y,1.494030e+00,1.823732e-23,-4.108939e-11
/out0 (Vin=1.41745) Y,1.494159e+00,1.206395e-23,2.195188e-11
/out0 (Vin=1.428188) Y,1.494284e+00,2.413878e-23,-6.795531e-12
/out0 (Vin=1.438926) Y,1.494405e+00,7.659567e-24,-2.186464e-11
/out0 (Vin=1.449664) Y,1.494522e+00,3.850303e-24,-7.000419e-12
/out0 (Vin=1.460403) Y,1.494633e+00,1.685426e-23,2.827923e-11
/out0 (Vin=1.471141) Y,1.494739e+00,7.925003e-24,-3.573005e-11
/out0 (Vin=1.481879) Y,1.494838e+00,1.187178e-23,6.222578e-11
/out0 (Vin=1.492617) Y,1.494929e+00,2.304694e-24,1.504370e-11
/out0 (Vin=1.503356) Y,1.495009e+00,5.728472e-24,1.818276e-11
/out0 (Vin=1.514094) Y,1.495078e+00,1.049752e-23,2.969881e-11
/out0 (Vin=1.524832) Y,1.495133e+00,4.272660e-24,-1.451005e-11
/out0 (Vin=1.53557) Y,1.495172e+00,1.057359e-23,4.296322e-11
/out0 (Vin=1.546309) Y,1.495197e+00,4.027191e-23,7.356734e-11
/out0 (Vin=1.557047) Y,1.495212e+00,1.501020e-24,-5.668704e-12
/out0 (Vin=1.567785) Y,1.495219e+00,4.960895e-23,3.638426e-11
/out0 (Vin=1.578523) Y,1.495222e+00,7.377302e-24,-3.461178e-11
/out0 (Vin=1.589262) Y,1.495223e+00,4.213316e-23,-6.859022e-11
/out0 (Vin=1.6) Y,1.495224e+00,3.756211e-24,2.011583e-10
Stage 2 Output
/out1 (Vin=0) Y,7.504263e-02,2.100121e-25,8.476104e-12
/out1 (Vin=0.01073826) Y,7.504263e-02,4.632362e-26,4.358902e-12
/out1 (Vin=0.02147651) Y,7.504263e-02,1.614813e-25,3.456201e-12
/out1 (Vin=0.03221477) Y,7.504264e-02,4.859349e-25,9.274193e-12
/out1 (Vin=0.04295302) Y,7.504264e-02,4.320608e-25,-4.681447e-13
/out1 (Vin=0.05369128) Y,7.504264e-02,1.342812e-24,-8.911383e-12
/out1 (Vin=0.06442953) Y,7.504264e-02,2.362983e-26,6.030695e-12
/out1 (Vin=0.07516779) Y,7.504264e-02,7.469464e-25,-6.129118e-12
/out1 (Vin=0.08590604) Y,7.504264e-02,2.081304e-25,-3.445954e-12
/out1 (Vin=0.0966443) Y,7.504264e-02,1.529109e-24,2.111701e-11
/out1 (Vin=0.1073826) Y,7.504264e-02,2.347751e-25,6.628073e-12
/out1 (Vin=0.1181208) Y,7.504265e-02,5.142041e-26,-2.370207e-13
/out1 (Vin=0.1288591) Y,7.504264e-02,4.617846e-14,3.452183e-05
/out1 (Vin=0.1395973) Y,7.504264e-02,6.239280e-14,4.012770e-05
/out1 (Vin=0.1503356) Y,7.504267e-02,6.809628e-25,1.304658e-10
/out1 (Vin=0.1610738) Y,7.504269e-02,1.103546e-24,-1.024709e-11
/out1 (Vin=0.1718121) Y,7.504270e-02,2.490166e-17,8.016168e-07
/out1 (Vin=0.1825503) Y,7.504273e-02,3.927401e-25,4.719655e-12
/out1 (Vin=0.1932886) Y,7.504276e-02,1.683825e-23,6.602429e-10
/out1 (Vin=0.2040268) Y,7.504281e-02,1.194030e-17,5.550978e-07
/out1 (Vin=0.2147651) Y,7.504287e-02,1.841502e-24,2.171155e-10
/out1 (Vin=0.2255034) Y,7.504295e-02,5.614807e-25,1.220027e-10
/out1 (Vin=0.2362416) Y,7.504306e-02,9.288291e-25,1.372336e-10
/out1 (Vin=0.2469799) Y,7.504319e-02,9.862760e-22,5.044379e-09
/out1 (Vin=0.2577181) Y,7.504337e-02,7.754541e-19,1.414788e-07
/out1 (Vin=0.2684564) Y,7.504361e-02,5.899208e-25,9.919133e-12
/out1 (Vin=0.2791946) Y,7.504391e-02,2.245769e-26,3.402284e-12
/out1 (Vin=0.2899329) Y,7.504431e-02,4.107213e-25,-1.069245e-11
/out1 (Vin=0.3006711) Y,7.504482e-02,5.557216e-26,9.482548e-12
/out1 (Vin=0.3114094) Y,7.504549e-02,2.360062e-25,-2.784240e-12
/out1 (Vin=0.3221477) Y,7.504637e-02,8.302568e-26,-4.499880e-12
/out1 (Vin=0.3328859) Y,7.504755e-02,2.874318e-26,9.221665e-12
/out1 (Vin=0.3436242) Y,7.504914e-02,5.517097e-19,1.193290e-07
/out1 (Vin=0.3543624) Y,7.505135e-02,1.585396e-25,6.092962e-12
/out1 (Vin=0.3651007) Y,7.505451e-02,4.845325e-19,1.118288e-07
/out1 (Vin=0.3758389) Y,7.505922e-02,6.945035e-19,1.338831e-07
/out1 (Vin=0.3865772) Y,7.506664e-02,3.452118e-25,-2.198012e-12
