Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
21,0.00081,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307799,1.1483851887626052e-22,1.51550993976457e-11
32,0.00125,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307288,5.149609751713053e-23,1.0148507034735132e-11
11,0.00041,1.9999999999999998e-10,2e-05,0.0834851310306828,2.445014139116916e-22,2.211340832669606e-11
9,0.00033,1.9999999999999998e-10,2e-05,0.0834851310306388,2.804849730531314e-22,2.36848041179627e-11
3,9e-05,1.9999999999999998e-10,2e-05,0.0834851310305367,4.386455080543471e-22,2.9619098840250047e-11
13,0.00049,1.9999999999999998e-10,2e-05,0.0834851310306505,2.2041389714010773e-22,2.09958994634718e-11
5,0.00017,1.9999999999999998e-10,2e-05,0.0834851310306661,3.686751682218288e-22,2.715419555876508e-11
49,0.00193,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307526,1.3450919591817778e-23,5.186698293080383e-12
30,0.00117,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307336,6.355164514517263e-23,1.1274009503736691e-11
43,0.00169,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310307052,2.4186729983585285e-23,6.955103160066756e-12
12,0.00045,1.9999999999999998e-10,2e-05,0.0834851310307794,2.321213608495601e-22,2.154629252792972e-11
36,0.00141,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307184,4.024207531711921e-23,8.971295928361656e-12
27,0.00105,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310306707,8.225194522651258e-23,1.2825907003133352e-11
26,0.00101,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307127,8.96030956772537e-23,1.338679167517398e-11
35,0.00137,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310308028,4.2614821271108536e-23,9.23199017233145e-12
14,0.00053,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310306387,1.9730108869431632e-22,1.9864596079166568e-11
56,0.00221,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307541,8.942246018865327e-24,4.229006034250915e-12
50,0.00197,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307574,1.1641725992927364e-23,4.825292942989279e-12
44,0.00173,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307312,2.025982914903755e-23,6.365505345051759e-12
48,0.00189,2.0000000000000104e-10,2.000000000000005e-05,0.083485131030726,1.535186889612724e-23,5.541095360328541e-12
34,0.00133,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307226,4.3329755551666505e-23,9.309109039179475e-12
31,0.00121,2.0000000000000104e-10,2.000000000000005e-05,0.083485131030713,5.722788661680041e-23,1.0698400498831973e-11
47,0.00185,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307593,1.6482436927758713e-23,5.741504494061189e-12
42,0.00165,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307418,2.6057704697411894e-23,7.219100317534809e-12
46,0.00181,2.0000000000000104e-10,2.000000000000005e-05,0.083485131030796,1.801985924094529e-23,6.003308961055609e-12
51,0.00201,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310308078,1.0927341996776825e-23,4.6748993565159935e-12
52,0.00205,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310308013,1.1249461545132533e-23,4.743302972620711e-12
40,0.00157,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307901,2.8362501866381337e-23,7.531600343391176e-12
41,0.0016099999999999,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310307906,2.871678101896413e-23,7.578493388393781e-12
16,0.00061,2.0000000000000104e-10,2.000000000000005e-05,0.083485131030665,1.5487837451033636e-22,1.759990764238495e-11
15,0.00057,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310306394,1.754475900405396e-22,1.873219634962453e-11
45,0.0017699999999999,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310307904,1.8706441946273496e-23,6.116607220718606e-12
