/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
226666666.6666666,-1.68999409774879e-05,-0.0002285393976143625,226666666.6666666,6.813892997785149e-07,5.71294134402166e-07,226666666.6666666,0.005,0,226666666.6666666,-1.16469231607202e-09,5.550179931934992e-10
233333333.3333332,-2.5178805397734e-05,-0.00022145090625002,233333333.3333332,7.160971056505876e-07,4.906944858865316e-07,233333333.3333332,0.005,0,233333333.3333332,-1.043668202248371e-09,6.778150161190446e-10
239999999.9999999,-3.274193705152585e-05,-0.0002143278550408661,239999999.9999999,7.406948720982875e-07,4.113095355315084e-07,239999999.9999999,0.005,0,239999999.9999999,-9.148645244243974e-10,7.762577331336272e-10
246666666.6666665,-3.963959942370776e-05,-0.000207208715999058,246666666.6666665,7.561669930230037e-07,3.340914613890751e-07,246666666.6666665,0.005,0,246666666.6666665,-7.822702505324051e-10,8.515418477504335e-10
253333333.3333332,-4.591913918474152e-05,-0.0002001254686943634,253333333.3333332,7.634919231417889e-07,2.597831643150118e-07,253333333.3333332,0.005,0,253333333.3333332,-6.492593647562161e-10,9.052695471059815e-10
259999999.9999999,-5.162498830262284e-05,-0.0001931045739917494,259999999.9999999,7.636204096929616e-07,1.889466156977171e-07,259999999.9999999,0.005,0,259999999.9999999,-5.186176647152111e-10,9.393116343665654e-10
266666666.6666665,-5.679872244225886e-05,-0.0001861678020192418,266666666.6666665,7.574601379181916e-07,1.219891670564046e-07,266666666.6666665,0.005,0,266666666.6666665,-3.925840491641614e-10,9.556942810754195e-10
273333333.3333332,-6.147915710828751e-05,-0.0001793329361098332,273333333.3333332,7.458654430633136e-07,5.918749610294106e-08,273333333.3333332,0.005,0,273333333.3333332,-2.729005680041746e-10,9.565081155039083e-10
279999999.9999999,-6.570246794783917e-05,-0.0001726143714138878,279999999.9999999,7.296309733710108e-07,7.090703654962246e-10,279999999.9999999,0.005,0,279999999.9999999,-1.608668799549436e-10,9.438370565177333e-10
286666666.6666666,-6.950232534616456e-05,-0.0001660236241557635,286666666.6666666,7.094883911818535e-07,-5.336885344972198e-08,286666666.6666666,0.005,0,286666666.6666666,-5.739589122627212e-11,9.197042296728458e-10
