/vout X,/vout Y,/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y
5.106352511805102e-08,4.863274078977327,5.106352511805102e-08,5,5.106352511805102e-08,4.68237440974489,5.106352511805102e-08,4.682374409744898,5.106352511805102e-08,4.682374409744893
5.110049063872047e-08,4.781547914964744,5.110049063872047e-08,5,5.110049063872047e-08,4.497546806397624,5.110049063872047e-08,4.497546806397633,5.110049063872047e-08,4.497546806397628
5.116865766779125e-08,4.630310396534248,5.116865766779125e-08,5,5.116865766779125e-08,4.15671166104372,5.116865766779125e-08,4.156711661043729,5.116865766779125e-08,4.156711661043724
5.125383908605182e-08,4.437893670909996,5.125383908605182e-08,5,5.125383908605182e-08,3.730804569740887,5.125383908605182e-08,3.730804569740895,5.125383908605182e-08,3.730804569740891
5.1383303280039e-08,4.140700199713846,5.1383303280039e-08,5,5.1383303280039e-08,3.083483599805,5.1383303280039e-08,3.083483599805008,5.1383303280039e-08,3.083483599805003
5.159792734233798e-08,3.643713140289409,5.159792734233798e-08,5,5.159792734233798e-08,2.010363288310065,5.159792734233798e-08,2.010363288310073,5.159792734233798e-08,2.010363288310069
5.176712292696278e-08,3.251212687022813,5.176712292696278e-08,5,5.176712292696278e-08,1.164385365186101,5.176712292696278e-08,1.164385365186109,5.176712292696278e-08,1.164385365186105
5.2e-08,2.709775175142827,5.2e-08,5,5.2e-08,0,5.2e-08,1.332267629550188e-14,5.2e-08,8.881784197001252e-15
5.201184449848257e-08,2.708193102701787,5.201184449848257e-08,5,5.201184449848257e-08,0,5.201184449848257e-08,0,5.201184449848257e-08,0
5.203553349544771e-08,2.708046601060138,5.203553349544771e-08,5,5.203553349544771e-08,0,5.203553349544771e-08,0,5.203553349544771e-08,0
5.2082911489378e-08,2.708237564228478,5.2082911489378e-08,5,5.2082911489378e-08,0,5.2082911489378e-08,0,5.2082911489378e-08,0
5.21344880563266e-08,2.708066951669758,5.21344880563266e-08,5,5.21344880563266e-08,0,5.21344880563266e-08,0,5.21344880563266e-08,0
5.22092832118312e-08,2.708229747438447,5.22092832118312e-08,5,5.22092832118312e-08,0,5.22092832118312e-08,0,5.22092832118312e-08,0
5.231124782124789e-08,2.708076926423862,5.231124782124789e-08,5,5.231124782124789e-08,0,5.231124782124789e-08,0,5.231124782124789e-08,0
5.251517704008127e-08,2.708226264733073,5.251517704008127e-08,5,5.251517704008127e-08,0,5.251517704008127e-08,0,5.251517704008127e-08,0
5.286656568629044e-08,2.708079196525154,5.286656568629044e-08,5,5.286656568629044e-08,0,5.286656568629044e-08,0,5.286656568629044e-08,0
5.350475796111131e-08,2.708225028289115,5.350475796111131e-08,5,5.350475796111131e-08,0,5.350475796111131e-08,0,5.350475796111131e-08,0
5.472103880824054e-08,2.708079851337925,5.472103880824054e-08,5,5.472103880824054e-08,0,5.472103880824054e-08,0,5.472103880824054e-08,0
5.625e-08,2.708224638961283,5.625e-08,5,5.625e-08,0,5.625e-08,0,5.625e-08,0
