/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
2.612468037898253e-08,0,2.612468037898253e-08,5,2.612468037898253e-08,4.376598105087349,2.612468037898253e-08,4.376598105087345,2.612468037898253e-08,2.254415331885853
2.619543018622383e-08,0,2.619543018622383e-08,5,2.619543018622383e-08,4.022849068880856,2.619543018622383e-08,4.022849068880851,2.619543018622383e-08,2.184667462564113
2.632370604376573e-08,0,2.632370604376573e-08,5,2.632370604376573e-08,3.381469781171334,2.632370604376573e-08,3.38146978117133,2.632370604376573e-08,2.058678609412312
2.6477893110785e-08,0,2.6477893110785e-08,5,2.6477893110785e-08,2.610534446074996,2.6477893110785e-08,2.610534446074992,2.6477893110785e-08,1.907884804975551
2.675103158246443e-08,0,2.675103158246443e-08,5,2.675103158246443e-08,1.244842087677871,2.675103158246443e-08,1.244842087677867,2.675103158246443e-08,1.642400474079927
2.7e-08,0,2.7e-08,5,2.7e-08,1.332267629550188e-14,2.7e-08,8.881784197001252e-15,2.7e-08,1.401460964835656
2.707944602854553e-08,0,2.707944602854553e-08,5,2.707944602854553e-08,0,2.707944602854553e-08,0,2.707944602854553e-08,1.400651615783772
2.721353278935189e-08,0,2.721353278935189e-08,5,2.721353278935189e-08,0,2.721353278935189e-08,0,2.721353278935189e-08,1.400639585500062
2.733657730535141e-08,0,2.733657730535141e-08,5,2.733657730535141e-08,0,2.733657730535141e-08,0,2.733657730535141e-08,1.400655541608276
2.758266633735044e-08,0,2.758266633735044e-08,5,2.758266633735044e-08,0,2.758266633735044e-08,0,2.758266633735044e-08,1.40064052122306
2.790746865325261e-08,0,2.790746865325261e-08,5,2.790746865325261e-08,0,2.790746865325261e-08,0,2.790746865325261e-08,1.400655130093502
2.849947312969808e-08,0,2.849947312969808e-08,5,2.849947312969808e-08,0,2.849947312969808e-08,0,2.849947312969808e-08,1.400640777485261
2.968348208258901e-08,0,2.968348208258901e-08,5,2.968348208258901e-08,0,2.968348208258901e-08,0,2.968348208258901e-08,1.400654979922935
3.125e-08,0,3.125e-08,5,3.125e-08,0,3.125e-08,0,3.125e-08,1.40064086951266
3.15e-08,0,3.15e-08,5,3.15e-08,0,3.15e-08,1.249999999999995,3.15e-08,1.480916505010564
3.1875e-08,0,3.1875e-08,5,3.1875e-08,0,3.1875e-08,3.125000000000003,3.1875e-08,1.601950177382318
3.225e-08,0,3.225e-08,5,3.225e-08,0,3.225e-08,5,3.225e-08,1.723204108000533
3.249191705944466e-08,0,3.249191705944466e-08,5,3.249191705944466e-08,0,3.249191705944466e-08,5,3.249191705944466e-08,1.723458163338233
3.277334971026751e-08,0,3.277334971026751e-08,5,3.277334971026751e-08,0,3.277334971026751e-08,5,3.277334971026751e-08,1.723448062271471
3.304581743963693e-08,0,3.304581743963693e-08,5,3.304581743963693e-08,0,3.304581743963693e-08,5,3.304581743963693e-08,1.723461148746387
3.359075289837576e-08,0,3.359075289837576e-08,5,3.359075289837576e-08,0,3.359075289837576e-08,5,3.359075289837576e-08,1.723447919977757
3.468062381585341e-08,0,3.468062381585341e-08,5,3.468062381585341e-08,0,3.468062381585341e-08,5,3.468062381585341e-08,1.723461183128278
3.609031190792671e-08,0,3.609031190792671e-08,5,3.609031190792671e-08,0,3.609031190792671e-08,5,3.609031190792671e-08,1.723447929327838
3.75e-08,0,3.75e-08,5,3.75e-08,0,3.75e-08,5,3.75e-08,1.723461268161487
