/out0 X,/out0 Y,/out1 X,/out1 Y,/Vin X,/Vin Y
0.0005800000000000002,0.1835836751768768,0.0005800000000000002,0.2476678061176659,0.0005800000000000002,0.4629561581474571
0.0006000000000000003,0.1835417912521224,0.0006000000000000003,0.2476673251357812,0.0006000000000000003,0.4603053686926881
0.0006200000000000003,0.1835055172039131,0.0006200000000000003,0.247666908681192,0.0006200000000000003,0.4578863223517827
0.0006400000000000004,0.1834746349586662,0.0006400000000000004,0.247666554738502,0.0006400000000000004,0.4557371689306052
0.0006600000000000004,0.1834491388654461,0.0006600000000000004,0.2476662624151839,0.0006600000000000004,0.4538918018624495
0.0006800000000000005,0.1834288290014142,0.0006800000000000005,0.247666029966105,0.0006800000000000005,0.4523793236883494
0.0007000000000000005,0.1834137197113212,0.0007000000000000005,0.2476658567829804,0.0007000000000000005,0.4512235870926211
0.0007200000000000006,0.1834036459980224,0.0007200000000000006,0.2476657415897985,0.0007200000000000006,0.4504428187317827
0.0007400000000000006,0.1833986588233614,0.0007400000000000006,0.247665684226651,0.0007400000000000006,0.4500493317892932
0.0007600000000000007,0.183398637742643,0.0007600000000000007,0.2476656839934828,0.0007600000000000007,0.4500493317892932
0.0007800000000000007,0.1834036794646998,0.0007800000000000007,0.2476657412880915,0.0007800000000000007,0.4504428187317828
0.0008000000000000008,0.1834137104642759,0.0008000000000000008,0.2476658560031798,0.0008000000000000008,0.4512235870926212
0.0008200000000000008,0.1834288746407703,0.0008200000000000008,0.2476660291217988,0.0008200000000000008,0.4523793236883495
0.0008400000000000009,0.1834491400865186,0.0008400000000000009,0.2476662610531397,0.0008400000000000009,0.4538918018624497
0.000860000000000001,0.1834746917829042,0.000860000000000001,0.2476665533102949,0.000860000000000001,0.4557371689306053
0.000880000000000001,0.1835055265989966,0.000880000000000001,0.2476669066926084,0.000880000000000001,0.4578863223517829
0.0009000000000000011,0.1835418574662427,0.0009000000000000011,0.2476673230735305,0.0009000000000000011,0.4603053686926883
0.0009200000000000011,0.1835836893927176,0.0009200000000000011,0.2476678034296725,0.0009200000000000011,0.4629561581474573
0.0009400000000000012,0.1836312419650142,0.0009400000000000012,0.2476683497607997,0.0009400000000000012,0.4657968861828832
0.0009600000000000012,0.1836844958668469,0.0009600000000000012,0.2476689628527411,0.0009600000000000012,0.4687827528208788
0.0009800000000000013,0.1837436398024755,0.0009800000000000013,0.2476696443993757,0.0009800000000000013,0.4718666691608925
0.001000000000000001,0.1838085697384915,0.001000000000000001,0.2476703943131235,0.001000000000000001,0.4750000000000001
0.001020000000000001,0.1838793629796568,0.001020000000000001,0.2476712130515437,0.001020000000000001,0.4781333308391078
0.001040000000000001,0.1839556981444837,0.001040000000000001,0.2476720980885611,0.001040000000000001,0.4812172471791216
0.001060000000000001,0.1840373519624579,0.001060000000000001,0.2476730464147509,0.001060000000000001,0.4842031138171171
0.001080000000000002,0.1841234880689987,0.001080000000000002,0.2476740495460967,0.001080000000000002,0.4870438418525431
0.001100000000000002,0.1842131726382389,0.001100000000000002,0.2476750961017029,0.001100000000000002,0.489694631307312
0.001120000000000002,0.1843044848317086,0.001120000000000002,0.2476761647750388,0.001120000000000002,0.4921136776482174
0.001140000000000002,0.1843951204789319,0.001140000000000002,0.2476772277964082,0.001140000000000002,0.4942628310693948
0.001160000000000002,0.1844814087230964,0.001160000000000002,0.2476782428432986,0.001160000000000002,0.4961081981375505
0.001180000000000002,0.1845593140010116,0.001180000000000002,0.2476791610443382,0.001180000000000002,0.4976206763116506
0.001200000000000002,0.1846236897436362,0.001200000000000002,0.2476799219322787,0.001200000000000002,0.4987764129073789
0.001220000000000002,0.1846700726259985,0.001220000000000002,0.2476804708516347,0.001220000000000002,0.4995571812682172
0.001240000000000002,0.1846942277254367,0.001240000000000002,0.2476807578427199,0.001240000000000002,0.4999506682107068
0.001260000000000002,0.1846943300370007,0.001260000000000002,0.2476807596441994,0.001260000000000002,0.4999506682107068
0.001280000000000002,0.1846700000206158,0.001280000000000002,0.2476804727801513,0.001280000000000002,0.4995571812682171
0.001300000000000002,0.1846237994642293,0.001300000000000002,0.2476799268812782,0.001300000000000002,0.4987764129073787
0.001320000000000002,0.1845592561615555,0.001320000000000002,0.2476791656606397,0.001320000000000002,0.4976206763116503
0.001340000000000002,0.1844814930546192,0.001340000000000002,0.2476782493280025,0.001340000000000002,0.4961081981375501
0.001360000000000002,0.1843950617328336,0.001360000000000002,0.2476772335598003,0.001360000000000002,0.4942628310693945
0.001380000000000002,0.1843045365438062,0.001380000000000002,0.2476761714335869,0.001380000000000002,0.492113677648217
0.001400000000000002,0.1842131083316871,0.001400000000000002,0.2476751018823697,0.001400000000000002,0.4896946313073115
0.001420000000000002,0.1841235120247393,0.001420000000000002,0.2476740556128344,0.001420000000000002,0.4870438418525425
0.001440000000000002,0.1840372809131869,0.001440000000000002,0.2476730516230457,0.001440000000000002,0.4842031138171166
0.001460000000000003,0.1839557016402322,0.001460000000000003,0.2476721032707033,0.001460000000000003,0.481217247179121
