/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
219999999.9999999,-7.926279135414495e-06,-0.0002347903570769432,219999999.9999999,6.380586913952554e-06,6.904065633708988e-06,219999999.9999999,0.005,0,219999999.9999999,-1.414338596519735e-09,1.81323866796928e-10
226666666.6666666,-1.691804782844506e-05,-0.000227799840311594,226666666.6666666,6.686309004539819e-06,6.124186296684645e-06,226666666.6666666,0.005,0,226666666.6666666,-1.307579351429676e-09,3.842022510945994e-10
233333333.3333332,-2.514538260521704e-05,-0.0002207326165414809,233333333.3333332,6.904983239621266e-06,5.363117123353662e-06,233333333.3333332,0.005,0,233333333.3333332,-1.180807772950362e-09,5.542685181308857e-10
239999999.9999999,-3.266143144881408e-05,-0.0002136340747135157,239999999.9999999,7.04536879245448e-06,4.627456245139569e-06,239999999.9999999,0.005,0,239999999.9999999,-1.040820044650365e-09,6.923133440820603e-10
246666666.6666665,-3.951642798318968e-05,-0.0002065420324915675,246666666.6666665,7.115956043470394e-06,3.922298457817817e-06,246666666.6666665,0.005,0,246666666.6666665,-8.934127577373516e-10,7.99958381640993e-10
253333333.3333332,-4.575762801307126e-05,-0.0001994878809303096,253333333.3333332,7.124858099159736e-06,3.251445792699994e-06,253333333.3333332,0.005,0,253333333.3333332,-7.434223244512792e-10,8.793958669147198e-10
259999999.9999999,-5.142932534753507e-05,-0.0001924975566445967,259999999.9999999,7.079737391434236e-06,2.617597718472988e-06,259999999.9999999,0.005,0,259999999.9999999,-5.9479183895258e-10,9.331779240383623e-10
266666666.6666665,-5.657292188708376e-05,-0.0001855923670325574,266666666.6666665,6.987759723942211e-06,2.022521202014313e-06,266666666.6666665,0.005,0,266666666.6666665,-4.506538345742658e-10,9.64049606820596e-10
273333333.3333332,-6.122703361574382e-05,-0.0001787896906866149,273333333.3333332,6.855569581739415e-06,1.467201477411388e-06,273333333.3333332,0.005,0,273333333.3333332,-3.134205398772981e-10,9.748195453989328e-10
279999999.9999999,-6.542761912589685e-05,-0.0001721035719880599,279999999.9999999,6.689281719222161e-06,9.519747397716592e-07,279999999.9999999,0.005,0,279999999.9999999,-1.848756872653202e-10,9.682623075236031e-10
