FeaturesParamTransientDCNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=1.524832) Y,1.485918e+00,7.941200e-31,2.002120e-14
/out0 (Vin=1.53557) Y,1.485959e+00,1.240812e-30,-5.338999e-14
/out0 (Vin=1.546309) Y,1.485986e+00,1.786770e-30,-1.509703e-13
/out0 (Vin=1.557047) Y,1.486000e+00,1.985300e-31,-4.549996e-14
/out0 (Vin=1.567785) Y,1.486008e+00,4.466925e-31,-2.218810e-13
/out0 (Vin=1.578523) Y,1.486011e+00,7.941200e-31,-4.858561e-14
/out0 (Vin=1.589262) Y,1.486013e+00,4.963250e-32,-9.589143e-14
/out0 (Vin=1.6) Y,1.486013e+00,4.466925e-31,-7.378284e-14
Stage 2 Output
/out1 (Vin=0) Y,2.495211e-01,1.590066e-17,6.404671e-07
/out1 (Vin=0.01073826) Y,2.495204e-01,7.004257e-11,1.348396e-03
/out1 (Vin=0.02147651) Y,2.495212e-01,5.364238e-19,1.176368e-07
/out1 (Vin=0.03221477) Y,2.495211e-01,3.861650e-12,3.164577e-04
/out1 (Vin=0.04295302) Y,2.495212e-01,4.290306e-12,3.335793e-04
/out1 (Vin=0.05369128) Y,2.495212e-01,8.250606e-12,4.625959e-04
/out1 (Vin=0.06442953) Y,2.495214e-01,8.668807e-12,4.741760e-04
/out1 (Vin=0.07516779) Y,2.495217e-01,8.821093e-12,4.784658e-04
/out1 (Vin=0.08590604) Y,2.495221e-01,3.765665e-12,3.124974e-04
/out1 (Vin=0.0966443) Y,2.495222e-01,5.518630e-11,1.196797e-03
/out1 (Vin=0.1073826) Y,2.495235e-01,5.605298e-17,1.202510e-06
/out1 (Vin=0.1181208) Y,2.495244e-01,8.307285e-17,1.463925e-06
/out1 (Vin=0.1288591) Y,2.495255e-01,1.019274e-11,5.141710e-04
/out1 (Vin=0.1395973) Y,2.495275e-01,1.206954e-16,-1.764552e-06
/out1 (Vin=0.1503356) Y,2.495299e-01,2.791828e-32,-1.227026e-14
/out1 (Vin=0.1610738) Y,2.495330e-01,8.953106e-12,4.819003e-04
/out1 (Vin=0.1718121) Y,2.495377e-01,2.077052e-14,2.321279e-05
/out1 (Vin=0.1825503) Y,2.495437e-01,1.695364e-18,2.091321e-07
/out1 (Vin=0.1932886) Y,2.495518e-01,3.245033e-19,-9.149531e-08
/out1 (Vin=0.2040268) Y,2.495625e-01,1.419010e-13,6.065929e-05
/out1 (Vin=0.2147651) Y,2.495768e-01,2.649007e-20,2.614150e-08
/out1 (Vin=0.2255034) Y,2.495956e-01,1.576113e-12,2.019137e-04
/out1 (Vin=0.2362416) Y,2.496206e-01,5.960265e-20,3.921227e-08
/out1 (Vin=0.2469799) Y,2.496528e-01,6.375183e-12,4.064723e-04
/out1 (Vin=0.2577181) Y,2.496942e-01,1.924630e-10,2.237315e-03
/out1 (Vin=0.2684564) Y,2.497500e-01,6.826260e-12,4.207583e-04
