v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
1.3125e-08,0,1.3125e-08,0,1.3125e-08,3.124999999999995,1.3125e-08,5,1.3125e-08,0.7815555119378232
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.021782368761029
1.362573074271364e-08,0,1.362573074271364e-08,0,1.362573074271364e-08,5,1.362573074271364e-08,4.371346286431785,1.362573074271364e-08,0.9822851533826392
1.380064106544018e-08,0,1.380064106544018e-08,0,1.380064106544018e-08,5,1.380064106544018e-08,3.4967946727991,1.380064106544018e-08,0.9262968466837133
1.396126321387077e-08,0,1.396126321387077e-08,0,1.396126321387077e-08,5,1.396126321387077e-08,2.693683930646124,1.396126321387077e-08,0.8748215641756272
1.428250751073197e-08,0,1.428250751073197e-08,0,1.428250751073197e-08,5,1.428250751073197e-08,1.087462446340171,1.428250751073197e-08,0.7718995327933179
1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,0.7021476208228593
1.468452099314765e-08,0,1.468452099314765e-08,0,1.468452099314765e-08,5,1.468452099314765e-08,0,1.468452099314765e-08,0.7019097277261114
1.490438172047153e-08,0,1.490438172047153e-08,0,1.490438172047153e-08,5,1.490438172047153e-08,0,1.490438172047153e-08,0.7019067752836841
1.51135684946491e-08,0,1.51135684946491e-08,0,1.51135684946491e-08,5,1.51135684946491e-08,0,1.51135684946491e-08,0.7019126540778247
1.553194204300426e-08,0,1.553194204300426e-08,0,1.553194204300426e-08,5,1.553194204300426e-08,0,1.553194204300426e-08,0.7019066066983434
1.636868913971457e-08,0,1.636868913971457e-08,0,1.636868913971457e-08,5,1.636868913971457e-08,0,1.636868913971457e-08,0.7019125542641236
1.755934456985728e-08,0,1.755934456985728e-08,0,1.755934456985728e-08,5,1.755934456985728e-08,0,1.755934456985728e-08,0.7019066820684469
1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,0.7019125248827622
1.908809353046747e-08,0,1.908809353046747e-08,0,1.908809353046747e-08,5,1.908809353046747e-08,1.690467652337359,1.908809353046747e-08,0.8100388714051254
1.941904676523374e-08,0,1.941904676523374e-08,0,1.941904676523374e-08,5,1.941904676523374e-08,3.345233826168685,1.941904676523374e-08,0.9160722150255306
1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995,1.975e-08,1.022036204675339
1.997765439565492e-08,0,1.997765439565492e-08,0,1.997765439565492e-08,5,1.997765439565492e-08,5,1.997765439565492e-08,1.022295935996305
2.024058354778696e-08,0,2.024058354778696e-08,0,2.024058354778696e-08,5,2.024058354778696e-08,5,2.024058354778696e-08,1.022292985626733
2.049674344509975e-08,0,2.049674344509975e-08,0,2.049674344509975e-08,5,2.049674344509975e-08,5,2.049674344509975e-08,1.022276268901102
2.100906323972532e-08,0,2.100906323972532e-08,0,2.100906323972532e-08,5,2.100906323972532e-08,5,2.100906323972532e-08,1.022294178667111
2.203370282897647e-08,0,2.203370282897647e-08,0,2.203370282897647e-08,5,2.203370282897647e-08,5,2.203370282897647e-08,1.022275374498167
2.351685141448823e-08,0,2.351685141448823e-08,0,2.351685141448823e-08,5,2.351685141448823e-08,5,2.351685141448823e-08,1.022294696238291
2.5e-08,0,2.5e-08,0,2.5e-08,5,2.5e-08,5,2.5e-08,1.022275258108477
2.517981779079267e-08,0,2.517981779079267e-08,0.8990889539633313,2.517981779079267e-08,5,2.517981779079267e-08,5,2.517981779079267e-08,1.25139409758567
2.548907971065387e-08,0,2.548907971065387e-08,2.445398553269352,2.548907971065387e-08,5,2.548907971065387e-08,5,2.548907971065387e-08,1.647446017185612
2.574453985532693e-08,0,2.574453985532693e-08,3.722699276634673,2.574453985532693e-08,5,2.574453985532693e-08,5,2.574453985532693e-08,1.976834727572039
2.6e-08,0,2.6e-08,4.999999999999995,2.6e-08,5,2.6e-08,5,2.6e-08,2.309679736647443
2.605319456082053e-08,0,2.605319456082053e-08,5,2.605319456082053e-08,4.734027195897339,2.605319456082053e-08,4.734027195897335,2.605319456082053e-08,2.258920913198609
2.6149942491755e-08,0,2.6149942491755e-08,5,2.6149942491755e-08,4.250287541224997,2.6149942491755e-08,4.250287541224992,2.6149942491755e-08,2.164205598598396
2.623689183093664e-08,0,2.623689183093664e-08,5,2.623689183093664e-08,3.815540845316807,2.623689183093664e-08,3.815540845316803,2.623689183093664e-08,2.079304267238583
2.638851588153503e-08,0,2.638851588153503e-08,5,2.638851588153503e-08,3.057420592324843,2.638851588153503e-08,3.057420592324839,2.638851588153503e-08,1.931869689550031
2.656465774298653e-08,0,2.656465774298653e-08,5,2.656465774298653e-08,2.176711285067348,2.656465774298653e-08,2.176711285067344,2.656465774298653e-08,1.761441172239575
2.678232887149326e-08,0,2.678232887149326e-08,5,2.678232887149326e-08,1.08835564253368,2.678232887149326e-08,1.088355642533676,2.678232887149326e-08,1.55185366092823
2.7e-08,0,2.7e-08,5,2.7e-08,1.332267629550188e-14,2.7e-08,8.881784197001252e-15,2.7e-08,1.342862776640268
2.710661212748829e-08,0,2.710661212748829e-08,5,2.710661212748829e-08,0,2.710661212748829e-08,0,2.710661212748829e-08,1.342128065257107
2.723562338895209e-08,0,2.723562338895209e-08,5,2.723562338895209e-08,0,2.723562338895209e-08,0,2.723562338895209e-08,1.342121265831433
2.735729559389045e-08,0,2.735729559389045e-08,5,2.735729559389045e-08,0,2.735729559389045e-08,0,2.735729559389045e-08,1.342159713089142
2.760064000376718e-08,0,2.760064000376718e-08,5,2.760064000376718e-08,0,2.760064000376718e-08,0,2.760064000376718e-08,1.342118721472674
2.798074519496001e-08,0,2.798074519496001e-08,5,2.798074519496001e-08,0,2.798074519496001e-08,0,2.798074519496001e-08,1.34216051463023
2.860465288736249e-08,0,2.860465288736249e-08,5,2.860465288736249e-08,0,2.860465288736249e-08,0,2.860465288736249e-08,1.342118164784519
2.983139683876266e-08,0,2.983139683876266e-08,5,2.983139683876266e-08,0,2.983139683876266e-08,0,2.983139683876266e-08,1.342160629732685
3.125e-08,0,3.125e-08,5,3.125e-08,0,3.125e-08,0,3.125e-08,1.342118329749446
3.160526358359633e-08,0,3.160526358359633e-08,5,3.160526358359633e-08,0,3.160526358359633e-08,1.776317917981652,3.160526358359633e-08,1.45551625732673
3.192763179179816e-08,0,3.192763179179816e-08,5,3.192763179179816e-08,0,3.192763179179816e-08,3.388158958990831,3.192763179179816e-08,1.558830834957996
3.225e-08,0,3.225e-08,5,3.225e-08,0,3.225e-08,5,3.225e-08,1.662133462449744
3.247465643240546e-08,0,3.247465643240546e-08,5,3.247465643240546e-08,0,3.247465643240546e-08,5,3.247465643240546e-08,1.662415835537364
