/Vin X,/Vin YRe,/Vin YReImag,/out1 X,/out1 YRe,/out1 YReImag,/out2 X,/out2 YRe,/out2 YReImag
446666666.666667,0.025,0,446666666.666667,-0.00361467020167345,0.0025672481882436,446666666.666667,4.036937648622966e-05,-0.0001095601235788287
453333333.3333337,0.025,0,453333333.3333337,-0.003445116408367043,0.002600759768798162,453333333.3333337,3.236402562658382e-05,-0.0001058506897039264
460000000.0000004,0.025,0,460000000.0000004,-0.00328018895949832,0.002628303523193107,460000000.0000004,2.502872106729045e-05,-0.0001019313680131895
466666666.6666671,0.025,0,466666666.6666671,-0.003119877858676157,0.002650237168684821,466666666.6666671,1.833201775322212e-05,-9.785089770916251e-05
473333333.3333338,0.025,0,473333333.3333338,-0.002964164496335453,0.002666902802477733,473333333.3333338,1.224209969699239e-05,-9.365313460004733e-05
480000000.0000005,0.025,0,480000000.0000005,-0.0028130223614755,0.002678627473892197,480000000.0000005,6.727037924278321e-06,-8.937737646241249e-05
486666666.6666672,0.025,0,486666666.6666672,-0.002666417710663516,0.002685723732124529,486666666.6666672,1.755016318872869e-06,-8.505867550807753e-05
493333333.3333338,0.025,0,493333333.3333338,-0.002524310196980959,0.002688490151575872,493333333.3333338,-2.705471857382282e-06,-8.072813793745974e-05
500000000.0000005,0.025,0,500000000.0000005,-0.002386653461400918,0.002687211836459675,500000000.0000005,-6.685454211014404e-06,-7.641321059099541e-05
506666666.6666672,0.025,0,506666666.6666672,-0.002253395688838817,0.002682160906334019,506666666.6666672,-1.021533387392837e-05,-7.213795474560444e-05
513333333.3333339,0.025,0,513333333.3333339,-0.002124480130979298,0.002673596963859342,513333333.3333339,-1.332476638720257e-05,-6.792330713321463e-05
520000000.0000006,0.025,0,520000000.0000006,-0.001999845597772549,0.002661767546086296,520000000.0000006,-1.604255679293924e-05,-6.378732829193798e-05
526666666.6666673,0.025,0,526666666.6666673,-0.001879426919380718,0.002646908560311666,526666666.6666673,-1.839657505673478e-05,-5.97454383906185e-05
533333333.333334,0.025,0,533333333.333334,-0.001763155380205922,0.002629244705513907,533333333.333334,-2.041368807994122e-05,-5.581064069944129e-05
540000000.0000006,0.025,0,540000000.0000006,-0.001650959126495126,0.002608989880207258,540000000.0000006,-2.211970668203484e-05,-5.199373290790386e-05
546666666.6666672,0.025,0,546666666.6666672,-0.001542763548948902,0.002586347577490116,546666666.6666672,-2.353934604694545e-05,-4.830350652050084e-05
553333333.3333338,0.025,0,553333333.3333338,-0.001438491641620674,0.00256151126795076,553333333.3333338,-2.469619823356619e-05,-4.474693458652356e-05
560000000.0000005,0.025,0,560000000.0000005,-0.001338064338333062,0.002534664771055157,560000000.0000005,-2.561271544961996e-05,-4.132934804613632e-05
566666666.6666671,0.025,0,566666666.6666671,-0.001241400827750185,0.002505982615531168,566666666.6666671,-2.631020288012975e-05,-3.805460099708887e-05
573333333.3333337,0.025,0,573333333.3333337,-0.00114841884817361,0.002475630389216895,573333333.3333337,-2.680881995017928e-05,-3.492522520762535e-05
580000000.0000004,0.025,0,580000000.0000004,-0.00105903496306453,0.002443765078808145,580000000.0000004,-2.712758898396001e-05,-3.194257421967377e-05
586666666.666667,0.025,0,586666666.666667,-0.000973164818248982,0.002410535399860898,586666666.666667,-2.728441030066702e-05,-2.910695740255119e-05
593333333.3333336,0.025,0,593333333.3333336,-0.0008907233816851246,0.00237608211739287,593333333.3333336,-2.729608286218948e-05,-2.641776433105274e-05
600000000.0000002,0.025,0,600000000.0000002,-0.0008116251666663455,0.002340538357347912,600000000.0000002,-2.717832965772162e-05,-2.387357987322611e-05
606666666.6666669,0.025,0,606666666.6666669,-0.0007357844392402316,0.002304029909224607,606666666.6666669,-2.694582707852591e-05,-2.147229038183192e-05
613333333.3333335,0.025,0,613333333.3333335,-0.0006631154106279345,0.002266675520069714,613333333.3333335,-2.661223759824106e-05,-1.921118139004656e-05
620000000.0000001,0.025,0,620000000.0000001,-0.000593532415371202,0.002228587180063268,620000000.0000001,-2.619024513621037e-05,-1.708702721568052e-05
626666666.6666667,0.025,0,626666666.6666667,-0.0005269500759095001,0.002189870399877591,626666666.6666667,-2.569159253669297e-05,-1.509617288052831e-05
