/Vin (R1=17500) X,/Vin (R1=17500) Y,/out0 (R1=17500) X,/out0 (R1=17500) Y,/out1 (R1=17500) X,/out1 (R1=17500) Y
0.001000000000000001,0.5,0.001000000000000001,0.07612025259736303,0.001000000000000001,0.07503369590691697
0.001020000000000001,0.5,0.001020000000000001,0.07612025259624874,0.001020000000000001,0.07503369590691591
0.001040000000000001,0.5,0.001040000000000001,0.07612025259720381,0.001040000000000001,0.07503369590685909
0.001060000000000001,0.5,0.001060000000000001,0.0761202525964176,0.001060000000000001,0.075033695907108
0.001080000000000002,0.5,0.001080000000000002,0.07612025259714439,0.001080000000000002,0.0750336959067724
0.001100000000000002,0.5,0.001100000000000002,0.07612025259645541,0.001100000000000002,0.07503369590710406
0.001120000000000002,0.5,0.001120000000000002,0.07612025259712923,0.001120000000000002,0.07503369590671037
0.001140000000000002,0.5,0.001140000000000002,0.07612025259644099,0.001140000000000002,0.07503369590717568
0.001160000000000002,0.5,0.001160000000000002,0.07612025259716587,0.001160000000000002,0.07503369590662962
0.001180000000000002,0.5,0.001180000000000002,0.07612025259656605,0.001180000000000002,0.07503369590721012
0.001200000000000002,0.5,0.001200000000000002,0.07612025259694272,0.001200000000000002,0.07503369590658028
0.001220000000000002,0.5,0.001220000000000002,0.07612025259661025,0.001220000000000002,0.07503369590730204
0.001240000000000002,0.5,0.001240000000000002,0.07612025259699567,0.001240000000000002,0.07503369590656295
0.001260000000000002,0.5,0.001260000000000002,0.07612025259659118,0.001260000000000002,0.07503369590742602
0.001280000000000002,0.5,0.001280000000000002,0.07612025259697518,0.001280000000000002,0.07503369590649617
0.001300000000000002,0.5,0.001300000000000002,0.0761202525966357,0.001300000000000002,0.07503369590735788
0.001320000000000002,0.5,0.001320000000000002,0.07612025259685695,0.001320000000000002,0.07503369590649188
0.001340000000000002,0.5,0.001340000000000002,0.07612025259677818,0.001340000000000002,0.07503369590736492
0.001360000000000002,0.5,0.001360000000000002,0.07612025259683079,0.001360000000000002,0.07503369590655665
0.001380000000000002,0.5,0.001380000000000002,0.07612025259676466,0.001380000000000002,0.07503369590721019
0.001400000000000002,0.5,0.001400000000000002,0.07612025259680796,0.001400000000000002,0.0750336959066325
0.001420000000000002,0.5,0.001420000000000002,0.07612025259679413,0.001420000000000002,0.07503369590726727
0.001440000000000002,0.5,0.001440000000000002,0.07612025259680412,0.001440000000000002,0.07503369590660576
0.001460000000000003,0.5,0.001460000000000003,0.07612025259674733,0.001460000000000003,0.07503369590726336
0.001480000000000003,0.5,0.001480000000000003,0.07612025259688407,0.001480000000000003,0.07503369590659385
0.001500000000000003,0.5,0.001500000000000003,0.07612025259670421,0.001500000000000003,0.07503369590729699
0.001520000000000003,0.5,0.001520000000000003,0.07612025259698178,0.001520000000000003,0.07503369590663245
0.001540000000000003,0.5,0.001540000000000003,0.07612025259654384,0.001540000000000003,0.07503369590726944
0.001560000000000003,0.5,0.001560000000000003,0.07612025259690738,0.001560000000000003,0.07503369590652845
0.001580000000000003,0.5,0.001580000000000003,0.07612025259665228,0.001580000000000003,0.07503369590743547
0.001600000000000003,0.5,0.001600000000000003,0.07612025259704151,0.001600000000000003,0.07503369590649503
0.001620000000000003,0.5,0.001620000000000003,0.07612025259649455,0.001620000000000003,0.07503369590738818
0.001640000000000003,0.5,0.001640000000000003,0.07612025259698547,0.001640000000000003,0.07503369590645177
0.001660000000000003,0.5,0.001660000000000003,0.07612025259656786,0.001660000000000003,0.07503369590731186
0.001680000000000003,0.5,0.001680000000000003,0.07612025259689999,0.001680000000000003,0.07503369590666023
0.001700000000000003,0.5,0.001700000000000003,0.07612025259668501,0.001700000000000003,0.07503369590717664
0.001720000000000003,0.5,0.001720000000000003,0.07612025259694993,0.001720000000000003,0.07503369590675472
0.001740000000000003,0.5,0.001740000000000003,0.07612025259673223,0.001740000000000003,0.07503369590709953
0.001760000000000003,0.5,0.001760000000000003,0.07612025259690523,0.001760000000000003,0.07503369590684722
0.001780000000000003,0.5,0.001780000000000003,0.0761202525966919,0.001780000000000003,0.07503369590705511
0.001800000000000003,0.5,0.001800000000000003,0.07612025259692422,0.001800000000000003,0.07503369590681014
0.001820000000000003,0.5,0.001820000000000003,0.07612025259666989,0.001820000000000003,0.07503369590711161
0.001840000000000004,0.5,0.001840000000000004,0.076120252596941,0.001840000000000004,0.07503369590673785
