/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
66666666.66666666,6.7710082303597e-05,-0.007601748919264156,66666666.66666666,-0.000137797471261608,-0.0007200993165208949,66666666.66666666,0.005,0,66666666.66666666,3.217112167207977e-07,1.308706584125949e-06
73333333.33333333,-0.0004046070280709108,-0.006990382747857988,73333333.33333333,-0.0002382519921149504,-0.0006389641712234569,73333333.33333333,0.005,0,73333333.33333333,5.688875103504323e-07,1.102090941711837e-06
80000000,-0.0007802095283126496,-0.006434758396498071,80000000,-0.0003110628875748352,-0.0005495774437013706,80000000,0.005,0,80000000,7.306176281213399e-07,8.719805075805376e-07
86666666.66666667,-0.00108090233518942,-0.005929190411931687,86666666.66666667,-0.0003595660823889509,-0.0004591982202421037,86666666.66666667,0.005,0,86666666.66666667,8.193212148047971e-07,6.427249229276365e-07
93333333.33333334,-0.001322750998784556,-0.005468127233455924,93333333.33333334,-0.0003878941964304601,-0.0003725803199401933,93333333.33333334,0.005,0,93333333.33333334,8.497376821119494e-07,4.296325109699508e-07
100000000,-0.001517759844888767,-0.005046455656611475,100000000,-0.0004001724701451855,-0.000292541032545974,100000000,0.005,0,100000000,8.362043777909608e-07,2.411713770129325e-07
106666666.6666667,-0.001675010968948949,-0.004659612114742327,106666666.6666667,-0.0004001204833526699,-0.0002205141820408343,106666666.6666667,0.005,0,106666666.6666667,7.913558945693785e-07,8.102304173691435e-08
113333333.3333334,-0.001801456339398831,-0.004303599015846546,113333333.3333334,-0.0003909005554088827,-0.0001570036040701367,113333333.3333334,0.005,0,113333333.3333334,7.256724682023617e-07,-5.027011134021034e-08
120000000,-0.001902479099171846,-0.003974954368905785,120000000,-0.0003751013688283541,-0.0001019224929170229,120000000,0.005,0,120000000,6.47484659845658e-07,-1.540898090536627e-07
126666666.6666667,-0.001982296725364763,-0.003670700095144943,126666666.6666667,-0.000354786900113448,-5.483281212475073e-05,126666666.6666667,0.005,0,126666666.6666667,5.631920464521232e-07,-2.328945923025538e-07
133333333.3333334,-0.002044253417132932,-0.003388282953008262,133333333.3333334,-0.0003315704464683637,-1.510700901674603e-05,133333333.3333334,0.005,0,133333333.3333334,4.775586852521154e-07,-2.89654059556519e-07
140000000,-0.002091033708579772,-0.003125515696061965,140000000,-0.0003066925326193683,1.796672315279741e-05,140000000,0.005,0,140000000,3.94014101462238e-07,-3.274858929575494e-07
146666666.6666667,-0.002124819491632921,-0.002880522407554258,146666666.6666667,-0.0002810927016797603,4.511843587773246e-05,146666666.6666667,0.005,0,146666666.6666667,3.149269729757814e-07,-3.494331910902475e-07
153333333.3333333,-0.002147406102199216,-0.002651689780226345,153333333.3333333,-0.0002554713801772218,6.705685938534085e-05,153333333.3333333,0.005,0,153333333.3333333,2.418396082416818e-07,-3.583360696232027e-07
160000000,-0.002160288636978548,-0.002437624846799955,160000000,-0.0002303411726498013,8.444720279773631e-05,160000000,0.005,0,160000000,1.756618801958679e-07,-3.567650693958271e-07
166666666.6666667,-0.002164726525313975,-0.002237118968706586,166666666.6666667,-0.0002060683985588694,9.790009465519204e-05,166666666.6666667,0.005,0,166666666.6666667,1.168280585859801e-07,-3.469941320586252e-07
173333333.3333333,-0.00216179215040526,-0.002049117540139092,173333333.3333333,-0.0001829062293555831,0.0001079674911716054,173333333.3333333,0.005,0,173333333.3333333,6.542170494157363e-08,-3.309982052397482e-07
180000000,-0.002152407720370293,-0.00187269472175262,180000000,-0.0001610208732727069,0.0001151428052428322,180000000,0.005,0,180000000,2.127400797981362e-08,-3.104655920002728e-07
186666666.6666666,-0.002137373444330731,-0.001707032493945845,186666666.6666666,-0.0001405121400279862,0.0001198634754911415,186666666.6666666,0.005,0,186666666.6666666,-1.595951756089942e-08,-2.868185849585397e-07
193333333.3333333,-0.002117389243592591,-0.001551403358629028,193333333.3333333,-0.0001214295276523813,0.0001225148386821901,193333333.3333333,0.005,0,193333333.3333333,-4.67397356317469e-08,-2.612382172831081e-07
199999999.9999999,-0.00209307163090306,-0.001405156086863423,199999999.9999999,-0.0001037847728418924,0.0001234345926640148,199999999.9999999,0.005,0,199999999.9999999,-7.159847995547005e-08,-2.346904824086037e-07
206666666.6666666,-0.002064966958247033,-0.001267703988469783,206666666.6666666,-8.756162272141165e-05,0.0001229174130736757,206666666.6666666,0.005,0,206666666.6666666,-9.110416571105773e-08,-2.079523760062181e-07
213333333.3333333,-0.002033561918824648,-0.00113851525779433,213333333.3333333,-7.272342953819612e-05,0.0001212194651308602,213333333.3333333,0.005,0,213333333.3333333,-1.058361124595501e-07,-1.816367708457379e-07
219999999.9999999,-0.00199929195941731,-0.001017105021819718,219999999.9999999,-5.921904163606388e-05,0.0001185626655737018,219999999.9999999,0.005,0,219999999.9999999,-1.163657284140243e-07,-1.562155643615922e-07
226666666.6666666,-0.001962548091364191,-0.0009030287805306259,226666666.6666666,-4.698736145126147e-05,0.0001151386214719786,226666666.6666666,0.005,0,226666666.6666666,-1.232430783640435e-07,-1.320408174074893e-07
233333333.3333332,-0.001923682465093709,-0.0007958769840957947,233333333.3333332,-3.596086024626714e-05,0.0001111122170872653,233333333.3333332,0.005,0,233333333.3333332,-1.269876561376512e-07,-1.093637820391808e-07
239999999.9999999,-0.001883012982358955,-0.0006952705377157303,239999999.9999999,-2.606827584411985e-05,0.0001066248468060829,239999999.9999999,0.005,0,239999999.9999999,-1.280824209124079e-07,-8.835182989393346e-08
246666666.6666665,-0.001840827153133586,-0.0006008570633974551,246666666.6666665,-1.723667018187219e-05,0.0001017973077527139,246666666.6666665,0.005,0,246666666.6666665,-1.269703468354985e-07,-6.910336305300039e-08
253333333.3333332,-0.001797385354341711,-0.0005123077797222152,253333333.3333332,-9.392985028219918e-06,9.673237413746678e-05,253333333.3333332,0.005,0,253333333.3333332,-1.240528872744928e-07,-5.16608308124651e-08
259999999.9999999,-0.001752923610475111,-0.0004293148866683998,259999999.9999999,-2.465204286802177e-06,9.151707936195257e-05,259999999.9999999,0.005,0,259999999.9999999,-1.196898765609129e-07,-3.602199824487821e-08
266666666.6666665,-0.001707655988339411,-0.0003515893638665052,266666666.6666665,3.616791967963121e-06,8.622473311031165e-05,266666666.6666665,0.005,0,266666666.6666665,-1.142004896139976e-07,-2.214962229771129e-08
273333333.3333332,-0.001661776677363773,-0.0002788591078433608,273333333.3333332,8.920614746398164e-06,8.091670022724854e-05,273333333.3333332,0.005,0,273333333.3333332,-1.0786495834836e-07,-9.979692715245035e-09
279999999.9999999,-0.001615461811147238,-0.0002108673479043999,279999999.9999999,1.351094189374253e-05,7.564396681628955e-05,279999999.9999999,0.005,0,279999999.9999999,-1.009268070938602e-07,5.716087344093977e-10
286666666.6666666,-0.001568871073968478,-0.0001473712915744206,286666666.6666666,1.744924066063058e-05,7.044851713987645e-05,286666666.6666666,0.005,0,286666666.6666666,-9.359542045639457e-08,9.602084470729394e-09
293333333.3333333,-0.001522149126905472,-8.814095976106712e-05,293333333.3333333,2.07936041453113e-05,6.536454284689228e-05,293333333.3333333,0.005,0,293333333.3333333,-8.604879844990095e-08,1.721869573922055e-08
299999999.9999999,-0.001475426881233103,-3.295817913263698e-05,299999999.9999999,2.359867553931681e-05,6.04195039641858e-05,299999999.9999999,0.005,0,299999999.9999999,-7.843638724022035e-08,2.353360904101135e-08
306666666.6666666,-0.00142882264138357,1.838429469488479e-05,306666666.6666666,2.591563953207634e-05,5.563505906628535e-05,306666666.6666666,0.005,0,306666666.6666666,-7.088190090859571e-08,2.866099855139894e-08
313333333.3333333,-0.001382443135594359,6.608354482821318e-05,313333333.3333333,2.779226453127743e-05,5.102788013897763e-05,313333333.3333333,0.005,0,313333333.3333333,-6.348607146370272e-08,3.271449960530176e-08
320000000,-0.001336384449109925,0.0001103271692916474,320000000,2.927298275959537e-05,4.661036590625475e-05,320000000,0.005,0,320000000,-5.632928185903693e-08,3.580521893547061e-08
326666666.6666667,-0.00129073287222954,0.0001512938802691227,326666666.6666667,3.039899799829353e-05,4.239126580255256e-05,326666666.6666667,0.005,0,326666666.6666667,-4.947405077032073e-08,3.804021750160841e-08
333333333.3333334,-0.001245565673466609,0.0001891540383446684,333333333.3333334,3.120841290442905e-05,3.837622534672765e-05,333333333.3333334,0.005,0,333333333.3333334,-4.296734899547496e-08,3.952139131218246e-08
