Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.4323826) Y,7.542993e-02,4.893924e-09,-2.051571e-02,3.202146e-01,1.039443e-01
/out0 (OFF=0.4352349) Y,7.544917e-02,5.298548e-09,-2.134900e-02,3.304321e-01,1.107488e-01
/out0 (OFF=0.4380872) Y,7.546918e-02,5.730543e-09,-2.220349e-02,3.411900e-01,1.181275e-01
/out0 (OFF=0.4409396) Y,7.548998e-02,6.191077e-09,-2.307973e-02,3.524639e-01,1.260949e-01
/out0 (OFF=0.4437919) Y,7.551159e-02,6.681300e-09,-2.397740e-02,3.641865e-01,1.346349e-01
/out0 (OFF=0.4466443) Y,7.553403e-02,7.202345e-09,-2.489511e-02,3.763160e-01,1.437469e-01
/out0 (OFF=0.4494966) Y,7.555732e-02,7.755290e-09,-2.583560e-02,3.888333e-01,1.534453e-01
/out0 (OFF=0.452349) Y,7.558148e-02,8.341210e-09,-2.679523e-02,4.017028e-01,1.637314e-01
/out0 (OFF=0.4552013) Y,7.560653e-02,8.961115e-09,-2.777376e-02,4.148924e-01,1.746069e-01
/out0 (OFF=0.4580537) Y,7.563229e-02,9.623362e-09,-2.841067e-02,4.283733e-01,1.860734e-01
/out0 (OFF=0.460906) Y,7.565932e-02,1.030702e-08,-2.974320e-02,4.421201e-01,1.981334e-01
/out0 (OFF=0.4637584) Y,7.568715e-02,1.103400e-08,-3.082409e-02,4.561128e-01,2.107910e-01
/out0 (OFF=0.4666107) Y,7.571590e-02,1.179881e-08,-3.187570e-02,4.703340e-01,2.240512e-01
/out0 (OFF=0.4694631) Y,7.574563e-02,1.260176e-08,-3.294412e-02,4.847692e-01,2.379197e-01
/out0 (OFF=0.4723154) Y,7.577634e-02,1.344347e-08,-3.402822e-02,4.994049e-01,2.524018e-01
/out0 (OFF=0.4751678) Y,7.580804e-02,1.432446e-08,-3.512719e-02,5.142273e-01,2.675008e-01
/out0 (OFF=0.4780201) Y,7.584076e-02,1.524519e-08,-3.624022e-02,5.292188e-01,2.832150e-01
/out0 (OFF=0.4808725) Y,7.587449e-02,1.620601e-08,-3.736765e-02,5.443048e-01,2.994784e-01
/out0 (OFF=0.4837248) Y,7.590926e-02,1.720720e-08,-3.850508e-02,5.596174e-01,3.164461e-01
/out0 (OFF=0.4865772) Y,7.594508e-02,1.824892e-08,-3.965517e-02,5.750826e-01,3.340549e-01
/out0 (OFF=0.4894295) Y,7.598195e-02,1.933126e-08,-4.081587e-02,5.906852e-01,3.523004e-01
/out0 (OFF=0.4922819) Y,7.601989e-02,2.045420e-08,-4.198752e-02,6.064574e-01,3.712342e-01
/out0 (OFF=0.4951342) Y,7.605889e-02,2.161766e-08,-4.316678e-02,6.223111e-01,3.907632e-01
/out0 (OFF=0.4979866) Y,7.609898e-02,2.282145e-08,-4.435271e-02,6.382701e-01,4.109251e-01
/out0 (OFF=0.5008389) Y,7.614015e-02,2.406528e-08,-4.554694e-02,6.543700e-01,4.317764e-01
/out0 (OFF=0.5036913) Y,7.618223e-02,2.535743e-08,-4.636497e-02,6.705083e-01,4.531927e-01
/out0 (OFF=0.5065436) Y,7.622579e-02,2.667156e-08,-4.795370e-02,6.867189e-01,4.752245e-01
/out0 (OFF=0.509396) Y,7.627026e-02,2.803304e-08,-4.916464e-02,7.029914e-01,4.978640e-01
/out0 (OFF=0.5122483) Y,7.631583e-02,2.943266e-08,-5.037850e-02,7.193146e-01,5.211009e-01
/out0 (OFF=0.5151007) Y,7.636252e-02,3.086974e-08,-5.159518e-02,7.356766e-01,5.449227e-01
/out0 (OFF=0.517953) Y,7.641032e-02,3.234358e-08,-5.281321e-02,7.520662e-01,5.693162e-01
/out0 (OFF=0.5208054) Y,7.645923e-02,3.385337e-08,-5.403246e-02,7.684717e-01,5.942661e-01
/out0 (OFF=0.5236577) Y,7.650925e-02,3.539826e-08,-5.525294e-02,7.848815e-01,6.197556e-01
/out0 (OFF=0.5265101) Y,7.656040e-02,3.697738e-08,-5.647322e-02,8.012837e-01,6.457664e-01
/out0 (OFF=0.5293624) Y,7.661265e-02,3.858977e-08,-5.769262e-02,8.176668e-01,6.722785e-01
/out0 (OFF=0.5322148) Y,7.666602e-02,4.023445e-08,-5.891197e-02,8.340187e-01,6.992701e-01
/out0 (OFF=0.5350671) Y,7.672049e-02,4.191056e-08,-6.011275e-02,8.503280e-01,7.267188e-01
/out0 (OFF=0.5379195) Y,7.677609e-02,4.361666e-08,-6.134053e-02,8.665828e-01,7.545997e-01
/out0 (OFF=0.5407718) Y,7.683279e-02,4.535205e-08,-6.255003e-02,8.827711e-01,7.828866e-01
/out0 (OFF=0.5436242) Y,7.689059e-02,4.711554e-08,-6.375399e-02,8.988348e-01,8.114679e-01
/out0 (OFF=0.5464765) Y,7.694949e-02,4.890600e-08,-6.495510e-02,9.148547e-01,8.404808e-01
/out0 (OFF=0.5493289) Y,7.700949e-02,5.072228e-08,-6.615297e-02,9.307714e-01,8.698097e-01
/out0 (OFF=0.5521812) Y,7.707057e-02,5.256332e-08,-6.734206e-02,9.465714e-01,8.994190e-01
/out0 (OFF=0.5550336) Y,7.713275e-02,5.442791e-08,-6.852877e-02,9.622395e-01,9.292682e-01
/out0 (OFF=0.5578859) Y,7.719600e-02,5.631497e-08,-6.970571e-02,9.777590e-01,9.593117e-01
/out0 (OFF=0.5607383) Y,7.726033e-02,5.822333e-08,-7.087779e-02,9.931096e-01,9.894943e-01
/out0 (OFF=0.5635906) Y,7.732573e-02,6.015184e-08,-7.204476e-02,1.008271e+00,1.019759e+00
/out0 (OFF=0.566443) Y,7.739219e-02,6.209941e-08,-7.320066e-02,1.023220e+00,1.050040e+00
/out0 (OFF=0.5692953) Y,7.745970e-02,6.406490e-08,-7.435082e-02,1.037919e+00,1.080238e+00
/out0 (OFF=0.5721477) Y,7.752827e-02,6.604719e-08,-7.549305e-02,1.052327e+00,1.110243e+00
/out0 (OFF=0.575) Y,7.759773e-02,6.805021e-08,-7.634889e-02,1.066401e+00,1.139934e+00
/out1 (OFF=0.15) Y,1.825786e-01,2.352944e-21,7.463507e-09,6.695154e-02,4.482509e-03
/out1 (OFF=0.1528523) Y,1.825786e-01,5.135180e-21,1.139733e-08,6.695228e-02,4.482608e-03
/out1 (OFF=0.1557047) Y,1.825786e-01,3.071935e-21,8.663966e-09,6.695305e-02,4.482711e-03
/out1 (OFF=0.158557) Y,1.825786e-01,3.065484e-21,8.696788e-09,6.695426e-02,4.482873e-03
/out1 (OFF=0.1614094) Y,1.825786e-01,5.143832e-21,1.122176e-08,6.695510e-02,4.482985e-03
/out1 (OFF=0.1642617) Y,1.825786e-01,5.143985e-21,1.118023e-08,6.695621e-02,4.483134e-03
/out1 (OFF=0.1671141) Y,1.825786e-01,5.137252e-21,1.120226e-08,6.695750e-02,4.483307e-03
/out1 (OFF=0.1699664) Y,1.825786e-01,5.132601e-21,1.113809e-08,6.695881e-02,4.483482e-03
/out1 (OFF=0.1728188) Y,1.825786e-01,5.151131e-21,1.116387e-08,6.696035e-02,4.483689e-03
/out1 (OFF=0.1756711) Y,1.825786e-01,5.160707e-21,1.103332e-08,6.696191e-02,4.483897e-03
/out1 (OFF=0.1785235) Y,1.825786e-01,4.009830e-23,-2.918157e-10,6.696356e-02,4.484118e-03
/out1 (OFF=0.1813758) Y,1.825786e-01,5.123195e-21,1.103916e-08,6.696535e-02,4.484358e-03
/out1 (OFF=0.1842282) Y,1.825786e-01,5.264402e-21,1.121815e-08,6.696727e-02,4.484615e-03
/out1 (OFF=0.1870805) Y,1.825786e-01,5.393391e-21,1.122797e-08,6.696933e-02,4.484891e-03
/out1 (OFF=0.1899329) Y,1.825786e-01,5.429245e-21,1.122614e-08,6.697162e-02,4.485198e-03
/out1 (OFF=0.1927852) Y,1.825786e-01,3.477421e-22,2.229696e-09,6.697406e-02,4.485524e-03
/out1 (OFF=0.1956376) Y,1.825786e-01,3.676378e-18,3.075706e-07,6.697649e-02,4.485850e-03
/out1 (OFF=0.1984899) Y,1.825786e-01,5.133533e-21,1.074915e-08,6.697933e-02,4.486231e-03
/out1 (OFF=0.2013423) Y,1.825786e-01,4.704401e-22,2.648598e-09,6.698258e-02,4.486667e-03
/out1 (OFF=0.2041946) Y,1.825786e-01,2.210967e-23,-7.391244e-10,6.698588e-02,4.487109e-03
/out1 (OFF=0.207047) Y,1.825786e-01,5.629312e-23,-9.676148e-10,6.698943e-02,4.487584e-03
/out1 (OFF=0.2098993) Y,1.825786e-01,2.990251e-23,-9.746708e-10,6.699327e-02,4.488099e-03
/out1 (OFF=0.2127517) Y,1.825786e-01,1.845023e-23,-1.056281e-09,6.699742e-02,4.488655e-03
/out1 (OFF=0.215604) Y,1.825786e-01,3.219959e-23,-1.211732e-09,6.700184e-02,4.489247e-03
/out1 (OFF=0.2184564) Y,1.825786e-01,4.725577e-23,-1.176583e-09,6.700663e-02,4.489888e-03
/out1 (OFF=0.2213087) Y,1.825786e-01,3.956796e-23,-1.270511e-09,6.701175e-02,4.490575e-03
/out1 (OFF=0.2241611) Y,1.825786e-01,7.500955e-23,-1.468056e-09,6.701729e-02,4.491318e-03
/out1 (OFF=0.2270134) Y,1.825786e-01,3.473000e-23,-1.492961e-09,6.702321e-02,4.492111e-03
/out1 (OFF=0.2298658) Y,1.825786e-01,5.974375e-23,-1.574410e-09,6.702965e-02,4.492974e-03
/out1 (OFF=0.2327181) Y,1.825786e-01,5.057993e-23,-1.720690e-09,6.703653e-02,4.493896e-03
/out1 (OFF=0.2355705) Y,1.825786e-01,4.832878e-23,-1.904798e-09,6.704391e-02,4.494886e-03
/out1 (OFF=0.2384228) Y,1.825786e-01,9.856282e-23,-1.981348e-09,6.705182e-02,4.495948e-03
/out1 (OFF=0.2412752) Y,1.825786e-01,8.450292e-23,-2.107445e-09,6.706034e-02,4.497090e-03
/out1 (OFF=0.2441275) Y,1.825786e-01,9.549928e-23,-2.287105e-09,6.706945e-02,4.498313e-03
/out1 (OFF=0.2469799) Y,1.825786e-01,8.056665e-23,-2.382736e-09,6.707905e-02,4.499600e-03
/out1 (OFF=0.2498322) Y,1.825786e-01,1.229133e-22,-2.728425e-09,6.708964e-02,4.501022e-03
/out1 (OFF=0.2526846) Y,1.825786e-01,1.111032e-22,-2.731437e-09,6.710102e-02,4.502548e-03
/out1 (OFF=0.2555369) Y,1.825786e-01,1.146730e-22,-2.951356e-09,6.711255e-02,4.504096e-03
/out1 (OFF=0.2583893) Y,1.825786e-01,4.436313e-22,-4.385668e-10,6.712576e-02,4.505870e-03
/out1 (OFF=0.2612416) Y,1.825786e-01,1.645108e-22,-3.393886e-09,6.713989e-02,4.507767e-03
/out1 (OFF=0.264094) Y,1.825786e-01,1.669601e-22,-3.611247e-09,6.715472e-02,4.509759e-03
/out1 (OFF=0.2669463) Y,1.825786e-01,1.932102e-22,-3.842343e-09,6.717064e-02,4.511899e-03
/out1 (OFF=0.2697987) Y,1.825786e-01,2.305696e-22,-4.064986e-09,6.718768e-02,4.514188e-03
/out1 (OFF=0.272651) Y,1.825786e-01,2.356583e-22,-4.351821e-09,6.720588e-02,4.516635e-03
/out1 (OFF=0.2755034) Y,1.825786e-01,2.707124e-22,-4.625209e-09,6.722547e-02,4.519269e-03
/out1 (OFF=0.2783557) Y,1.825786e-01,3.702492e-22,-4.966328e-09,6.724640e-02,4.522084e-03
/out1 (OFF=0.2812081) Y,1.825786e-01,3.564907e-22,-5.230227e-09,6.726881e-02,4.525100e-03
/out1 (OFF=0.2840604) Y,1.825786e-01,4.247128e-22,-5.616722e-09,6.729272e-02,4.528319e-03
/out1 (OFF=0.2869128) Y,1.825786e-01,5.377718e-22,-6.029678e-09,6.731852e-02,4.531793e-03
/out1 (OFF=0.2897651) Y,1.825786e-01,5.433441e-22,-6.341231e-09,6.734607e-02,4.535503e-03
/out1 (OFF=0.2926174) Y,1.825786e-01,5.865878e-22,-6.701541e-09,6.737557e-02,4.539480e-03
/out1 (OFF=0.2954698) Y,1.825786e-01,6.670889e-22,-7.207121e-09,6.740720e-02,4.543745e-03
/out1 (OFF=0.2983221) Y,1.825786e-01,1.061379e-21,-4.634466e-09,6.744111e-02,4.548320e-03
/out1 (OFF=0.3011745) Y,1.825786e-01,9.886883e-22,-8.173831e-09,6.747747e-02,4.553227e-03
/out1 (OFF=0.3040268) Y,1.825784e-01,4.029735e-12,3.229237e-04,6.751661e-02,4.558514e-03
/out1 (OFF=0.3068792) Y,1.825786e-01,1.014290e-21,-9.030312e-09,6.755815e-02,4.564128e-03
/out1 (OFF=0.3097315) Y,1.825786e-01,1.419272e-18,1.819676e-07,6.760311e-02,4.570210e-03
/out1 (OFF=0.3125839) Y,1.825786e-01,1.229658e-21,-1.012904e-08,6.765146e-02,4.576754e-03
/out1 (OFF=0.3154362) Y,1.825786e-01,1.358795e-21,-1.061531e-08,6.770343e-02,4.583793e-03
/out1 (OFF=0.3182886) Y,1.825786e-01,1.537576e-21,-1.090301e-08,6.775951e-02,4.591396e-03
/out1 (OFF=0.3211409) Y,1.825786e-01,1.742255e-21,-1.189843e-08,6.781971e-02,4.599565e-03
/out1 (OFF=0.3239933) Y,1.825786e-01,1.953717e-21,-1.269249e-08,6.788410e-02,4.608311e-03
/out1 (OFF=0.3268456) Y,1.825786e-01,2.200788e-21,-1.342823e-08,6.795461e-02,4.617899e-03
/out1 (OFF=0.329698) Y,1.825786e-01,2.334091e-21,-1.413132e-08,6.802994e-02,4.628155e-03
/out1 (OFF=0.3325503) Y,1.825786e-01,2.594382e-21,-1.486600e-08,6.811201e-02,4.639342e-03
/out1 (OFF=0.3354027) Y,1.825786e-01,2.883037e-21,-1.558617e-08,6.819950e-02,4.651284e-03
/out1 (OFF=0.338255) Y,1.825786e-01,3.209372e-21,-1.649555e-08,6.829657e-02,4.664553e-03
/out1 (OFF=0.3411074) Y,1.825786e-01,3.541875e-21,-1.764259e-08,6.840080e-02,4.678824e-03
/out1 (OFF=0.3439597) Y,1.825786e-01,1.596582e-15,6.409656e-06,6.851427e-02,4.694388e-03
/out1 (OFF=0.3468121) Y,1.825786e-01,4.419992e-21,-1.922721e-08,6.863768e-02,4.711348e-03
/out1 (OFF=0.3496644) Y,1.825786e-01,4.860697e-21,-2.007410e-08,6.877197e-02,4.729843e-03
/out1 (OFF=0.3525168) Y,1.825786e-01,5.406999e-21,-2.142399e-08,6.892037e-02,4.750328e-03
/out1 (OFF=0.3553691) Y,1.825786e-01,1.432578e-18,1.693298e-07,6.908230e-02,4.772738e-03
/out1 (OFF=0.3582215) Y,1.825786e-01,1.553984e-17,-6.592377e-07,6.926027e-02,4.797436e-03
/out1 (OFF=0.3610738) Y,1.825784e-01,2.000719e-12,2.275342e-04,6.945642e-02,4.824742e-03
/out1 (OFF=0.3639262) Y,1.825780e-01,4.528972e-11,1.082913e-03,6.967388e-02,4.855118e-03
/out1 (OFF=0.3667785) Y,1.825786e-01,2.468440e-19,-1.060258e-07,6.991386e-02,4.888768e-03
/out1 (OFF=0.3696309) Y,1.825786e-01,2.533035e-15,-8.132254e-06,7.018151e-02,4.926459e-03
/out1 (OFF=0.3724832) Y,1.825786e-01,1.537630e-17,-6.626211e-07,7.048049e-02,4.968763e-03
/out1 (OFF=0.3753356) Y,1.825786e-01,1.169494e-16,1.707235e-06,7.081573e-02,5.016455e-03
/out1 (OFF=0.3781879) Y,1.825786e-01,6.033672e-17,1.215823e-06,7.119338e-02,5.070508e-03
/out1 (OFF=0.3810403) Y,1.825786e-01,1.439639e-20,-3.512749e-08,7.162096e-02,5.132132e-03
/out1 (OFF=0.3838926) Y,1.825786e-01,1.584438e-20,-3.689789e-08,7.210774e-02,5.202847e-03
/out1 (OFF=0.386745) Y,1.825786e-01,1.207024e-15,-5.632219e-06,7.266473e-02,5.284499e-03
