FeaturesParamTransientACNPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3781879) Y,2.964816e-01,1.874268e-06,-4.021859e-01,1.253441e-08,1.963042e-16
/out0 (OFF=0.3810403) Y,2.993393e-01,2.145939e-06,-4.303452e-01,1.382943e-08,2.366366e-16
/out0 (OFF=0.3838926) Y,3.023995e-01,2.464412e-06,-4.611317e-01,3.518225e-08,6.008252e-14
/out0 (OFF=0.386745) Y,3.056818e-01,2.839447e-06,-4.950160e-01,1.701603e-08,3.592279e-16
/out0 (OFF=0.3895973) Y,3.092080e-01,3.283191e-06,-5.320075e-01,1.604983e-07,3.028657e-12
/out0 (OFF=0.3924497) Y,3.130039e-01,3.810715e-06,-5.734539e-01,1.123419e-07,1.247066e-12
/out0 (OFF=0.395302) Y,3.170974e-01,4.440878e-06,-6.190497e-01,2.423193e-08,7.279274e-16
/out0 (OFF=0.3981544) Y,3.215214e-01,5.197066e-06,-6.696784e-01,2.761525e-08,9.520689e-16
/out0 (OFF=0.4010067) Y,3.263126e-01,6.108158e-06,-7.260045e-01,3.072048e-08,1.172421e-15
/out0 (OFF=0.4038591) Y,3.315126e-01,7.209274e-06,-7.887269e-01,3.504837e-08,1.523513e-15
/out0 (OFF=0.4067114) Y,3.371677e-01,8.541961e-06,-8.585337e-01,4.019342e-08,2.003120e-15
/out0 (OFF=0.4095638) Y,3.433286e-01,1.015292e-05,-9.359940e-01,4.659583e-08,2.673385e-15
/out0 (OFF=0.4124161) Y,3.500487e-01,1.208980e-05,-1.021178e+00,1.574825e-07,1.654061e-12
/out0 (OFF=0.4152685) Y,3.573818e-01,1.439189e-05,-1.114400e+00,6.637629e-08,8.260757e-15
/out0 (OFF=0.4181208) Y,3.653761e-01,1.707441e-05,-1.213860e+00,7.194307e-08,6.405371e-15
/out0 (OFF=0.4209732) Y,3.740675e-01,2.010788e-05,-1.317329e+00,8.130546e-08,8.165724e-15
/out0 (OFF=0.4238255) Y,3.834712e-01,2.340292e-05,-1.421226e+00,9.182478e-08,1.043402e-14
/out0 (OFF=0.4266779) Y,3.935757e-01,2.681634e-05,-1.521298e+00,1.538830e-07,4.185526e-13
/out0 (OFF=0.4295302) Y,4.043427e-01,3.018707e-05,-1.614222e+00,1.171727e-07,1.954268e-14
/out0 (OFF=0.4323826) Y,4.157142e-01,3.338549e-05,-1.697585e+00,1.393661e-07,7.036663e-14
/out0 (OFF=0.4352349) Y,4.276241e-01,3.634399e-05,-1.771114e+00,1.988681e-07,7.763543e-13
/out0 (OFF=0.4380872) Y,4.400088e-01,3.905416e-05,-1.836110e+00,1.345472e-07,2.243919e-14
/out0 (OFF=0.4409396) Y,4.528133e-01,4.154367e-05,-1.893726e+00,9.010012e-05,1.200761e-08
/out0 (OFF=0.4437919) Y,4.659932e-01,4.385249e-05,-1.945635e+00,2.053450e-04,5.430823e-08
/out0 (OFF=0.4466443) Y,4.795138e-01,4.601850e-05,-1.993104e+00,2.403381e-04,7.377090e-08
/out0 (OFF=0.4494966) Y,4.933480e-01,4.807173e-05,-2.037075e+00,1.829200e-04,4.367940e-08
/out0 (OFF=0.452349) Y,5.074741e-01,5.003367e-05,-2.078234e+00,1.041829e-03,1.348471e-06
/out0 (OFF=0.4552013) Y,5.218745e-01,5.191851e-05,-2.117017e+00,1.006645e-03,1.259516e-06
/out0 (OFF=0.4580537) Y,5.365339e-01,5.373489e-05,-2.153731e+00,1.580016e-07,3.141592e-14
/out0 (OFF=0.460906) Y,5.514387e-01,5.548736e-05,-2.188570e+00,1.575665e-07,3.076806e-14
/out0 (OFF=0.4637584) Y,5.665766e-01,5.717761e-05,-2.221655e+00,1.582428e-07,3.103359e-14
/out0 (OFF=0.4666107) Y,5.819358e-01,5.880525e-05,-2.253055e+00,1.585867e-07,3.114461e-14
/out0 (OFF=0.4694631) Y,5.975047e-01,6.036842e-05,-2.282800e+00,1.621405e-07,3.252601e-14
/out0 (OFF=0.4723154) Y,6.132722e-01,6.186423e-05,-2.310914e+00,1.611185e-07,3.217435e-14
/out0 (OFF=0.4751678) Y,6.292269e-01,6.328902e-05,-2.337375e+00,1.622376e-07,3.261851e-14
/out0 (OFF=0.4780201) Y,6.453574e-01,6.463857e-05,-2.362036e+00,2.280398e-07,6.768532e-13
/out0 (OFF=0.4808725) Y,6.616523e-01,6.590825e-05,-2.385253e+00,1.630366e-07,3.294352e-14
/out0 (OFF=0.4837248) Y,6.780996e-01,6.709318e-05,-2.406600e+00,1.626737e-07,3.279370e-14
/out0 (OFF=0.4865772) Y,6.946872e-01,6.818828e-05,-2.426161e+00,1.619795e-07,3.251681e-14
/out0 (OFF=0.4894295) Y,7.114028e-01,6.918838e-05,-2.443889e+00,1.609004e-07,3.207472e-14
/out0 (OFF=0.4922819) Y,7.282336e-01,7.008831e-05,-2.459733e+00,1.595019e-07,3.152012e-14
/out0 (OFF=0.4951342) Y,7.451664e-01,7.088302e-05,-2.473639e+00,1.577069e-07,3.082026e-14
/out0 (OFF=0.4979866) Y,7.621879e-01,7.156766e-05,-2.485558e+00,1.555773e-07,3.000060e-14
/out0 (OFF=0.5008389) Y,7.792841e-01,7.213768e-05,-2.495437e+00,1.531635e-07,2.907010e-14
/out0 (OFF=0.5036913) Y,7.964409e-01,7.258885e-05,-2.503229e+00,1.504130e-07,2.803497e-14
/out0 (OFF=0.5065436) Y,8.136438e-01,7.291761e-05,-2.508892e+00,1.475730e-07,2.698493e-14
/out0 (OFF=0.509396) Y,8.308782e-01,7.312096e-05,-2.512388e+00,1.446485e-07,2.592861e-14
/out0 (OFF=0.5122483) Y,8.481289e-01,7.319679e-05,-2.513691e+00,1.417655e-07,2.490070e-14
/out0 (OFF=0.5151007) Y,8.653810e-01,7.314399e-05,-2.512785e+00,1.391269e-07,2.398052e-14
/out0 (OFF=0.517953) Y,8.826193e-01,7.296212e-05,-2.509659e+00,1.366981e-07,2.314993e-14
/out0 (OFF=0.5208054) Y,8.998284e-01,7.265180e-05,-2.504316e+00,1.344547e-07,2.239768e-14
/out0 (OFF=0.5236577) Y,9.169932e-01,7.221471e-05,-2.496772e+00,1.323483e-07,2.170357e-14
/out0 (OFF=0.5265101) Y,9.340988e-01,7.165345e-05,-2.487050e+00,1.303531e-07,2.105180e-14
/out0 (OFF=0.5293624) Y,9.511302e-01,7.097146e-05,-2.475185e+00,1.283854e-07,2.042425e-14
/out0 (OFF=0.5322148) Y,9.680729e-01,7.017276e-05,-2.461218e+00,1.263882e-07,1.979427e-14
/out0 (OFF=0.5350671) Y,9.849127e-01,6.926170e-05,-2.445188e+00,1.243642e-07,1.916041e-14
/out0 (OFF=0.5379195) Y,1.001635e+00,6.824245e-05,-2.427130e+00,1.221874e-07,1.849434e-14
/out0 (OFF=0.5407718) Y,1.018227e+00,6.711842e-05,-2.407058e+00,1.199125e-07,1.781737e-14
/out0 (OFF=0.5436242) Y,1.034674e+00,6.589137e-05,-2.384954e+00,1.174887e-07,1.710384e-14
/out0 (OFF=0.5464765) Y,1.050962e+00,6.456021e-05,-2.360741e+00,1.148426e-07,1.634730e-14
/out0 (OFF=0.5493289) Y,1.067076e+00,6.311936e-05,-2.334251e+00,1.120068e-07,1.554661e-14
/out0 (OFF=0.5521812) Y,1.083000e+00,6.155650e-05,-2.305174e+00,1.089146e-07,1.469954e-14
/out0 (OFF=0.5550336) Y,1.098713e+00,5.984962e-05,-2.272995e+00,1.055428e-07,1.380304e-14
/out0 (OFF=0.5578859) Y,1.114192e+00,5.796371e-05,-2.236903e+00,1.018409e-07,1.285194e-14
/out0 (OFF=0.5607383) Y,1.129406e+00,5.584809e-05,-2.195728e+00,1.060622e-07,2.243541e-14
/out0 (OFF=0.5635906) Y,1.144314e+00,5.343755e-05,-2.147815e+00,9.411227e-08,1.090998e-14
/out0 (OFF=0.566443) Y,1.158863e+00,5.066279e-05,-2.091315e+00,8.785120e-08,9.567764e-15
/out0 (OFF=0.5692953) Y,1.172990e+00,4.747599e-05,-2.024472e+00,8.189073e-08,8.316962e-15
/out0 (OFF=0.5721477) Y,1.186619e+00,4.388933e-05,-1.946484e+00,7.535438e-08,7.043981e-15
/out0 (OFF=0.575) Y,1.199681e+00,4.006082e-05,-1.859529e+00,6.852282e-08,5.825398e-15
Stage 2 Output
/out1 (OFF=0.15) Y,7.504267e-02,7.626396e-18,-9.154629e-08,1.747226e-01,3.052800e-02
/out1 (OFF=0.1528523) Y,7.504267e-02,1.397118e-14,1.848960e-05,1.747238e-01,3.052841e-02
/out1 (OFF=0.1557047) Y,7.504268e-02,3.357231e-18,-5.377163e-07,1.747245e-01,3.052865e-02
/out1 (OFF=0.158557) Y,7.504268e-02,3.506758e-17,3.120182e-07,1.747255e-01,3.052902e-02
/out1 (OFF=0.1614094) Y,7.504269e-02,4.637086e-18,-6.325958e-07,1.747267e-01,3.052941e-02
/out1 (OFF=0.1642617) Y,7.504269e-02,3.452347e-17,1.801331e-07,1.747279e-01,3.052985e-02
/out1 (OFF=0.1671141) Y,7.504255e-02,3.286427e-12,2.905979e-04,1.747294e-01,3.053037e-02
/out1 (OFF=0.1699664) Y,7.504270e-02,7.495212e-18,-8.033919e-07,1.747307e-01,3.053082e-02
/out1 (OFF=0.1728188) Y,7.504271e-02,8.807358e-18,-8.477512e-07,1.747323e-01,3.053137e-02
/out1 (OFF=0.1756711) Y,7.504271e-02,1.038849e-17,-8.932406e-07,1.747340e-01,3.053196e-02
/out1 (OFF=0.1785235) Y,7.504272e-02,1.204826e-17,-1.019614e-06,1.747358e-01,3.053261e-02
/out1 (OFF=0.1813758) Y,7.504273e-02,1.409559e-17,-1.102848e-06,1.747378e-01,3.053330e-02
/out1 (OFF=0.1842282) Y,7.504273e-02,4.765222e-17,-2.967139e-07,1.747400e-01,3.053406e-02
/out1 (OFF=0.1870805) Y,7.504274e-02,1.925452e-17,-1.288984e-06,1.747423e-01,3.053487e-02
/out1 (OFF=0.1899329) Y,7.504272e-02,2.153233e-13,7.315097e-05,1.747448e-01,3.053576e-02
/out1 (OFF=0.1927852) Y,7.504276e-02,2.367824e-15,6.267659e-06,1.747475e-01,3.053670e-02
/out1 (OFF=0.1956376) Y,7.504277e-02,3.058308e-17,-1.624363e-06,1.747505e-01,3.053772e-02
/out1 (OFF=0.1984899) Y,7.504279e-02,3.563334e-17,-1.752554e-06,1.747536e-01,3.053883e-02
/out1 (OFF=0.2013423) Y,7.504280e-02,4.148778e-17,-1.890970e-06,1.747570e-01,3.054002e-02
/out1 (OFF=0.2041946) Y,7.504281e-02,6.488439e-17,-1.387920e-06,1.747607e-01,3.054131e-02
/out1 (OFF=0.207047) Y,7.504252e-02,1.432325e-11,6.062429e-04,1.747650e-01,3.054281e-02
/out1 (OFF=0.2098993) Y,7.504284e-02,9.748939e-17,-1.461184e-06,1.747690e-01,3.054420e-02
/out1 (OFF=0.2127517) Y,7.504286e-02,8.337637e-17,-2.112621e-06,1.747736e-01,3.054582e-02
/out1 (OFF=0.215604) Y,7.504288e-02,9.157031e-17,-2.443526e-06,1.747786e-01,3.054756e-02
/out1 (OFF=0.2184564) Y,7.504290e-02,1.017960e-16,-2.963898e-06,1.747840e-01,3.054943e-02
/out1 (OFF=0.2213087) Y,7.504292e-02,1.180098e-16,-3.146034e-06,1.747897e-01,3.055144e-02
/out1 (OFF=0.2241611) Y,7.504294e-02,1.365142e-16,-3.432333e-06,1.747959e-01,3.055362e-02
/out1 (OFF=0.2270134) Y,7.504296e-02,1.579234e-16,-3.691684e-06,1.748026e-01,3.055595e-02
/out1 (OFF=0.2298658) Y,7.504299e-02,1.825653e-16,-3.969266e-06,1.748098e-01,3.055846e-02
/out1 (OFF=0.2327181) Y,7.504302e-02,2.109111e-16,-4.266304e-06,1.748175e-01,3.056116e-02
/out1 (OFF=0.2355705) Y,7.504305e-02,2.434993e-16,-4.584074e-06,1.748258e-01,3.056406e-02
/out1 (OFF=0.2384228) Y,7.504308e-02,3.054015e-16,-4.133556e-06,1.748347e-01,3.056718e-02
/out1 (OFF=0.2412752) Y,7.504312e-02,3.241347e-16,-5.223284e-06,1.748443e-01,3.057053e-02
/out1 (OFF=0.2441275) Y,7.504315e-02,3.733291e-16,-5.675071e-06,1.748546e-01,3.057412e-02
/out1 (OFF=0.2469799) Y,7.504320e-02,4.300016e-16,-6.079556e-06,1.748656e-01,3.057797e-02
/out1 (OFF=0.2498322) Y,7.504324e-02,4.949971e-16,-6.534969e-06,1.748774e-01,3.058211e-02
/out1 (OFF=0.2526846) Y,7.504328e-02,5.695548e-16,-7.010711e-06,1.748901e-01,3.058655e-02
/out1 (OFF=0.2555369) Y,7.504333e-02,6.865639e-16,-6.622901e-06,1.749037e-01,3.059132e-02
/out1 (OFF=0.2583893) Y,7.504339e-02,7.530823e-16,-8.060368e-06,1.749183e-01,3.059642e-02
