FeaturesParamTransientACAAN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.2555369) Y,1.825816e-01,5.692304e-21,-1.384304e-08,6.736547e-02,4.538107e-03
/out1 (OFF=0.2583893) Y,1.825816e-01,5.128408e-21,-2.061403e-08,6.738012e-02,4.540081e-03
/out1 (OFF=0.2612416) Y,1.825816e-01,5.853111e-21,-2.197151e-08,6.739583e-02,4.542198e-03
/out1 (OFF=0.264094) Y,1.825816e-01,6.409078e-21,-2.352731e-08,6.741266e-02,4.544467e-03
/out1 (OFF=0.2669463) Y,1.825816e-01,7.254934e-21,-2.504838e-08,6.743070e-02,4.546900e-03
/out1 (OFF=0.2697987) Y,1.825816e-01,8.162197e-21,-2.658651e-08,6.745004e-02,4.549508e-03
/out1 (OFF=0.272651) Y,1.825816e-01,9.210866e-21,-2.811128e-08,6.747075e-02,4.552303e-03
/out1 (OFF=0.2755034) Y,1.825816e-01,1.044785e-20,-2.971539e-08,6.749295e-02,4.555298e-03
/out1 (OFF=0.2783557) Y,1.825816e-01,1.163026e-20,-3.157496e-08,6.751673e-02,4.558509e-03
/out1 (OFF=0.2812081) Y,1.825816e-01,1.305322e-20,-3.350057e-08,6.754221e-02,4.561950e-03
/out1 (OFF=0.2840604) Y,1.825816e-01,1.460966e-20,-3.557441e-08,6.756951e-02,4.565639e-03
/out1 (OFF=0.2869128) Y,1.825816e-01,1.297104e-17,5.405780e-07,6.759876e-02,4.569593e-03
/out1 (OFF=0.2897651) Y,1.825816e-01,1.827430e-20,-3.974593e-08,6.763012e-02,4.573833e-03
/out1 (OFF=0.2926174) Y,1.825816e-01,2.040806e-20,-4.201879e-08,6.766373e-02,4.578381e-03
/out1 (OFF=0.2954698) Y,1.825816e-01,2.286618e-20,-4.248943e-08,6.769977e-02,4.583259e-03
/out1 (OFF=0.2983221) Y,1.825816e-01,2.532798e-20,-4.678310e-08,6.773843e-02,4.588495e-03
/out1 (OFF=0.3011745) Y,1.825816e-01,1.384337e-19,4.132234e-09,6.777982e-02,4.594105e-03
/out1 (OFF=0.3040268) Y,1.825816e-01,3.127526e-20,-5.157636e-08,6.782440e-02,4.600149e-03
/out1 (OFF=0.3068792) Y,1.825816e-01,3.471414e-20,-5.473445e-08,6.787221e-02,4.606638e-03
/out1 (OFF=0.3097315) Y,1.825816e-01,3.843009e-20,-5.741355e-08,6.792356e-02,4.613611e-03
/out1 (OFF=0.3125839) Y,1.825816e-01,4.255844e-20,-6.053959e-08,6.797878e-02,4.621116e-03
/out1 (OFF=0.3154362) Y,1.825816e-01,4.706182e-20,-6.364005e-08,6.803818e-02,4.629195e-03
/out1 (OFF=0.3182886) Y,1.825816e-01,5.201545e-20,-6.706007e-08,6.810212e-02,4.637900e-03
/out1 (OFF=0.3211409) Y,1.825816e-01,5.735397e-20,-7.032307e-08,6.817101e-02,4.647288e-03
/out1 (OFF=0.3239933) Y,1.825816e-01,9.619005e-18,-5.710886e-07,6.824531e-02,4.657424e-03
/out1 (OFF=0.3268456) Y,1.825816e-01,6.957048e-20,-7.743609e-08,6.832551e-02,4.668377e-03
/out1 (OFF=0.329698) Y,1.825816e-01,7.653523e-20,-8.127698e-08,6.841218e-02,4.680228e-03
/out1 (OFF=0.3325503) Y,1.825816e-01,8.419791e-20,-8.523893e-08,6.850595e-02,4.693068e-03
/out1 (OFF=0.3354027) Y,1.825816e-01,9.239318e-20,-8.930746e-08,6.860753e-02,4.706996e-03
/out1 (OFF=0.338255) Y,1.825816e-01,1.012778e-19,-9.348358e-08,6.871769e-02,4.722125e-03
/out1 (OFF=0.3411074) Y,1.825816e-01,1.110316e-19,-9.787191e-08,6.883747e-02,4.738602e-03
/out1 (OFF=0.3439597) Y,1.825816e-01,1.214465e-19,-1.024731e-07,6.896778e-02,4.756559e-03
/out1 (OFF=0.3468121) Y,1.825816e-01,1.328268e-19,-1.069471e-07,6.910984e-02,4.776176e-03
/out1 (OFF=0.3496644) Y,1.825816e-01,1.451907e-19,-1.120066e-07,6.926503e-02,4.797650e-03
/out1 (OFF=0.3525168) Y,1.825816e-01,1.584739e-19,-1.169375e-07,6.943489e-02,4.821212e-03
/out1 (OFF=0.3553691) Y,1.825816e-01,1.729037e-19,-1.222163e-07,6.962125e-02,4.847128e-03
/out1 (OFF=0.3582215) Y,1.825816e-01,1.883590e-19,-1.274938e-07,6.982617e-02,4.875705e-03
/out1 (OFF=0.3610738) Y,1.825816e-01,2.053932e-19,-1.329891e-07,7.005221e-02,4.907326e-03
/out1 (OFF=0.3639262) Y,1.825816e-01,2.236618e-19,-1.389205e-07,7.030213e-02,4.942407e-03
/out1 (OFF=0.3667785) Y,1.825816e-01,2.431561e-19,-1.446947e-07,7.057937e-02,4.981468e-03
/out1 (OFF=0.3696309) Y,1.825816e-01,2.643138e-19,-1.510212e-07,7.088792e-02,5.025123e-03
/out1 (OFF=0.3724832) Y,1.825816e-01,2.871166e-19,-1.574090e-07,7.123259e-02,5.074114e-03
/out1 (OFF=0.3753356) Y,1.825816e-01,3.117483e-19,-1.639447e-07,7.161912e-02,5.129339e-03
/out1 (OFF=0.3781879) Y,1.825816e-01,3.384259e-19,-1.707920e-07,7.205444e-02,5.191895e-03
/out1 (OFF=0.3810403) Y,1.825816e-01,3.671648e-19,-1.778949e-07,7.254701e-02,5.263136e-03
/out1 (OFF=0.3838926) Y,1.825816e-01,3.979233e-19,-1.852653e-07,7.310719e-02,5.344748e-03
/out1 (OFF=0.386745) Y,1.825816e-01,4.313950e-19,-1.929350e-07,7.374778e-02,5.438850e-03
