FeaturesParamTransientACNPP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.1927852) Y,7.504276e-02,1.730968e-15,5.126340e-06,1.747475e-01,3.053670e-02
/out1 (OFF=0.1956376) Y,7.504277e-02,3.058312e-17,-1.624370e-06,1.747505e-01,3.053772e-02
/out1 (OFF=0.1984899) Y,7.504279e-02,3.563334e-17,-1.752516e-06,1.747536e-01,3.053883e-02
/out1 (OFF=0.2013423) Y,7.504280e-02,4.148778e-17,-1.890983e-06,1.747570e-01,3.054002e-02
/out1 (OFF=0.2041946) Y,7.504281e-02,6.491963e-17,-1.387268e-06,1.747607e-01,3.054131e-02
/out1 (OFF=0.207047) Y,7.504283e-02,8.090975e-17,-1.402780e-06,1.747647e-01,3.054270e-02
/out1 (OFF=0.2098993) Y,7.504284e-02,6.519815e-17,-2.372084e-06,1.747690e-01,3.054420e-02
/out1 (OFF=0.2127517) Y,7.504286e-02,8.337606e-17,-2.112654e-06,1.747736e-01,3.054582e-02
/out1 (OFF=0.215604) Y,7.504288e-02,9.144439e-17,-2.448810e-06,1.747786e-01,3.054756e-02
/out1 (OFF=0.2184564) Y,7.504290e-02,1.017960e-16,-2.963889e-06,1.747840e-01,3.054943e-02
/out1 (OFF=0.2213087) Y,7.504292e-02,1.180097e-16,-3.146050e-06,1.747897e-01,3.055144e-02
/out1 (OFF=0.2241611) Y,7.504294e-02,1.365142e-16,-3.432321e-06,1.747959e-01,3.055362e-02
/out1 (OFF=0.2270134) Y,7.504296e-02,1.579234e-16,-3.691678e-06,1.748026e-01,3.055595e-02
/out1 (OFF=0.2298658) Y,7.504299e-02,1.825651e-16,-3.969266e-06,1.748098e-01,3.055846e-02
/out1 (OFF=0.2327181) Y,7.504302e-02,2.109111e-16,-4.266305e-06,1.748175e-01,3.056116e-02
/out1 (OFF=0.2355705) Y,7.504305e-02,2.434994e-16,-4.584078e-06,1.748258e-01,3.056406e-02
/out1 (OFF=0.2384228) Y,7.504308e-02,2.809472e-16,-4.920552e-06,1.748347e-01,3.056718e-02
/out1 (OFF=0.2412752) Y,7.504312e-02,3.241601e-16,-5.218625e-06,1.748443e-01,3.057053e-02
/out1 (OFF=0.2441275) Y,7.504315e-02,3.733289e-16,-5.675064e-06,1.748546e-01,3.057412e-02
/out1 (OFF=0.2469799) Y,7.504320e-02,4.299942e-16,-6.086747e-06,1.748656e-01,3.057797e-02
/out1 (OFF=0.2498322) Y,7.504323e-02,1.286159e-14,1.132195e-05,1.748774e-01,3.058212e-02
/out1 (OFF=0.2526846) Y,7.504328e-02,5.695542e-16,-7.011113e-06,1.748901e-01,3.058655e-02
/out1 (OFF=0.2555369) Y,7.504333e-02,6.865642e-16,-6.622967e-06,1.749037e-01,3.059132e-02
/out1 (OFF=0.2583893) Y,7.504339e-02,7.530821e-16,-8.060350e-06,1.749183e-01,3.059642e-02
/out1 (OFF=0.2612416) Y,7.504345e-02,8.654755e-16,-8.642367e-06,1.749340e-01,3.060190e-02
/out1 (OFF=0.264094) Y,7.504351e-02,9.943439e-16,-9.263057e-06,1.749508e-01,3.060777e-02
/out1 (OFF=0.2669463) Y,7.504357e-02,1.142117e-15,-9.927901e-06,1.749687e-01,3.061406e-02
/out1 (OFF=0.2697987) Y,7.504324e-02,2.475829e-11,7.894228e-04,1.749884e-01,3.062094e-02
/out1 (OFF=0.272651) Y,7.504372e-02,1.506055e-15,-1.140063e-05,1.750086e-01,3.062802e-02
/out1 (OFF=0.2755034) Y,7.504380e-02,1.761000e-15,-1.132037e-05,1.750307e-01,3.063576e-02
/out1 (OFF=0.2783557) Y,7.504389e-02,2.013955e-15,-1.224368e-05,1.750544e-01,3.064406e-02
/out1 (OFF=0.2812081) Y,7.504398e-02,2.311754e-15,-1.313280e-05,1.750798e-01,3.065295e-02
/out1 (OFF=0.2840604) Y,7.504408e-02,2.650513e-15,-1.413675e-05,1.751070e-01,3.066247e-02
/out1 (OFF=0.2869128) Y,7.504419e-02,3.014383e-15,-1.572613e-05,1.751362e-01,3.067268e-02
/out1 (OFF=0.2897651) Y,7.504430e-02,3.457069e-15,-1.727242e-05,1.751674e-01,3.068362e-02
/out1 (OFF=0.2926174) Y,7.504442e-02,3.974646e-15,-1.852038e-05,1.752009e-01,3.069536e-02
/out1 (OFF=0.2954698) Y,7.504456e-02,4.572210e-15,-1.986404e-05,1.752368e-01,3.070794e-02
/out1 (OFF=0.2983221) Y,7.504470e-02,5.295400e-15,-2.041518e-05,1.752753e-01,3.072144e-02
/out1 (OFF=0.3011745) Y,7.504485e-02,6.087890e-15,-2.208966e-05,1.753166e-01,3.073590e-02
/out1 (OFF=0.3040268) Y,7.504501e-02,7.013645e-15,-2.380918e-05,1.753610e-01,3.075148e-02
/out1 (OFF=0.3068792) Y,7.504519e-02,8.094824e-15,-2.557994e-05,1.754086e-01,3.076819e-02
/out1 (OFF=0.3097315) Y,7.504537e-02,9.348580e-15,-2.757012e-05,1.754598e-01,3.078614e-02
/out1 (OFF=0.3125839) Y,7.504558e-02,1.081044e-14,-2.974045e-05,1.755148e-01,3.080545e-02
/out1 (OFF=0.3154362) Y,7.504579e-02,1.252986e-14,-3.194418e-05,1.755740e-01,3.082623e-02
/out1 (OFF=0.3182886) Y,7.504603e-02,1.453511e-14,-3.448130e-05,1.756377e-01,3.084860e-02
/out1 (OFF=0.3211409) Y,7.504628e-02,1.689159e-14,-3.724624e-05,1.757063e-01,3.087272e-02
/out1 (OFF=0.3239933) Y,7.504655e-02,1.966844e-14,-4.026793e-05,1.757804e-01,3.089874e-02
/out1 (OFF=0.3268456) Y,7.504685e-02,2.296474e-14,-4.339834e-05,1.758603e-01,3.092684e-02
/out1 (OFF=0.329698) Y,7.504716e-02,2.680901e-14,-4.809861e-05,1.759466e-01,3.095722e-02
/out1 (OFF=0.3325503) Y,7.504751e-02,3.147519e-14,-5.118564e-05,1.760400e-01,3.099010e-02
/out1 (OFF=0.3354027) Y,7.504788e-02,3.697221e-14,-5.646296e-05,1.761413e-01,3.102575e-02
/out1 (OFF=0.338255) Y,7.504829e-02,4.360529e-14,-6.133546e-05,1.762510e-01,3.106442e-02
/out1 (OFF=0.3411074) Y,7.504872e-02,5.192287e-14,-6.386702e-05,1.763704e-01,3.110651e-02
/out1 (OFF=0.3439597) Y,7.504920e-02,6.125475e-14,-7.270208e-05,1.765002e-01,3.115232e-02
/out1 (OFF=0.3468121) Y,7.504972e-02,7.299823e-14,-7.936418e-05,1.766417e-01,3.120231e-02
/out1 (OFF=0.3496644) Y,7.505030e-02,8.734497e-14,-8.681151e-05,1.767963e-01,3.125695e-02
/out1 (OFF=0.3525168) Y,7.505091e-02,1.345891e-13,-6.761946e-05,1.769656e-01,3.131683e-02
/out1 (OFF=0.3553691) Y,7.505161e-02,1.267599e-13,-1.039976e-04,1.771513e-01,3.138258e-02
/out1 (OFF=0.3582215) Y,7.505236e-02,1.538133e-13,-1.151910e-04,1.773554e-01,3.145496e-02
/out1 (OFF=0.3610738) Y,7.505301e-02,4.993218e-12,2.248846e-04,1.775808e-01,3.153496e-02
/out1 (OFF=0.3639262) Y,7.505411e-02,2.304003e-13,-1.409875e-04,1.778296e-01,3.162340e-02
/out1 (OFF=0.3667785) Y,7.505513e-02,2.846412e-13,-1.567041e-04,1.781058e-01,3.172171e-02
/out1 (OFF=0.3696309) Y,7.505627e-02,3.540953e-13,-1.747566e-04,1.784133e-01,3.183132e-02
/out1 (OFF=0.3724832) Y,7.505754e-02,4.438252e-13,-1.951775e-04,1.787567e-01,3.195398e-02
/out1 (OFF=0.3753356) Y,7.505897e-02,5.607756e-13,-2.198264e-04,1.791418e-01,3.209181e-02
/out1 (OFF=0.3781879) Y,7.506057e-02,7.148351e-13,-2.477401e-04,1.795755e-01,3.224741e-02
/out1 (OFF=0.3810403) Y,7.506239e-02,9.198534e-13,-2.816592e-04,1.800662e-01,3.242392e-02
/out1 (OFF=0.3838926) Y,7.506446e-02,1.195973e-12,-3.210586e-04,1.806243e-01,3.262524e-02
/out1 (OFF=0.386745) Y,7.506683e-02,1.572495e-12,-3.673360e-04,1.812626e-01,3.285624e-02
/out1 (OFF=0.3895973) Y,7.506955e-02,2.092611e-12,-4.239983e-04,1.819968e-01,3.312300e-02
