FeaturesParamTransientACPAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3895973) Y,7.703616e-02,2.676290e-11,-1.519885e-03,2.321667e-01,5.390463e-02
/out0 (OFF=0.3924497) Y,7.704684e-02,2.937974e-11,-1.591293e-03,2.359509e-01,5.567658e-02
/out0 (OFF=0.395302) Y,7.705803e-02,3.222849e-11,-1.666335e-03,2.400325e-01,5.761997e-02
/out0 (OFF=0.3981544) Y,7.706975e-02,3.532635e-11,-1.746202e-03,2.444436e-01,5.975782e-02
/out0 (OFF=0.4010067) Y,7.708202e-02,3.869205e-11,-1.827496e-03,2.492213e-01,6.211729e-02
/out0 (OFF=0.4038591) Y,7.709485e-02,4.234455e-11,-1.911810e-03,2.544069e-01,6.473002e-02
/out0 (OFF=0.4067114) Y,7.710828e-02,4.630380e-11,-1.999193e-03,2.600468e-01,6.763280e-02
/out0 (OFF=0.4095638) Y,7.712231e-02,5.059080e-11,-2.088116e-03,2.661916e-01,7.086799e-02
/out0 (OFF=0.4124161) Y,7.713698e-02,5.522664e-11,-2.181756e-03,2.728946e-01,7.448343e-02
/out0 (OFF=0.4152685) Y,7.715230e-02,6.023374e-11,-2.278823e-03,2.802095e-01,7.853161e-02
/out0 (OFF=0.4181208) Y,7.716796e-02,8.251362e-11,-1.720719e-03,2.881849e-01,8.306744e-02
/out0 (OFF=0.4209732) Y,7.718491e-02,7.242157e-11,-2.326557e-03,2.968559e-01,8.814331e-02
/out0 (OFF=0.4238255) Y,7.720240e-02,7.771439e-11,-2.589998e-03,3.062385e-01,9.380517e-02
/out0 (OFF=0.4266779) Y,7.722056e-02,8.444085e-11,-2.699762e-03,3.163213e-01,1.000857e-01
/out0 (OFF=0.4295302) Y,7.723948e-02,9.165787e-11,-2.812772e-03,3.270662e-01,1.070022e-01
/out0 (OFF=0.4323826) Y,7.725917e-02,9.941935e-11,-2.902878e-03,3.384152e-01,1.145579e-01
/out0 (OFF=0.4352349) Y,7.727970e-02,1.076629e-10,-3.048481e-03,3.503023e-01,1.227477e-01
/out0 (OFF=0.4380872) Y,7.730105e-02,1.165018e-10,-3.166584e-03,3.626637e-01,1.315636e-01
/out0 (OFF=0.4409396) Y,7.732325e-02,1.259280e-10,-3.295270e-03,3.754420e-01,1.409979e-01
/out0 (OFF=0.4437919) Y,7.734632e-02,1.359692e-10,-3.424185e-03,3.885994e-01,1.510529e-01
/out0 (OFF=0.4466443) Y,7.737029e-02,1.466479e-10,-3.556140e-03,4.020958e-01,1.617266e-01
/out0 (OFF=0.4494966) Y,7.739518e-02,1.579874e-10,-3.691148e-03,4.159032e-01,1.730230e-01
/out0 (OFF=0.452349) Y,7.742101e-02,1.700101e-10,-3.828669e-03,4.300095e-01,1.849577e-01
/out0 (OFF=0.4552013) Y,7.744779e-02,1.827371e-10,-3.969863e-03,4.443816e-01,1.975264e-01
/out0 (OFF=0.4580537) Y,7.747539e-02,1.999551e-10,-3.804867e-03,4.590088e-01,2.107422e-01
/out0 (OFF=0.460906) Y,7.750429e-02,2.103855e-10,-4.259715e-03,4.738845e-01,2.246214e-01
/out0 (OFF=0.4637584) Y,7.753406e-02,2.253434e-10,-4.410391e-03,4.889924e-01,2.391702e-01
/out0 (OFF=0.4666107) Y,7.756486e-02,2.410802e-10,-4.561795e-03,5.043207e-01,2.543976e-01
