FeaturesParamTransientACNPA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3667785) Y,2.867581e-01,1.118473e-06,-3.106933e-01,8.733902e-09,9.473745e-17
/out0 (OFF=0.3696309) Y,2.889602e-01,1.268353e-06,-3.308549e-01,9.541677e-09,1.126993e-16
/out0 (OFF=0.3724832) Y,2.913063e-01,1.441285e-06,-3.524512e-01,1.296528e-07,2.149667e-12
/out0 (OFF=0.3753356) Y,2.938090e-01,1.641514e-06,-3.763365e-01,3.733516e-08,1.016616e-13
/out0 (OFF=0.3781879) Y,2.964816e-01,1.874268e-06,-4.021859e-01,1.253517e-08,1.963110e-16
/out0 (OFF=0.3810403) Y,2.993393e-01,2.145939e-06,-4.303452e-01,1.383009e-08,2.366475e-16
/out0 (OFF=0.3838926) Y,3.023995e-01,2.464411e-06,-4.611710e-01,1.531753e-08,2.907983e-16
/out0 (OFF=0.386745) Y,3.056818e-01,2.839447e-06,-4.950160e-01,1.701689e-08,3.592412e-16
/out0 (OFF=0.3895973) Y,3.092082e-01,3.283179e-06,-5.322875e-01,1.907696e-08,4.503965e-16
/out0 (OFF=0.3924497) Y,3.130039e-01,3.810715e-06,-5.734539e-01,1.123447e-07,1.247066e-12
/out0 (OFF=0.395302) Y,3.170974e-01,4.440878e-06,-6.190505e-01,2.387801e-08,7.068908e-16
/out0 (OFF=0.3981544) Y,3.215214e-01,5.197066e-06,-6.696795e-01,2.708277e-08,9.085884e-16
/out0 (OFF=0.4010067) Y,3.263126e-01,6.108158e-06,-7.260045e-01,3.072018e-08,1.172431e-15
/out0 (OFF=0.4038591) Y,3.315126e-01,7.209274e-06,-7.887269e-01,3.504787e-08,1.523492e-15
/out0 (OFF=0.4067114) Y,3.371677e-01,8.541961e-06,-8.585337e-01,4.019321e-08,2.003111e-15
/out0 (OFF=0.4095638) Y,3.433286e-01,1.015292e-05,-9.359947e-01,4.625603e-08,2.655665e-15
/out0 (OFF=0.4124161) Y,3.500487e-01,1.208980e-05,-1.021206e+00,1.429421e-07,1.225371e-12
/out0 (OFF=0.4152685) Y,3.573818e-01,1.439189e-05,-1.114410e+00,6.154233e-08,4.704207e-15
/out0 (OFF=0.4181208) Y,3.653761e-01,1.707441e-05,-1.213860e+00,7.193788e-08,6.403221e-15
/out0 (OFF=0.4209732) Y,3.740675e-01,2.010788e-05,-1.317325e+00,8.332768e-08,8.942967e-15
/out0 (OFF=0.4238255) Y,3.834712e-01,2.340292e-05,-1.421226e+00,9.184165e-08,1.043504e-14
/out0 (OFF=0.4266779) Y,3.935757e-01,2.681634e-05,-1.521292e+00,1.571249e-07,4.710968e-13
/out0 (OFF=0.4295302) Y,4.043427e-01,3.018707e-05,-1.614222e+00,1.170925e-07,1.942391e-14
/out0 (OFF=0.4323826) Y,4.157142e-01,3.338549e-05,-1.697622e+00,1.208220e-07,1.808914e-14
/out0 (OFF=0.4352349) Y,4.276241e-01,3.634399e-05,-1.771114e+00,1.992623e-07,7.847925e-13
/out0 (OFF=0.4380872) Y,4.400088e-01,3.905416e-05,-1.836110e+00,1.345401e-07,2.243896e-14
/out0 (OFF=0.4409396) Y,4.528133e-01,4.154367e-05,-1.893726e+00,9.010012e-05,1.200761e-08
/out0 (OFF=0.4437919) Y,4.659932e-01,4.385249e-05,-1.945635e+00,2.053450e-04,5.430823e-08
/out0 (OFF=0.4466443) Y,4.795138e-01,4.601850e-05,-1.993104e+00,2.403381e-04,7.377090e-08
/out0 (OFF=0.4494966) Y,4.933480e-01,4.807173e-05,-2.037081e+00,1.829168e-04,4.367940e-08
/out0 (OFF=0.452349) Y,5.074741e-01,5.003367e-05,-2.078175e+00,1.041860e-03,1.348471e-06
/out0 (OFF=0.4552013) Y,5.218745e-01,5.191851e-05,-2.117017e+00,1.006645e-03,1.259516e-06
/out0 (OFF=0.4580537) Y,5.365339e-01,5.373489e-05,-2.153731e+00,1.580082e-07,3.141718e-14
/out0 (OFF=0.460906) Y,5.514387e-01,5.548736e-05,-2.188570e+00,1.575654e-07,3.076793e-14
/out0 (OFF=0.4637584) Y,5.665766e-01,5.717761e-05,-2.221655e+00,1.582433e-07,3.103382e-14
/out0 (OFF=0.4666107) Y,5.819358e-01,5.880525e-05,-2.253055e+00,1.585865e-07,3.114435e-14
/out0 (OFF=0.4694631) Y,5.975047e-01,6.036842e-05,-2.282804e+00,1.599723e-07,3.159110e-14
/out0 (OFF=0.4723154) Y,6.132722e-01,6.186423e-05,-2.310914e+00,1.611179e-07,3.217422e-14
/out0 (OFF=0.4751678) Y,6.292269e-01,6.328902e-05,-2.337375e+00,1.622324e-07,3.261764e-14
/out0 (OFF=0.4780201) Y,6.453574e-01,6.463856e-05,-2.362136e+00,1.771896e-07,6.399001e-14
/out0 (OFF=0.4808725) Y,6.616523e-01,6.590825e-05,-2.385253e+00,1.630307e-07,3.294252e-14
/out0 (OFF=0.4837248) Y,6.780996e-01,6.709318e-05,-2.406600e+00,1.626784e-07,3.279446e-14
/out0 (OFF=0.4865772) Y,6.946872e-01,6.818828e-05,-2.426161e+00,1.619780e-07,3.251674e-14
/out0 (OFF=0.4894295) Y,7.114028e-01,6.918838e-05,-2.443889e+00,1.609044e-07,3.207558e-14
/out0 (OFF=0.4922819) Y,7.282336e-01,7.008831e-05,-2.459733e+00,1.594973e-07,3.151932e-14
/out0 (OFF=0.4951342) Y,7.451664e-01,7.088302e-05,-2.473639e+00,1.577074e-07,3.082036e-14
/out0 (OFF=0.4979866) Y,7.621879e-01,7.156766e-05,-2.485558e+00,1.555869e-07,3.000107e-14
/out0 (OFF=0.5008389) Y,7.792841e-01,7.213768e-05,-2.495437e+00,1.531652e-07,2.907012e-14
/out0 (OFF=0.5036913) Y,7.964409e-01,7.258885e-05,-2.503229e+00,1.504196e-07,2.803588e-14
/out0 (OFF=0.5065436) Y,8.136438e-01,7.291761e-05,-2.508892e+00,1.475789e-07,2.698597e-14
/out0 (OFF=0.509396) Y,8.308782e-01,7.312096e-05,-2.512388e+00,1.446500e-07,2.592879e-14
/out0 (OFF=0.5122483) Y,8.481289e-01,7.319679e-05,-2.513691e+00,1.417668e-07,2.490088e-14
/out0 (OFF=0.5151007) Y,8.653810e-01,7.314399e-05,-2.512785e+00,1.391263e-07,2.398030e-14
/out0 (OFF=0.517953) Y,8.826193e-01,7.296212e-05,-2.509659e+00,1.366988e-07,2.314990e-14
/out0 (OFF=0.5208054) Y,8.998284e-01,7.265180e-05,-2.504316e+00,1.344535e-07,2.239743e-14
/out0 (OFF=0.5236577) Y,9.169932e-01,7.221471e-05,-2.496772e+00,1.323436e-07,2.170311e-14
/out0 (OFF=0.5265101) Y,9.340988e-01,7.165345e-05,-2.487050e+00,1.303529e-07,2.105178e-14
/out0 (OFF=0.5293624) Y,9.511302e-01,7.097146e-05,-2.475185e+00,1.283864e-07,2.042436e-14
/out0 (OFF=0.5322148) Y,9.680729e-01,7.017276e-05,-2.461218e+00,1.263923e-07,1.979470e-14
/out0 (OFF=0.5350671) Y,9.849127e-01,6.926170e-05,-2.445188e+00,1.243650e-07,1.916058e-14
/out0 (OFF=0.5379195) Y,1.001635e+00,6.824245e-05,-2.427130e+00,1.221907e-07,1.849480e-14
/out0 (OFF=0.5407718) Y,1.018227e+00,6.711842e-05,-2.407058e+00,1.199130e-07,1.781734e-14
/out0 (OFF=0.5436242) Y,1.034674e+00,6.589137e-05,-2.384954e+00,1.174848e-07,1.710347e-14
/out0 (OFF=0.5464765) Y,1.050962e+00,6.456021e-05,-2.360741e+00,1.148415e-07,1.634718e-14
/out0 (OFF=0.5493289) Y,1.067076e+00,6.311936e-05,-2.334251e+00,1.120084e-07,1.554685e-14
/out0 (OFF=0.5521812) Y,1.083000e+00,6.155650e-05,-2.305174e+00,1.089137e-07,1.469952e-14
/out0 (OFF=0.5550336) Y,1.098713e+00,5.984962e-05,-2.272995e+00,1.055380e-07,1.380246e-14
/out0 (OFF=0.5578859) Y,1.114192e+00,5.796371e-05,-2.236903e+00,1.018380e-07,1.285167e-14
/out0 (OFF=0.5607383) Y,1.129406e+00,5.584809e-05,-2.195728e+00,1.060739e-07,2.246960e-14
/out0 (OFF=0.5635906) Y,1.144314e+00,5.343755e-05,-2.147815e+00,9.411398e-08,1.091023e-14
/out0 (OFF=0.566443) Y,1.158863e+00,5.066279e-05,-2.091315e+00,8.784999e-08,9.567653e-15
/out0 (OFF=0.5692953) Y,1.172990e+00,4.747599e-05,-2.024472e+00,8.189196e-08,8.317036e-15
/out0 (OFF=0.5721477) Y,1.186619e+00,4.388933e-05,-1.946484e+00,7.535262e-08,7.043864e-15
/out0 (OFF=0.575) Y,1.199681e+00,4.006082e-05,-1.859529e+00,6.852463e-08,5.825571e-15
Stage 2 Output
/out1 (OFF=0.15) Y,7.504267e-02,5.597152e-18,-1.718084e-07,1.747226e-01,3.052800e-02
/out1 (OFF=0.1528523) Y,7.504268e-02,2.854209e-18,-4.961879e-07,1.747238e-01,3.052841e-02
/out1 (OFF=0.1557047) Y,7.504268e-02,3.357179e-18,-5.382656e-07,1.747245e-01,3.052865e-02
/out1 (OFF=0.158557) Y,7.504268e-02,3.506627e-17,3.120077e-07,1.747255e-01,3.052902e-02
/out1 (OFF=0.1614094) Y,7.504269e-02,4.637107e-18,-6.325987e-07,1.747267e-01,3.052941e-02
/out1 (OFF=0.1642617) Y,7.504269e-02,5.445191e-18,-6.855096e-07,1.747279e-01,3.052985e-02
/out1 (OFF=0.1671141) Y,7.504270e-02,6.390526e-18,-7.412688e-07,1.747293e-01,3.053031e-02
/out1 (OFF=0.1699664) Y,7.504270e-02,7.495147e-18,-8.043219e-07,1.747307e-01,3.053082e-02
/out1 (OFF=0.1728188) Y,7.504271e-02,8.785518e-18,-8.707377e-07,1.747323e-01,3.053137e-02
/out1 (OFF=0.1756711) Y,7.504271e-02,1.029163e-17,-9.424261e-07,1.747340e-01,3.053196e-02
/out1 (OFF=0.1785235) Y,7.504272e-02,1.204825e-17,-1.019700e-06,1.747358e-01,3.053261e-02
/out1 (OFF=0.1813758) Y,7.504273e-02,1.409555e-17,-1.102846e-06,1.747378e-01,3.053330e-02
/out1 (OFF=0.1842282) Y,7.504273e-02,4.765304e-17,-2.966892e-07,1.747400e-01,3.053406e-02
/out1 (OFF=0.1870805) Y,7.504274e-02,1.925454e-17,-1.288977e-06,1.747423e-01,3.053487e-02
/out1 (OFF=0.1899329) Y,7.504275e-02,1.485269e-15,4.749893e-06,1.747448e-01,3.053575e-02
/out1 (OFF=0.1927852) Y,7.504276e-02,1.669437e-15,5.006029e-06,1.747475e-01,3.053670e-02
/out1 (OFF=0.1956376) Y,7.504277e-02,3.058310e-17,-1.624352e-06,1.747505e-01,3.053772e-02
/out1 (OFF=0.1984899) Y,7.504279e-02,3.563331e-17,-1.752552e-06,1.747536e-01,3.053883e-02
/out1 (OFF=0.2013423) Y,7.504280e-02,4.148785e-17,-1.890984e-06,1.747570e-01,3.054002e-02
/out1 (OFF=0.2041946) Y,7.504281e-02,6.420195e-17,-1.401493e-06,1.747607e-01,3.054131e-02
/out1 (OFF=0.207047) Y,7.504283e-02,5.612903e-17,-2.218839e-06,1.747647e-01,3.054270e-02
/out1 (OFF=0.2098993) Y,7.504284e-02,6.519806e-17,-2.372081e-06,1.747690e-01,3.054420e-02
/out1 (OFF=0.2127517) Y,7.504286e-02,8.337605e-17,-2.112626e-06,1.747736e-01,3.054582e-02
/out1 (OFF=0.215604) Y,7.504288e-02,8.781011e-17,-2.752835e-06,1.747786e-01,3.054756e-02
/out1 (OFF=0.2184564) Y,7.504290e-02,1.017960e-16,-2.963901e-06,1.747840e-01,3.054943e-02
/out1 (OFF=0.2213087) Y,7.504292e-02,1.180099e-16,-3.146024e-06,1.747897e-01,3.055144e-02
/out1 (OFF=0.2241611) Y,7.504294e-02,1.365143e-16,-3.432325e-06,1.747959e-01,3.055362e-02
/out1 (OFF=0.2270134) Y,7.504296e-02,1.579233e-16,-3.691680e-06,1.748026e-01,3.055595e-02
/out1 (OFF=0.2298658) Y,7.504299e-02,1.825652e-16,-3.969262e-06,1.748098e-01,3.055846e-02
/out1 (OFF=0.2327181) Y,7.504302e-02,2.109112e-16,-4.266313e-06,1.748175e-01,3.056116e-02
/out1 (OFF=0.2355705) Y,7.504305e-02,2.434993e-16,-4.584075e-06,1.748258e-01,3.056406e-02
/out1 (OFF=0.2384228) Y,7.504308e-02,2.809458e-16,-4.924102e-06,1.748347e-01,3.056718e-02
/out1 (OFF=0.2412752) Y,7.504312e-02,3.242553e-16,-5.203389e-06,1.748443e-01,3.057053e-02
/out1 (OFF=0.2441275) Y,7.504315e-02,3.733291e-16,-5.675065e-06,1.748546e-01,3.057412e-02
/out1 (OFF=0.2469799) Y,7.504320e-02,4.299944e-16,-6.086763e-06,1.748656e-01,3.057797e-02
/out1 (OFF=0.2498322) Y,7.504324e-02,4.949967e-16,-6.536060e-06,1.748774e-01,3.058211e-02
/out1 (OFF=0.2526846) Y,7.504328e-02,5.695547e-16,-7.010750e-06,1.748901e-01,3.058655e-02
/out1 (OFF=0.2555369) Y,7.504333e-02,6.550516e-16,-7.518903e-06,1.749037e-01,3.059132e-02
/out1 (OFF=0.2583893) Y,7.504339e-02,7.530820e-16,-8.060350e-06,1.749183e-01,3.059642e-02
/out1 (OFF=0.2612416) Y,7.504345e-02,8.654757e-16,-8.642373e-06,1.749340e-01,3.060190e-02
/out1 (OFF=0.264094) Y,7.504351e-02,9.943435e-16,-9.263723e-06,1.749508e-01,3.060777e-02
/out1 (OFF=0.2669463) Y,7.504357e-02,1.142117e-15,-9.927900e-06,1.749687e-01,3.061406e-02
/out1 (OFF=0.2697987) Y,7.504364e-02,1.311605e-15,-1.063944e-05,1.749880e-01,3.062080e-02
/out1 (OFF=0.272651) Y,7.504372e-02,1.506056e-15,-1.140064e-05,1.750086e-01,3.062802e-02
/out1 (OFF=0.2755034) Y,7.504380e-02,1.729235e-15,-1.221641e-05,1.750307e-01,3.063576e-02
/out1 (OFF=0.2783557) Y,7.504389e-02,1.985515e-15,-1.309040e-05,1.750544e-01,3.064406e-02
/out1 (OFF=0.2812081) Y,7.504398e-02,2.311753e-15,-1.313276e-05,1.750798e-01,3.065295e-02
/out1 (OFF=0.2840604) Y,7.504408e-02,2.618577e-15,-1.503310e-05,1.751070e-01,3.066247e-02
/out1 (OFF=0.2869128) Y,7.504419e-02,3.010249e-15,-1.589631e-05,1.751362e-01,3.067268e-02
/out1 (OFF=0.2897651) Y,7.504430e-02,3.457069e-15,-1.727226e-05,1.751674e-01,3.068362e-02
/out1 (OFF=0.2926174) Y,7.504442e-02,3.974646e-15,-1.852041e-05,1.752009e-01,3.069536e-02
/out1 (OFF=0.2954698) Y,7.504456e-02,4.572312e-15,-1.982606e-05,1.752368e-01,3.070794e-02
/out1 (OFF=0.2983221) Y,7.504470e-02,5.263052e-15,-2.131235e-05,1.752753e-01,3.072144e-02
/out1 (OFF=0.3011745) Y,7.504485e-02,6.062925e-15,-2.287455e-05,1.753166e-01,3.073590e-02
/out1 (OFF=0.3040268) Y,7.504501e-02,6.990546e-15,-2.456213e-05,1.753610e-01,3.075148e-02
/out1 (OFF=0.3068792) Y,7.504519e-02,8.068237e-15,-2.638754e-05,1.754086e-01,3.076819e-02
/out1 (OFF=0.3097315) Y,7.504537e-02,9.322711e-15,-2.836476e-05,1.754598e-01,3.078614e-02
/out1 (OFF=0.3125839) Y,7.504558e-02,1.078604e-14,-3.050969e-05,1.755148e-01,3.080545e-02
/out1 (OFF=0.3154362) Y,7.504579e-02,1.249688e-14,-3.284023e-05,1.755740e-01,3.082623e-02
/out1 (OFF=0.3182886) Y,7.504603e-02,1.450201e-14,-3.537675e-05,1.756377e-01,3.084860e-02
/out1 (OFF=0.3211409) Y,7.504628e-02,1.685825e-14,-3.814239e-05,1.757063e-01,3.087272e-02
/out1 (OFF=0.3239933) Y,7.504655e-02,1.963492e-14,-4.116369e-05,1.757804e-01,3.089874e-02
/out1 (OFF=0.3268456) Y,7.504685e-02,2.291698e-14,-4.447092e-05,1.758603e-01,3.092684e-02
/out1 (OFF=0.329698) Y,7.504716e-02,2.680901e-14,-4.809866e-05,1.759466e-01,3.095722e-02
/out1 (OFF=0.3325503) Y,7.504751e-02,3.144042e-14,-5.208787e-05,1.760400e-01,3.099010e-02
/out1 (OFF=0.3354027) Y,7.504788e-02,3.697221e-14,-5.646297e-05,1.761413e-01,3.102575e-02
/out1 (OFF=0.338255) Y,7.504829e-02,4.360529e-14,-6.133563e-05,1.762510e-01,3.106442e-02
/out1 (OFF=0.3411074) Y,7.504872e-02,5.159283e-14,-6.672323e-05,1.763704e-01,3.110651e-02
/out1 (OFF=0.3439597) Y,7.504920e-02,6.125475e-14,-7.270211e-05,1.765002e-01,3.115232e-02
/out1 (OFF=0.3468121) Y,7.504972e-02,7.299822e-14,-7.936540e-05,1.766417e-01,3.120231e-02
/out1 (OFF=0.3496644) Y,7.505030e-02,8.734496e-14,-8.681393e-05,1.767963e-01,3.125695e-02
/out1 (OFF=0.3525168) Y,7.505092e-02,1.049681e-13,-9.515805e-05,1.769656e-01,3.131683e-02
/out1 (OFF=0.3553691) Y,7.505161e-02,1.267422e-13,-1.045722e-04,1.771513e-01,3.138258e-02
/out1 (OFF=0.3582215) Y,7.505236e-02,1.538134e-13,-1.151896e-04,1.773554e-01,3.145496e-02
/out1 (OFF=0.3610738) Y,7.505302e-02,4.788536e-12,2.173229e-04,1.775808e-01,3.153496e-02
/out1 (OFF=0.3639262) Y,7.505411e-02,2.304003e-13,-1.409875e-04,1.778296e-01,3.162340e-02
/out1 (OFF=0.3667785) Y,7.505513e-02,2.846412e-13,-1.567042e-04,1.781058e-01,3.172171e-02
/out1 (OFF=0.3696309) Y,7.505627e-02,3.540950e-13,-1.747763e-04,1.784133e-01,3.183132e-02
/out1 (OFF=0.3724832) Y,7.505754e-02,4.438252e-13,-1.951759e-04,1.787567e-01,3.195398e-02
/out1 (OFF=0.3753356) Y,7.505897e-02,5.607756e-13,-2.198265e-04,1.791418e-01,3.209181e-02
/out1 (OFF=0.3781879) Y,7.506057e-02,7.148353e-13,-2.477361e-04,1.795755e-01,3.224741e-02
/out1 (OFF=0.3810403) Y,7.506239e-02,9.198532e-13,-2.816656e-04,1.800662e-01,3.242392e-02
/out1 (OFF=0.3838926) Y,7.506446e-02,1.195969e-12,-3.211580e-04,1.806243e-01,3.262524e-02
/out1 (OFF=0.386745) Y,7.506683e-02,1.572424e-12,-3.682357e-04,1.812626e-01,3.285624e-02
/out1 (OFF=0.3895973) Y,7.506955e-02,2.092547e-12,-4.247747e-04,1.819968e-01,3.312300e-02
