FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.395302) Y,3.170974e-01,4.440878e-06,-6.190508e-01,2.372598e-10,7.634255e-20
/out0 (OFF=0.3981544) Y,3.215214e-01,5.197066e-06,-6.696798e-01,2.304923e-10,7.719140e-20
/out0 (OFF=0.4010067) Y,3.263126e-01,6.108158e-06,-7.260049e-01,2.522972e-10,8.496119e-20
/out0 (OFF=0.4038591) Y,3.315126e-01,7.209274e-06,-7.887274e-01,2.057784e-10,5.825130e-20
/out0 (OFF=0.4067114) Y,3.371677e-01,8.541961e-06,-8.585342e-01,2.531148e-10,8.878093e-20
/out0 (OFF=0.4095638) Y,3.433286e-01,1.015292e-05,-9.359953e-01,2.528648e-10,9.109012e-20
/out0 (OFF=0.4124161) Y,3.500488e-01,1.208979e-05,-1.021385e+00,2.962929e-10,4.586816e-19
/out0 (OFF=0.4152685) Y,3.573818e-01,1.439189e-05,-1.114410e+00,2.390666e-10,7.601108e-20
/out0 (OFF=0.4181208) Y,3.653761e-01,1.707441e-05,-1.213863e+00,2.707995e-10,9.495902e-20
/out0 (OFF=0.4209732) Y,3.740675e-01,2.010788e-05,-1.317331e+00,2.457240e-10,8.185263e-20
/out0 (OFF=0.4238255) Y,3.834712e-01,2.340292e-05,-1.421228e+00,2.860855e-10,1.033879e-19
/out0 (OFF=0.4266779) Y,3.935757e-01,2.681633e-05,-1.521402e+00,2.520173e-10,8.608875e-20
/out0 (OFF=0.4295302) Y,4.043427e-01,3.018707e-05,-1.614234e+00,2.704116e-10,9.736519e-20
/out0 (OFF=0.4323826) Y,4.157142e-01,3.338549e-05,-1.697624e+00,2.536605e-10,8.756208e-20
/out0 (OFF=0.4352349) Y,4.276242e-01,3.634398e-05,-1.771256e+00,2.581955e-10,8.894682e-20
/out0 (OFF=0.4380872) Y,4.400088e-01,3.905418e-05,-1.836128e+00,7.869056e-09,8.664303e-15
/out0 (OFF=0.4409396) Y,4.528133e-01,4.154369e-05,-1.893742e+00,8.995657e-05,1.197618e-08
/out0 (OFF=0.4437919) Y,4.659932e-01,4.385249e-05,-1.945638e+00,2.052039e-04,5.423483e-08
/out0 (OFF=0.4466443) Y,4.795138e-01,4.601850e-05,-1.993107e+00,2.401936e-04,7.368293e-08
/out0 (OFF=0.4494966) Y,4.933480e-01,4.807173e-05,-2.037084e+00,1.827661e-04,4.361097e-08
/out0 (OFF=0.452349) Y,5.074741e-01,5.003367e-05,-2.078237e+00,1.041678e-03,1.348077e-06
/out0 (OFF=0.4552013) Y,5.218745e-01,5.191851e-05,-2.117021e+00,1.006492e-03,1.259130e-06
