FeaturesParamTransientACAPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3097315) Y,1.845084e-01,5.506585e-12,-5.125519e-04,7.721980e-02,5.963004e-03
/out0 (OFF=0.3125839) Y,1.845130e-01,5.336569e-12,-6.771285e-04,7.790197e-02,6.068837e-03
/out0 (OFF=0.3154362) Y,1.845178e-01,5.899359e-12,-7.135742e-04,7.862445e-02,6.181939e-03
/out0 (OFF=0.3182886) Y,1.845228e-01,6.514383e-12,-7.498488e-04,7.938944e-02,6.302834e-03
/out0 (OFF=0.3211409) Y,1.845281e-01,7.185624e-12,-7.875348e-04,8.019933e-02,6.432102e-03
/out0 (OFF=0.3239933) Y,1.845337e-01,7.917475e-12,-8.266685e-04,8.105669e-02,6.570378e-03
/out0 (OFF=0.3268456) Y,1.845395e-01,8.714623e-12,-8.672870e-04,8.196427e-02,6.718355e-03
/out0 (OFF=0.329698) Y,1.845456e-01,9.582062e-12,-9.094282e-04,8.292500e-02,6.876793e-03
/out0 (OFF=0.3325503) Y,1.845520e-01,1.052512e-11,-9.531314e-04,8.394201e-02,7.046528e-03
/out0 (OFF=0.3354027) Y,1.845587e-01,1.154947e-11,-9.984372e-04,8.501870e-02,7.228478e-03
/out0 (OFF=0.338255) Y,1.845657e-01,1.266117e-11,-1.045387e-03,8.615869e-02,7.423656e-03
/out0 (OFF=0.3411074) Y,1.845730e-01,1.386667e-11,-1.094023e-03,8.736593e-02,7.633183e-03
/out0 (OFF=0.3439597) Y,1.845807e-01,1.517287e-11,-1.144391e-03,8.864466e-02,7.858299e-03
/out0 (OFF=0.3468121) Y,1.845887e-01,1.658711e-11,-1.196537e-03,8.999949e-02,8.100384e-03
/out0 (OFF=0.3496644) Y,1.845971e-01,1.811725e-11,-1.250511e-03,9.143544e-02,8.360973e-03
/out0 (OFF=0.3525168) Y,1.846059e-01,1.977171e-11,-1.306362e-03,9.295797e-02,8.641783e-03
/out0 (OFF=0.3553691) Y,1.846151e-01,2.155955e-11,-1.366258e-03,9.457304e-02,8.944736e-03
/out0 (OFF=0.3582215) Y,1.846246e-01,2.349020e-11,-1.424479e-03,9.628717e-02,9.271980e-03
/out0 (OFF=0.3610738) Y,1.846346e-01,2.557428e-11,-1.485744e-03,9.810772e-02,9.625983e-03
/out0 (OFF=0.3639262) Y,1.846450e-01,2.782283e-11,-1.549684e-03,1.000424e-01,1.000946e-02
/out0 (OFF=0.3667785) Y,1.846559e-01,3.024790e-11,-1.615810e-03,1.021002e-01,1.042555e-02
/out0 (OFF=0.3696309) Y,1.846672e-01,3.286250e-11,-1.684198e-03,1.042908e-01,1.087781e-02
/out0 (OFF=0.3724832) Y,1.846790e-01,3.568069e-11,-1.754929e-03,1.066250e-01,1.137030e-02
/out0 (OFF=0.3753356) Y,1.846913e-01,3.871779e-11,-1.828093e-03,1.091149e-01,1.190768e-02
/out0 (OFF=0.3781879) Y,1.847041e-01,4.199046e-11,-1.903788e-03,1.117743e-01,1.249533e-02
/out0 (OFF=0.3810403) Y,1.847175e-01,4.551692e-11,-1.982119e-03,1.146182e-01,1.313945e-02
/out0 (OFF=0.3838926) Y,1.847314e-01,4.931714e-11,-2.063204e-03,1.176641e-01,1.384727e-02
/out0 (OFF=0.386745) Y,1.847458e-01,5.341309e-11,-2.147174e-03,1.209313e-01,1.462718e-02
/out0 (OFF=0.3895973) Y,1.847609e-01,5.782902e-11,-2.234170e-03,1.244420e-01,1.548905e-02
/out0 (OFF=0.3924497) Y,1.847765e-01,6.259180e-11,-2.324352e-03,1.282212e-01,1.644444e-02
/out0 (OFF=0.395302) Y,1.847928e-01,6.773133e-11,-2.417898e-03,1.322977e-01,1.750706e-02
/out0 (OFF=0.3981544) Y,1.848097e-01,7.328096e-11,-2.515003e-03,1.367037e-01,1.869301e-02
/out0 (OFF=0.4010067) Y,1.848273e-01,7.927812e-11,-2.615890e-03,1.414760e-01,2.002148e-02
/out0 (OFF=0.4038591) Y,1.848456e-01,8.576490e-11,-2.720805e-03,1.466561e-01,2.151514e-02
/out0 (OFF=0.4067114) Y,1.848647e-01,9.278891e-11,-2.830026e-03,1.522904e-01,2.320080e-02
/out0 (OFF=0.4095638) Y,1.848845e-01,1.004042e-10,-2.943865e-03,1.584294e-01,2.510988e-02
/out0 (OFF=0.4124161) Y,1.849051e-01,1.086723e-10,-3.062677e-03,1.651265e-01,2.727869e-02
/out0 (OFF=0.4152685) Y,1.849266e-01,1.176639e-10,-3.186859e-03,1.724352e-01,2.974812e-02
/out0 (OFF=0.4181208) Y,1.849489e-01,1.274601e-10,-3.316866e-03,1.804040e-01,3.256246e-02
/out0 (OFF=0.4209732) Y,1.849721e-01,1.381550e-10,-3.453214e-03,1.890686e-01,3.576682e-02
/out0 (OFF=0.4238255) Y,1.849963e-01,1.498584e-10,-3.593266e-03,1.984446e-01,3.940337e-02
/out0 (OFF=0.4266779) Y,1.850216e-01,1.627103e-10,-3.768638e-03,2.085203e-01,4.350723e-02
/out0 (OFF=0.4295302) Y,1.850478e-01,1.768189e-10,-3.906630e-03,2.192578e-01,4.810383e-02
/out0 (OFF=0.4323826) Y,1.850752e-01,1.924048e-10,-4.074957e-03,2.305991e-01,5.320897e-02
/out0 (OFF=0.4352349) Y,1.851038e-01,2.096639e-10,-4.254002e-03,2.424782e-01,5.883159e-02
/out0 (OFF=0.4380872) Y,1.851337e-01,2.288488e-10,-4.444357e-03,2.548311e-01,6.497749e-02
/out0 (OFF=0.4409396) Y,1.851649e-01,2.502638e-10,-4.647636e-03,2.676004e-01,7.165106e-02
/out0 (OFF=0.4437919) Y,1.851975e-01,2.742785e-10,-4.865499e-03,2.807482e-01,7.886291e-02
/out0 (OFF=0.4466443) Y,1.852317e-01,3.013460e-10,-5.099906e-03,2.942343e-01,8.661933e-02
/out0 (OFF=0.4494966) Y,1.852676e-01,3.320258e-10,-5.353196e-03,3.080307e-01,9.493045e-02
/out0 (OFF=0.452349) Y,1.853053e-01,3.670159e-10,-5.628168e-03,3.221252e-01,1.038141e-01
/out0 (OFF=0.4552013) Y,1.853449e-01,4.071963e-10,-5.928209e-03,3.364844e-01,1.132730e-01
/out0 (OFF=0.4580537) Y,1.853868e-01,4.536883e-10,-6.257441e-03,3.510974e-01,1.233224e-01
/out0 (OFF=0.460906) Y,1.854310e-01,5.079386e-10,-6.620935e-03,3.659578e-01,1.339799e-01
/out0 (OFF=0.4637584) Y,1.854778e-01,5.718392e-10,-7.024989e-03,3.810487e-01,1.452545e-01
/out0 (OFF=0.4666107) Y,1.855276e-01,6.479006e-10,-7.477506e-03,3.963580e-01,1.571577e-01
/out0 (OFF=0.4694631) Y,1.855807e-01,7.395088e-10,-7.988531e-03,4.118739e-01,1.696996e-01
/out0 (OFF=0.4723154) Y,1.856375e-01,8.513127e-10,-8.570987e-03,4.275846e-01,1.828896e-01
/out0 (OFF=0.4751678) Y,1.856986e-01,9.898232e-10,-9.241745e-03,4.434783e-01,1.967354e-01
/out0 (OFF=0.4780201) Y,1.857647e-01,1.164360e-09,-1.002317e-02,4.595430e-01,2.112434e-01
/out0 (OFF=0.4808725) Y,1.858367e-01,1.388594e-09,-1.094540e-02,4.757661e-01,2.264183e-01
/out0 (OFF=0.4837248) Y,1.859156e-01,1.683117e-09,-1.204978e-02,4.921348e-01,2.422627e-01
/out0 (OFF=0.4865772) Y,1.860029e-01,2.079880e-09,-1.339407e-02,5.086356e-01,2.587771e-01
/out0 (OFF=0.4894295) Y,1.861005e-01,2.630052e-09,-1.506029e-02,5.252540e-01,2.759596e-01
/out0 (OFF=0.4922819) Y,1.862111e-01,3.418360e-09,-1.716793e-02,5.419747e-01,2.938052e-01
/out0 (OFF=0.4951342) Y,1.863382e-01,4.589760e-09,-1.989041e-02,5.587810e-01,3.123055e-01
/out0 (OFF=0.4979866) Y,1.864870e-01,6.399111e-09,-2.348202e-02,5.756542e-01,3.314476e-01
/out0 (OFF=0.5008389) Y,1.866646e-01,9.300268e-09,-2.823477e-02,5.925735e-01,3.512134e-01
/out0 (OFF=0.5036913) Y,1.868811e-01,1.407843e-08,-3.481830e-02,6.095146e-01,3.715781e-01
/out0 (OFF=0.5065436) Y,1.871497e-01,2.196701e-08,-4.349169e-02,6.264497e-01,3.925092e-01
/out0 (OFF=0.509396) Y,1.874857e-01,3.444058e-08,-5.446773e-02,6.433488e-01,4.139672e-01
/out0 (OFF=0.5122483) Y,1.879031e-01,5.231322e-08,-6.715247e-02,6.601831e-01,4.359106e-01
/out0 (OFF=0.5151007) Y,1.884093e-01,7.472283e-08,-8.028224e-02,6.769300e-01,4.583023e-01
/out0 (OFF=0.517953) Y,1.890034e-01,9.971172e-08,-9.275529e-02,6.935750e-01,4.811136e-01
/out0 (OFF=0.5208054) Y,1.896799e-01,1.259936e-07,-1.042717e-01,7.101087e-01,5.043207e-01
/out0 (OFF=0.5236577) Y,1.904330e-01,1.535040e-07,-1.150972e-01,7.265215e-01,5.278988e-01
/out0 (OFF=0.5265101) Y,1.912588e-01,1.823831e-07,-1.254631e-01,7.428023e-01,5.518195e-01
/out0 (OFF=0.5293624) Y,1.921537e-01,2.117901e-07,-1.352056e-01,7.589400e-01,5.760529e-01
/out0 (OFF=0.5322148) Y,1.931127e-01,2.407441e-07,-1.441510e-01,7.749248e-01,6.005702e-01
/out0 (OFF=0.5350671) Y,1.941317e-01,2.700873e-07,-1.526806e-01,7.907468e-01,6.253409e-01
/out0 (OFF=0.5379195) Y,1.952095e-01,3.015589e-07,-1.613293e-01,8.063928e-01,6.503284e-01
/out0 (OFF=0.5407718) Y,1.963482e-01,3.364707e-07,-1.704113e-01,8.218471e-01,6.754902e-01
/out0 (OFF=0.5436242) Y,1.975513e-01,3.757632e-07,-1.800860e-01,8.370923e-01,7.007795e-01
/out0 (OFF=0.5464765) Y,1.988232e-01,4.202943e-07,-1.904575e-01,8.521097e-01,7.261452e-01
/out0 (OFF=0.5493289) Y,2.001690e-01,4.709930e-07,-2.016168e-01,8.668792e-01,7.515319e-01
/out0 (OFF=0.5521812) Y,2.015944e-01,5.289430e-07,-2.136622e-01,8.813784e-01,7.768783e-01
/out0 (OFF=0.5550336) Y,2.031060e-01,5.954528e-07,-2.266936e-01,8.955814e-01,8.021142e-01
/out0 (OFF=0.5578859) Y,2.047108e-01,6.721416e-07,-2.408482e-01,9.094568e-01,8.271575e-01
