FeaturesParamTransientACPPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3496644) Y,7.692999e-02,6.756722e-12,-7.621802e-04,1.991026e-01,3.964237e-02
/out0 (OFF=0.3525168) Y,7.693504e-02,2.444410e-11,-1.421989e-04,2.006288e-01,4.025253e-02
/out0 (OFF=0.3553691) Y,7.694104e-02,8.288361e-12,-8.443153e-04,2.022471e-01,4.090456e-02
/out0 (OFF=0.3582215) Y,7.694699e-02,9.171028e-12,-8.893352e-04,2.039648e-01,4.160241e-02
/out0 (OFF=0.3610738) Y,7.695325e-02,1.016817e-11,-9.098539e-04,2.057891e-01,4.235002e-02
/out0 (OFF=0.3639262) Y,7.695985e-02,1.120753e-11,-9.835487e-04,2.077276e-01,4.315175e-02
/out0 (OFF=0.3667785) Y,7.696677e-02,1.237787e-11,-1.033628e-03,2.097894e-01,4.401268e-02
/out0 (OFF=0.3696309) Y,7.697404e-02,1.366176e-11,-1.085913e-03,2.119840e-01,4.493845e-02
/out0 (OFF=0.3724832) Y,7.698127e-02,4.081843e-11,-3.250826e-04,2.143227e-01,4.593566e-02
/out0 (OFF=0.3753356) Y,7.698971e-02,1.661158e-11,-1.193677e-03,2.168166e-01,4.701104e-02
/out0 (OFF=0.3781879) Y,7.699812e-02,1.831076e-11,-1.239442e-03,2.194803e-01,4.817345e-02
/out0 (OFF=0.3810403) Y,7.700697e-02,2.014383e-11,-1.317122e-03,2.223288e-01,4.943219e-02
/out0 (OFF=0.3838926) Y,7.701624e-02,2.216032e-11,-1.381504e-03,2.253792e-01,5.079823e-02
/out0 (OFF=0.386745) Y,7.702597e-02,2.436163e-11,-1.450096e-03,2.286512e-01,5.228417e-02
/out0 (OFF=0.3895973) Y,7.703590e-02,3.712840e-11,-1.003143e-03,2.321670e-01,5.390476e-02
/out0 (OFF=0.3924497) Y,7.704684e-02,2.937974e-11,-1.591286e-03,2.359509e-01,5.567658e-02
/out0 (OFF=0.395302) Y,7.705803e-02,3.222849e-11,-1.666334e-03,2.400325e-01,5.761997e-02
/out0 (OFF=0.3981544) Y,7.706975e-02,3.532655e-11,-1.744656e-03,2.444436e-01,5.975782e-02
/out0 (OFF=0.4010067) Y,7.708202e-02,3.869222e-11,-1.826164e-03,2.492213e-01,6.211729e-02
/out0 (OFF=0.4038591) Y,7.709485e-02,4.234476e-11,-1.910251e-03,2.544069e-01,6.473002e-02
