FeaturesParamTransientACAPA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.5578859) Y,2.047108e-01,6.721416e-07,-2.408482e-01,9.094568e-01,8.271575e-01
/out0 (OFF=0.5607383) Y,2.064173e-01,7.610672e-07,-2.562839e-01,9.229655e-01,8.519087e-01
/out0 (OFF=0.5635906) Y,2.082348e-01,8.649300e-07,-2.732101e-01,9.360576e-01,8.762443e-01
/out0 (OFF=0.566443) Y,2.101746e-01,9.874221e-07,-2.919118e-01,9.486693e-01,9.000107e-01
/out0 (OFF=0.5692953) Y,2.122503e-01,1.133859e-06,-3.128036e-01,9.607219e-01,9.230204e-01
/out0 (OFF=0.5721477) Y,2.144791e-01,1.312323e-06,-3.365122e-01,9.721244e-01,9.450557e-01
/out0 (OFF=0.575) Y,2.168836e-01,1.535739e-06,-3.640169e-01,9.827844e-01,9.658909e-01
Stage 2 Output
/out1 (OFF=0.15) Y,7.503512e-02,8.567808e-23,8.347614e-10,1.747302e-01,3.053064e-02
/out1 (OFF=0.1528523) Y,7.503512e-02,4.375385e-21,9.956858e-09,1.747314e-01,3.053105e-02
/out1 (OFF=0.1557047) Y,7.503512e-02,6.097034e-24,-7.231106e-10,1.747321e-01,3.053129e-02
/out1 (OFF=0.158557) Y,7.503512e-02,7.606212e-24,-7.770923e-10,1.747331e-01,3.053166e-02
/out1 (OFF=0.1614094) Y,7.503508e-02,2.057135e-13,7.286545e-05,1.747343e-01,3.053207e-02
/out1 (OFF=0.1642617) Y,7.503510e-02,7.504640e-14,4.400835e-05,1.747355e-01,3.053250e-02
/out1 (OFF=0.1671141) Y,7.503512e-02,4.620469e-22,2.413949e-09,1.747368e-01,3.053296e-02
/out1 (OFF=0.1699664) Y,7.503512e-02,1.365380e-23,-1.074069e-09,1.747383e-01,3.053347e-02
/out1 (OFF=0.1728188) Y,7.503512e-02,1.588769e-23,-1.089226e-09,1.747399e-01,3.053402e-02
/out1 (OFF=0.1756711) Y,7.503512e-02,1.856601e-23,-1.250307e-09,1.747416e-01,3.053462e-02
/out1 (OFF=0.1785235) Y,7.503512e-02,2.144512e-23,-1.356562e-09,1.747434e-01,3.053526e-02
/out1 (OFF=0.1813758) Y,7.503512e-02,2.518722e-23,-1.441985e-09,1.747454e-01,3.053596e-02
/out1 (OFF=0.1842282) Y,7.503512e-02,2.955587e-23,-1.575451e-09,1.747476e-01,3.053672e-02
/out1 (OFF=0.1870805) Y,7.503512e-02,4.608083e-20,3.275858e-08,1.747499e-01,3.053753e-02
/out1 (OFF=0.1899329) Y,7.503512e-02,4.006228e-23,-1.845728e-09,1.747524e-01,3.053842e-02
/out1 (OFF=0.1927852) Y,7.503512e-02,4.626394e-23,-1.938083e-09,1.747552e-01,3.053937e-02
/out1 (OFF=0.1956376) Y,7.503512e-02,5.377041e-23,-2.147592e-09,1.747581e-01,3.054040e-02
/out1 (OFF=0.1984899) Y,7.503512e-02,6.255680e-23,-2.255745e-09,1.747613e-01,3.054151e-02
/out1 (OFF=0.2013423) Y,7.503512e-02,7.235736e-23,-2.480615e-09,1.747647e-01,3.054271e-02
/out1 (OFF=0.2041946) Y,7.503512e-02,1.085139e-17,5.264639e-07,1.747684e-01,3.054400e-02
/out1 (OFF=0.207047) Y,7.503512e-02,9.698062e-23,-2.894447e-09,1.747724e-01,3.054540e-02
/out1 (OFF=0.2098993) Y,7.503512e-02,1.137587e-22,-3.105346e-09,1.747767e-01,3.054690e-02
/out1 (OFF=0.2127517) Y,7.503512e-02,1.296360e-22,-3.336300e-09,1.747814e-01,3.054852e-02
/out1 (OFF=0.215604) Y,7.503512e-02,1.496245e-22,-3.594200e-09,1.747864e-01,3.055027e-02
/out1 (OFF=0.2184564) Y,7.503512e-02,1.728041e-22,-3.852857e-09,1.747917e-01,3.055215e-02
/out1 (OFF=0.2213087) Y,7.503512e-02,1.985391e-22,-4.138654e-09,1.747975e-01,3.055417e-02
/out1 (OFF=0.2241611) Y,7.503512e-02,2.286507e-22,-4.439600e-09,1.748038e-01,3.055635e-02
/out1 (OFF=0.2270134) Y,7.503512e-02,2.626358e-22,-4.757402e-09,1.748105e-01,3.055869e-02
/out1 (OFF=0.2298658) Y,7.503512e-02,3.012797e-22,-5.101134e-09,1.748177e-01,3.056121e-02
/out1 (OFF=0.2327181) Y,7.503512e-02,3.454866e-22,-5.461031e-09,1.748254e-01,3.056392e-02
/out1 (OFF=0.2355705) Y,7.503512e-02,3.956984e-22,-5.834622e-09,1.748337e-01,3.056684e-02
/out1 (OFF=0.2384228) Y,7.503512e-02,4.530163e-22,-6.257744e-09,1.748427e-01,3.056996e-02
/out1 (OFF=0.2412752) Y,7.503512e-02,5.164814e-22,-6.671808e-09,1.748523e-01,3.057332e-02
/out1 (OFF=0.2441275) Y,7.503512e-02,5.892525e-22,-7.129281e-09,1.748626e-01,3.057693e-02
/out1 (OFF=0.2469799) Y,7.503512e-02,6.712656e-22,-7.608669e-09,1.748737e-01,3.058080e-02
/out1 (OFF=0.2498322) Y,7.503512e-02,7.638754e-22,-8.122815e-09,1.748855e-01,3.058495e-02
/out1 (OFF=0.2526846) Y,7.503512e-02,1.580027e-21,-4.374726e-09,1.748983e-01,3.058941e-02
/out1 (OFF=0.2555369) Y,7.503512e-02,9.856139e-22,-9.229925e-09,1.749119e-01,3.059419e-02
/out1 (OFF=0.2583893) Y,7.503512e-02,1.117283e-21,-9.821519e-09,1.749266e-01,3.059931e-02
/out1 (OFF=0.2612416) Y,7.503512e-02,1.264342e-21,-1.044752e-08,1.749423e-01,3.060481e-02
/out1 (OFF=0.264094) Y,7.503512e-02,1.462330e-21,-1.203987e-08,1.749591e-01,3.061070e-02
/out1 (OFF=0.2669463) Y,7.503512e-02,1.614368e-21,-1.180019e-08,1.749772e-01,3.061701e-02
/out1 (OFF=0.2697987) Y,7.503512e-02,1.820078e-21,-1.252083e-08,1.749965e-01,3.062378e-02
/out1 (OFF=0.272651) Y,7.503512e-02,2.049518e-21,-1.329499e-08,1.750172e-01,3.063103e-02
/out1 (OFF=0.2755034) Y,7.503512e-02,2.306087e-21,-1.409519e-08,1.750394e-01,3.063880e-02
/out1 (OFF=0.2783557) Y,7.503512e-02,2.589712e-21,-1.494349e-08,1.750632e-01,3.064713e-02
/out1 (OFF=0.2812081) Y,7.503512e-02,2.905918e-21,-1.582077e-08,1.750887e-01,3.065605e-02
/out1 (OFF=0.2840604) Y,7.503512e-02,3.255447e-21,-1.675825e-08,1.751160e-01,3.066561e-02
/out1 (OFF=0.2869128) Y,7.503512e-02,3.643157e-21,-1.772154e-08,1.751452e-01,3.067586e-02
/out1 (OFF=0.2897651) Y,7.503512e-02,4.071678e-21,-1.873802e-08,1.751766e-01,3.068684e-02
/out1 (OFF=0.2926174) Y,7.503512e-02,4.545233e-21,-1.980639e-08,1.752102e-01,3.069862e-02
/out1 (OFF=0.2954698) Y,7.503512e-02,5.067162e-21,-2.090648e-08,1.752463e-01,3.071125e-02
/out1 (OFF=0.2983221) Y,7.503512e-02,5.642861e-21,-2.206546e-08,1.752849e-01,3.072480e-02
/out1 (OFF=0.3011745) Y,7.503502e-02,1.436602e-12,1.925649e-04,1.753264e-01,3.073935e-02
/out1 (OFF=0.3040268) Y,7.503512e-02,6.970994e-21,-2.452003e-08,1.753709e-01,3.075494e-02
/out1 (OFF=0.3068792) Y,7.503512e-02,7.734781e-21,-2.583453e-08,1.754187e-01,3.077172e-02
/out1 (OFF=0.3097315) Y,7.503512e-02,8.932454e-20,1.844285e-08,1.754700e-01,3.078974e-02
/out1 (OFF=0.3125839) Y,7.503512e-02,9.490063e-21,-2.861747e-08,1.755253e-01,3.080912e-02
/out1 (OFF=0.3154362) Y,7.503512e-02,1.049358e-20,-3.009275e-08,1.755847e-01,3.082997e-02
/out1 (OFF=0.3182886) Y,7.503512e-02,1.159120e-20,-3.162549e-08,1.756486e-01,3.085243e-02
/out1 (OFF=0.3211409) Y,7.503512e-02,1.278821e-20,-3.322099e-08,1.757175e-01,3.087664e-02
/out1 (OFF=0.3239933) Y,7.503512e-02,1.410155e-20,-3.448632e-08,1.757918e-01,3.090276e-02
/out1 (OFF=0.3268456) Y,7.503512e-02,1.552026e-20,-3.659626e-08,1.758720e-01,3.093096e-02
/out1 (OFF=0.329698) Y,7.503512e-02,1.707138e-20,-3.838330e-08,1.759587e-01,3.096145e-02
/out1 (OFF=0.3325503) Y,7.503512e-02,1.875833e-20,-4.022920e-08,1.760524e-01,3.099446e-02
/out1 (OFF=0.3354027) Y,7.503512e-02,2.058940e-20,-4.215966e-08,1.761540e-01,3.103024e-02
/out1 (OFF=0.338255) Y,7.503512e-02,2.257883e-20,-4.401430e-08,1.762642e-01,3.106906e-02
/out1 (OFF=0.3411074) Y,7.503512e-02,3.031125e-17,8.378233e-07,1.763840e-01,3.111130e-02
/out1 (OFF=0.3439597) Y,7.503512e-02,2.708146e-20,-4.834497e-08,1.765143e-01,3.115729e-02
/out1 (OFF=0.3468121) Y,7.503512e-02,2.962020e-20,-5.057060e-08,1.766563e-01,3.120746e-02
/out1 (OFF=0.3496644) Y,7.503512e-02,3.236384e-20,-5.285080e-08,1.768115e-01,3.126232e-02
/out1 (OFF=0.3525168) Y,7.503513e-02,3.533899e-20,-5.523033e-08,1.769814e-01,3.132242e-02
/out1 (OFF=0.3553691) Y,7.503513e-02,3.855416e-20,-5.768636e-08,1.771677e-01,3.138842e-02
/out1 (OFF=0.3582215) Y,7.503513e-02,4.202901e-20,-6.022950e-08,1.773727e-01,3.146107e-02
/out1 (OFF=0.3610738) Y,7.503513e-02,4.578077e-20,-6.286257e-08,1.775987e-01,3.154131e-02
/out1 (OFF=0.3639262) Y,7.503513e-02,4.983270e-20,-6.558145e-08,1.778486e-01,3.163015e-02
/out1 (OFF=0.3667785) Y,7.503513e-02,5.421155e-20,-6.839043e-08,1.781259e-01,3.172884e-02
/out1 (OFF=0.3696309) Y,7.503513e-02,5.893514e-20,-7.133029e-08,1.784344e-01,3.183886e-02
/out1 (OFF=0.3724832) Y,7.503513e-02,6.403117e-20,-7.433404e-08,1.787791e-01,3.196199e-02
/out1 (OFF=0.3753356) Y,7.503513e-02,6.952384e-20,-7.745080e-08,1.791656e-01,3.210035e-02
/out1 (OFF=0.3781879) Y,7.503513e-02,7.545287e-20,-8.070300e-08,1.796009e-01,3.225655e-02
/out1 (OFF=0.3810403) Y,7.503513e-02,8.184746e-20,-8.405122e-08,1.800935e-01,3.243374e-02
/out1 (OFF=0.3838926) Y,7.503513e-02,8.874921e-20,-8.751755e-08,1.806537e-01,3.263584e-02
/out1 (OFF=0.386745) Y,7.503513e-02,9.619673e-20,-9.111214e-08,1.812943e-01,3.286773e-02
