/Aout X,/Aout YRe,/Aout YReImag,/Bout X,/Bout YRe,/Bout YReImag,/Cout X,/Cout YRe,/Cout YReImag,/Vin X,/Vin YRe,/Vin YReImag
113333333.3333334,-0.001975299619616146,-0.004207011652405146,113333333.3333334,-0.003749260875124041,0.003978255262095812,113333333.3333334,0.0005557140398172112,6.206191550634008e-05,113333333.3333334,0.005,0
120000000,-0.002048118467938185,-0.003871074619830844,120000000,-0.002983616146872297,0.003839346624727362,120000000,0.0004643872071866761,-9.567692113985676e-06,120000000,0.005,0
126666666.6666667,-0.002102864093094648,-0.003563191098224644,126666666.6666667,-0.00233756040034024,0.003664340949151192,126666666.6666667,0.0003846836852326204,-5.795349575769466e-05,126666666.6666667,0.005,0
133333333.3333334,-0.002142670828965952,-0.00327991614215967,133333333.3333334,-0.00179202171904446,0.003466838117711278,133333333.3333334,0.0003158059692464716,-8.944603584368801e-05,133333333.3333334,0.005,0
140000000,-0.002169984701709389,-0.003018371966206651,140000000,-0.001331390414099131,0.003256489736728482,140000000,0.0002567187163867766,-0.0001086504042895477,140000000,0.005,0
146666666.6666667,-0.002186743473978619,-0.00277614606562411,146666666.6666667,-0.0009428259069239633,0.00304019614108776,146666666.6666667,0.0002063344466064219,-0.0001189347957245392,146666666.6666667,0.005,0
153333333.3333333,-0.002194505299671383,-0.002551206669119385,153333333.3333333,-0.0006156995366580319,0.002822915286890494,153333333.3333333,0.0001636046765129105,-0.0001227826361586724,153333333.3333333,0.005,0
160000000,-0.002194541448323737,-0.002341833430479329,160000000,-0.0003411531020324274,0.002608215577167053,160000000,0.0001275606937978834,-0.0001220379475227763,160000000,0.005,0
166666666.6666667,-0.00218790372400518,-0.002146561022058553,166666666.6666667,-0.0001117516821181243,0.002398658162398003,166666666.6666667,9.73280119793792e-05,-0.0001180777264478213,166666666.6666667,0.005,0
173333333.3333333,-0.002175473928370204,-0.001964133407789697,173333333.3333333,7.878862299949693e-05,0.00219606460543436,173333333.3333333,7.212753129555654e-05,-0.0001119342075054256,173333333.3333333,0.005,0
180000000,-0.002158000486087986,-0.001793466834886386,180000000,0.0002358142612962212,0.002001706734325015,180000000,5.127040390658633e-05,-0.0001043824940818914,180000000,0.005,0
186666666.6666666,-0.002136125820627924,-0.001633619883784198,186666666.6666666,0.0003639021899748921,0.001816443145560612,186666666.6666666,3.415030258399181e-05,-9.600406886425818e-05,186666666.6666666,0.005,0
193333333.3333333,-0.002110407013606874,-0.001483769204764698,193333333.3333333,0.0004669925369390573,0.001640818743360194,193333333.3333333,2.023499225602745e-05,-8.723335531877966e-05,193333333.3333333,0.005,0
199999999.9999999,-0.002081331548452701,-0.001343189825133337,199999999.9999999,0.000548493974589402,0.001475138380913303,199999999.9999999,9.058129601981198e-06,-7.839225280168672e-05,199999999.9999999,0.005,0
206666666.6666666,-0.002049329427783287,-0.001211239127465624,206666666.6666666,0.0006113679830216964,0.001319522140079419,206666666.6666666,2.116965652878237e-07,-6.971604862105065e-05,206666666.6666666,0.005,0
213333333.3333333,-0.002014782594419792,-0.001087343777897347,213333333.3333333,0.0006581967433095563,0.001173947426729805,213333333.3333333,-6.660795839264815e-06,-6.137307865498306e-05,213333333.3333333,0.005,0
