/Cout X,/Cout Y,/Bout X,/Bout Y,/Aout X,/Aout Y
0.1400000000000001,0.249668679212587,0.1400000000000001,0.2497626659940513,0.1400000000000001,0.2512818124779778
0.1440000000000001,0.2496687375801311,0.1440000000000001,0.2497636261148765,0.1440000000000001,0.2512970604310076
0.1480000000000001,0.2496688030685315,0.1480000000000001,0.2497647033454189,0.1480000000000001,0.2513141618780012
0.1520000000000001,0.2496688765110573,0.1520000000000001,0.2497659113828638,0.1520000000000001,0.2513333319429088
0.1560000000000001,0.2496689588324244,0.1560000000000001,0.2497672654261563,0.1560000000000001,0.2513548089069703
0.1600000000000001,0.2496690510579074,0.1600000000000001,0.2497687823246399,0.1600000000000001,0.2513788563935331
0.1640000000000001,0.249669154323177,0.1640000000000001,0.2497704807393716,0.1640000000000001,0.2514057657096812
0.1680000000000001,0.2496692698849932,0.1680000000000001,0.2497723813176711,0.1680000000000001,0.2514358583487476
0.1720000000000001,0.2496693991327458,0.1720000000000001,0.2497745068819532,0.1720000000000001,0.2514694886568087
0.1760000000000001,0.2496695436009912,0.1760000000000001,0.2497768826337832,0.1760000000000001,0.2515070466652681
0.1800000000000001,0.2496697049829503,0.1800000000000001,0.2497795363741858,0.1800000000000001,0.251548961090679
0.1840000000000001,0.249669885145108,0.1840000000000001,0.2497824987414299,0.1840000000000001,0.2515957025019134
0.1880000000000001,0.2496700861430464,0.1880000000000001,0.2497858034676396,0.1880000000000001,0.2516477866538306
0.1920000000000001,0.2496703102384372,0.1920000000000001,0.2497894876557896,0.1920000000000001,0.2517057779856794
0.1960000000000001,0.2496705599176029,0.1960000000000001,0.2497935920789192,0.1960000000000001,0.2517702932819237
0.2000000000000001,0.2496708379114441,0.2000000000000001,0.249798161503687,0.2000000000000001,0.251842005492826
0.2040000000000002,0.2496711472172195,0.2040000000000002,0.2498032450408749,0.2040000000000002,0.2519216477121421
0.2080000000000002,0.2496714911221636,0.2080000000000002,0.2498088965258936,0.2080000000000002,0.252010017309915
0.2120000000000002,0.2496718732292554,0.2120000000000002,0.2498151749330185,0.2120000000000002,0.2521079802198007
0.2160000000000002,0.2496722974855134,0.2160000000000002,0.249822144827825,0.2160000000000002,0.2522164753820851
0.2200000000000002,0.249672768212988,0.2200000000000002,0.2498298768632754,0.2200000000000002,0.2523365193470579
0.2240000000000002,0.2496732901431074,0.2240000000000002,0.2498384483259751,0.2240000000000002,0.2524692110470453
0.2280000000000002,0.249673868454702,0.2280000000000002,0.2498479437405857,0.2280000000000002,0.2526157367510224
0.2320000000000002,0.2496745088164389,0.2320000000000002,0.2498584555418129,0.2320000000000002,0.2527773752222144
0.2360000000000002,0.2496752174344026,0.2360000000000002,0.2498700848256156,0.2360000000000002,0.2529555031070007
0.2400000000000002,0.2496760011057279,0.2400000000000002,0.2498829421931927,0.2400000000000002,0.2531516005932195
0.2440000000000002,0.2496768672793568,0.2440000000000002,0.2498971487044822,0.2440000000000002,0.2533672573866659
0.2480000000000002,0.2496778241252224,0.2480000000000002,0.2499128369607019,0.2480000000000002,0.2536041790676463
0.2520000000000002,0.2496788806134981,0.2520000000000002,0.2499301523396993,0.2520000000000002,0.253864193903461
0.2560000000000002,0.2496800466056698,0.2560000000000002,0.2499492544122708,0.2560000000000002,0.2541492602091273
0.2600000000000002,0.2496813329597919,0.2600000000000002,0.2499703185731211,0.2600000000000002,0.2544614743665065
0.2640000000000002,0.2496827516525746,0.2640000000000002,0.2499935379270507,0.2640000000000002,0.2548030796322152
0.2680000000000002,0.2496843159216379,0.2680000000000002,0.2500191254786365,0.2680000000000002,0.2551764758870852
0.2720000000000002,0.2496860404317726,0.2720000000000002,0.2500473166838653,0.2720000000000002,0.2555842305053103
0.2760000000000002,0.2496879414701359,0.2760000000000002,0.2500783724340779,0.2760000000000002,0.2560290905498923
0.2800000000000002,0.2496900371761666,0.2800000000000002,0.2501125825574378,0.2800000000000002,0.2565139965340799
0.2840000000000002,0.2496923478133746,0.2840000000000002,0.2501502699418008,0.2840000000000002,0.257042098026412
0.2880000000000002,0.2496948960919184,0.2880000000000002,0.2501917954060551,0.2880000000000002,0.2576167714222721
0.2920000000000002,0.249697707552789,0.2920000000000002,0.2502375634759921,0.2920000000000002,0.2582416402584433
0.2960000000000002,0.2497008110273869,0.2960000000000002,0.2502880292581793,0.2960000000000002,0.2589205985124037
0.3000000000000002,0.2497042391895318,0.3000000000000002,0.2503437066520569,0.3000000000000002,0.2596578374073624
0.3040000000000002,0.2497080292215695,0.3040000000000002,0.2504051782016195,0.3040000000000002,0.2604578763420605
0.3080000000000002,0.2497122236220417,0.3080000000000002,0.2504731069659388,0.3080000000000002,0.2613255986855822
0.3120000000000002,0.2497168711903226,0.3120000000000002,0.2505482508898828,0.3120000000000002,0.2622662933284972
0.3160000000000002,0.2497220282335869,0.3160000000000002,0.2506314802898905,0.3160000000000002,0.2632857030706491
0.3200000000000002,0.2497277600554603,0.3200000000000002,0.2507237992453987,0.3200000000000002,0.2643900811628043
0.3240000000000002,0.2497341428041039,0.3240000000000002,0.2508263719208684,0.3240000000000002,0.2655862576175315
0.3280000000000002,0.2497412657826668,0.3280000000000002,0.2509405551565033,0.3280000000000002,0.2668817172808354
0.3320000000000002,0.2497492343597297,0.3320000000000002,0.2510679390898529,0.3320000000000002,0.2682846921316266
0.3360000000000002,0.249758173665379,0.3360000000000002,0.2512103981478307,0.3360000000000002,0.2698042708799268
0.3400000000000002,0.2497682333263097,0.3400000000000002,0.2513701555447831,0.3400000000000002,0.2714505297025024
0.3440000000000003,0.2497795935894788,0.3440000000000003,0.2515498655282656,0.3440000000000003,0.2732346889351697
0.3480000000000003,0.2497924733224817,0.3480000000000003,0.2517527191703576,0.3480000000000003,0.2751693017959921
0.3520000000000003,0.2498071405817563,0.3520000000000003,0.2519825817153486,0.3520000000000003,0.277268482823581
0.3560000000000003,0.2498239267405491,0.3560000000000003,0.2522441726811219,0.3560000000000003,0.2795481857834978
0.3600000000000003,0.2498432456232357,0.3600000000000003,0.2525433045603214,0.3600000000000003,0.2820265434526564
0.3640000000000003,0.2498656197911178,0.3640000000000003,0.2528872028444655,0.3640000000000003,0.2847242850930703
0.3680000000000003,0.2498917172196708,0.3680000000000003,0.2532849404198423,0.3680000000000003,0.2876652517474131
0.3720000000000003,0.249922403361776,0.3720000000000003,0.2537480351351457,0.3720000000000003,0.2908770348900848
0.3760000000000003,0.2499588164680093,0.3760000000000003,0.2542912837774261,0.3760000000000003,0.2943917705108174
0.3800000000000003,0.2500024788792247,0.3800000000000003,0.2549339442895349,0.3800000000000003,0.2982471281474977
0.3840000000000003,0.2500554654000791,0.3840000000000003,0.2557014401877281,0.3840000000000003,0.3024875416731258
0.3880000000000003,0.250120664882157,0.3880000000000003,0.2566278631350898,0.3880000000000003,0.3071657328099346
0.3920000000000003,0.2502021990022143,0.3920000000000003,0.2577597205208069,0.3920000000000003,0.3123445719186657
0.3960000000000003,0.2503061160002372,0.3960000000000003,0.2591616670899687,0.3960000000000003,0.3180992858138888
0.4000000000000003,0.2504415857683665,0.4000000000000003,0.2609254689927604,0.4000000000000003,0.3245199182815579
0.4040000000000003,0.2506230536700546,0.4040000000000003,0.2631843517815622,0.4040000000000003,0.3317136852032971
0.4080000000000003,0.2508743318045222,0.4080000000000003,0.2661365093136679,0.4080000000000003,0.3398062581671624
0.4120000000000003,0.2512368699620662,0.4120000000000003,0.2700845284937946,0.4120000000000003,0.3489397515028178
0.4160000000000003,0.2517877975883083,0.4160000000000003,0.2755031916022605,0.4160000000000003,0.3592630717603389
0.4200000000000003,0.2526833159526107,0.4200000000000003,0.2831605343027233,0.4200000000000003,0.3709084612695355
0.4240000000000003,0.2542778508876323,0.4240000000000003,0.2943506833082655,0.4240000000000003,0.3839519411859057
0.4280000000000003,0.2575584721861028,0.4280000000000003,0.3114611645061856,0.4280000000000003,0.3983737803932036
0.4320000000000003,0.2658461740277992,0.4320000000000003,0.3390622852222027,0.4320000000000003,0.4140500267507587
