"/out0 (R0=500,Rf0=1000) X","/out0 (R0=500,Rf0=1000) Y","/out0 (R0=1500,Rf0=3000) X","/out0 (R0=1500,Rf0=3000) Y","/out0 (R0=2500,Rf0=5000) X","/out0 (R0=2500,Rf0=5000) Y","/out0 (R0=3750,Rf0=7500) X","/out0 (R0=3750,Rf0=7500) Y","/out0 (R0=5000,Rf0=10000) X","/out0 (R0=5000,Rf0=10000) Y","/out0 (R0=7500,Rf0=15000) X","/out0 (R0=7500,Rf0=15000) Y","/out0 (R0=8750,Rf0=17500) X","/out0 (R0=8750,Rf0=17500) Y","/out0 (R0=10000,Rf0=20000) X","/out0 (R0=10000,Rf0=20000) Y","/out0 (R0=12500,Rf0=25000) X","/out0 (R0=12500,Rf0=25000) Y","/out0 (R0=13750,Rf0=27500) X","/out0 (R0=13750,Rf0=27500) Y","/out0 (R0=15000,Rf0=30000) X","/out0 (R0=15000,Rf0=30000) Y","/out0 (R0=17500,Rf0=35000) X","/out0 (R0=17500,Rf0=35000) Y","/out0 (R0=18750,Rf0=37500) X","/out0 (R0=18750,Rf0=37500) Y","/out0 (R0=20000,Rf0=40000) X","/out0 (R0=20000,Rf0=40000) Y"
0.1066666666666667,0.03605502732795857,0.1066666666666667,0.07751078856679604,0.1066666666666667,0.1019111601387,0.1066666666666667,0.1217932605590261,0.1066666666666667,0.1354613008784439,0.1066666666666667,0.1532989262983689,0.1066666666666667,0.1594952045134788,0.1066666666666667,0.1645639901025817,0.1066666666666667,0.1723811171988615,0.1066666666666667,0.1754643612695247,0.1066666666666667,0.1781444835559114,0.1066666666666667,0.1825787607116282,0.1066666666666667,0.1844349823530808,0.1066666666666667,0.1861006873070928
0.1173333333333334,0.03605503190453583,0.1173333333333334,0.07751080906838953,0.1173333333333334,0.1019111954627194,0.1173333333333334,0.1217933112779084,0.1173333333333334,0.1354613641264875,0.1173333333333334,0.1532990086348806,0.1173333333333334,0.1594952942969244,0.1173333333333334,0.16456408632389,0.1173333333333334,0.1723812240048352,0.1173333333333334,0.1754644724835094,0.1173333333333334,0.1781445987148781,0.1173333333333334,0.1825788826392805,0.1173333333333334,0.1844351072071814,0.1173333333333334,0.1861008148356941
0.128,0.03605503816632365,0.128,0.07751083711923909,0.128,0.1019112437940371,0.128,0.1217933806729186,0.128,0.1354614506642495,0.128,0.1532991212900141,0.128,0.1594954171411618,0.128,0.1645642179765846,0.128,0.1723813701397591,0.128,0.1754646246495964,0.128,0.1781447562785954,0.128,0.1825790494641011,0.128,0.1844352780360445,0.128,0.186100989323882
0.1386666666666667,0.03605504670885528,0.1386666666666667,0.07751087538720847,0.1386666666666667,0.1019113097293674,0.1386666666666667,0.1217934753441036,0.1386666666666667,0.1354615687221955,0.1386666666666667,0.1532992749782064,0.1386666666666667,0.1594955847296818,0.1386666666666667,0.1645643975819091,0.1386666666666667,0.1723815695022408,0.1386666666666667,0.1754648322399947,0.1386666666666667,0.1781449712326297,0.1386666666666667,0.1825792770524458,0.1386666666666667,0.1844355110868403,0.1386666666666667,0.1861012273668527
0.1493333333333333,0.03605505832384495,0.1493333333333333,0.07751092741904916,0.1493333333333333,0.1019113993797553,0.1493333333333333,0.1217936040658219,0.1493333333333333,0.1354617292422138,0.1493333333333333,0.1532994839436042,0.1493333333333333,0.1594958125949353,0.1493333333333333,0.164564641786045,0.1493333333333333,0.172381840569564,0.1493333333333333,0.175465114494558,0.1493333333333333,0.1781452634992928,0.1493333333333333,0.1825795864975743,0.1493333333333333,0.1844358279590896,0.1493333333333333,0.1861015510268034
0.16,0.03605507405601713,0.16,0.07751099789502658,0.16,0.1019115208092969,0.16,0.1217937784166576,0.16,0.1354619466631387,0.16,0.1532997669826662,0.16,0.159496121233388,0.16,0.1645649725551034,0.16,0.172382207724128,0.16,0.1754654968019477,0.16,0.1781456593678084,0.16,0.1825800056338676,0.16,0.1844362571552177,0.16,0.1861019894166867
0.1706666666666667,0.03605509527237835,0.1706666666666667,0.07751109293932767,0.1706666666666667,0.1019116845699871,0.1706666666666667,0.1217940135473601,0.1706666666666667,0.1354622398783908,0.1706666666666667,0.1533001486907603,0.1706666666666667,0.1594965374648745,0.1706666666666667,0.1645654186319488,0.1706666666666667,0.1723827028704803,0.1706666666666667,0.1754660123833987,0.1706666666666667,0.1781461932377828,0.1706666666666667,0.1825805708827374,0.1706666666666667,0.1844368359707681,0.1706666666666667,0.1861025806309186
0.1813333333333333,0.03605512374473083,0.1813333333333333,0.07751122048984661,0.1813333333333333,0.1019119043388886,0.1813333333333333,0.1217943290957055,0.1813333333333333,0.1354626333767989,0.1813333333333333,0.1533006609472511,0.1813333333333333,0.159497096051951,0.1813333333333333,0.1645660172716414,0.1813333333333333,0.1723833673616221,0.1813333333333333,0.1754667042984888,0.1813333333333333,0.1781469096961054,0.1813333333333333,0.1825813294515793,0.1813333333333333,0.1844376127460995,0.1813333333333333,0.1861033740452825
0.192,0.03605516174535306,0.192,0.07751139072705142,0.192,0.1019121976571108,0.192,0.1217947502475182,0.192,0.1354631585656959,0.192,0.1533013446377845,0.192,0.1594978415779239,0.192,0.164566816254058,0.192,0.1723842542329196,0.192,0.1754676277712255,0.192,0.1781478659255108,0.192,0.1825823418838135,0.192,0.1844386494776218,0.192,0.1861044329840831
0.2026666666666666,0.03605521215454163,0.2026666666666666,0.07751161655617793,0.2026666666666666,0.1019125867606903,0.2026666666666666,0.1217953089296466,0.2026666666666666,0.1354638552585285,0.2026666666666666,0.1533022515906833,0.2026666666666666,0.159498830558273,0.2026666666666666,0.1645678761466416,0.2026666666666666,0.1723854307136271,0.2026666666666666,0.1754688528051336,0.2026666666666666,0.1781491344123519,0.2026666666666666,0.1825836849257157,0.2026666666666666,0.1844400247533722,0.2026666666666666,0.1861058377185397
