/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
266666666.6666665,-0.009450119647715267,-0.002718151958927695,266666666.6666665,6.050174169273908e-06,1.016850529187952e-05,266666666.6666665,0.025,0
273333333.3333332,-0.009232911005589334,-0.002297517357576154,273333333.3333332,6.093835965513483e-06,9.534394515708144e-06,273333333.3333332,0.025,0
279999999.9999999,-0.009010895849662116,-0.001901830317798083,279999999.9999999,6.132453780295785e-06,8.919789566852807e-06,279999999.9999999,0.025,0
286666666.6666666,-0.008785022927413176,-0.001529945897941315,286666666.6666666,6.162589159195813e-06,8.32441923033432e-06,286666666.6666666,0.025,0
293333333.3333333,-0.008556162582464695,-0.001180772055919361,293333333.3333333,6.181795235882193e-06,7.748288295723243e-06,293333333.3333333,0.025,0
299999999.9999999,-0.00832511254182821,-0.0008532656271029459,299999999.9999999,6.188428283389938e-06,7.191562754498281e-06,299999999.9999999,0.025,0
306666666.6666666,-0.008092603206388604,-0.0005464288987289805,306666666.6666666,6.18149076964134e-06,6.654486650751391e-06,306666666.6666666,0.025,0
313333333.3333333,-0.007859302508109865,-0.0002593066657343218,313333333.3333333,6.160500847634512e-06,6.137322939085168e-06,313333333.3333333,0.025,0
320000000,-0.007625820384502007,9.01632361017396e-06,320000000,6.125384023312765e-06,5.640312493384491e-06,320000000,0.025,0
326666666.6666667,-0.007392712911639928,0.0002594176056792857,326666666.6666667,6.07638342649782e-06,5.163646775190413e-06,326666666.6666667,0.025,0
333333333.3333334,-0.007160486129571537,0.0004927389812786925,333333333.3333334,6.01398568195248e-06,4.707450715383644e-06,333333333.3333334,0.025,0
340000000.0000001,-0.006929599588772555,0.0007097882837869237,340000000.0000001,5.938859857554221e-06,4.271773165059374e-06,340000000.0000001,0.025,0
346666666.6666667,-0.006700469642115049,0.0009113409727659261,346666666.6666667,5.851807368856006e-06,3.856582889063261e-06,346666666.6666667,0.025,0
353333333.3333334,-0.006473472503508382,0.001098141582446674,353333333.3333334,5.753721056776698e-06,3.46176855149977e-06,353333333.3333334,0.025,0
360000000.0000001,-0.006248947092071361,0.001270905048848087,360000000.0000001,5.645551939037663e-06,3.087141510437795e-06,360000000.0000001,0.025,0
366666666.6666668,-0.006027197678496569,0.001430317934317423,366666666.6666668,5.528282373889692e-06,2.732440522814929e-06,366666666.6666668,0.025,0
373333333.3333335,-0.005808496348715507,0.001577039564711478,373333333.3333335,5.402904574942988e-06,2.397337680532943e-06,373333333.3333335,0.025,0
380000000.0000002,-0.005593085298536946,0.001711703091357738,380000000.0000002,5.270403584344759e-06,2.081445068332053e-06,380000000.0000002,0.025,0
386666666.6666669,-0.005381178971840346,0.001834916487812522,386666666.6666669,5.131743953246581e-06,1.784321765295589e-06,386666666.6666669,0.025,0
393333333.3333336,-0.005172966053763131,0.001947263489337632,393333333.3333336,4.987859497730242e-06,1.505480912931202e-06,393333333.3333336,0.025,0
400000000.0000002,-0.004968611329496266,0.002049304481772046,400000000.0000002,4.839645598953559e-06,1.244396650572661e-06,400000000.0000002,0.025,0
406666666.6666669,-0.004768257418437131,0.002141577345250422,406666666.6666669,4.687953600884288e-06,1.000510778436933e-06,406666666.6666669,0.025,0
413333333.3333336,-0.004572026392747321,0.002224598257314398,413333333.3333336,4.53358693041556e-06,7.732390543382724e-07,413333333.3333336,0.025,0
420000000.0000003,-0.004380021288590274,0.002298862459229705,420000000.0000003,4.377298624816734e-06,5.619770644862483e-07,420000000.0000003,0.025,0
426666666.666667,-0.004192327517793251,0.002364844988747069,426666666.666667,4.219790002285263e-06,3.661056348910859e-07,426666666.666667,0.025,0
433333333.3333337,-0.004009014187028911,0.002423001382179202,433333333.3333337,4.061710254209222e-06,1.849957690696044e-07,433333333.3333337,0.025,0
440000000.0000004,-0.003830135331069804,0.002473768348075471,440000000.0000004,3.903656773834787e-06,1.801311239055249e-08,440000000.0000004,0.025,0
446666666.666667,-0.003655731066185872,0.002517564414748247,446666666.666667,3.746176066598677e-06,-1.35478046853482e-07,446666666.666667,0.025,0
453333333.3333337,-0.003485828669275854,0.002554790553386889,453333333.3333337,3.589765113082633e-06,-2.76111221900998e-07,453333333.3333337,0.025,0
460000000.0000004,-0.003320443587867357,0.002585830778508894,460000000.0000004,3.434873077273317e-06,-4.04514595154592e-07,460000000.0000004,0.025,0
466666666.6666671,-0.00315958038575489,0.002611052727179258,466666666.6666671,3.281903271125787e-06,-5.213082834955084e-07,466666666.6666671,0.025,0
473333333.3333338,-0.003003233628627278,0.002630808218315447,473333333.3333338,3.1312153018292e-06,-6.271019740044226e-07,473333333.3333338,0.025,0
480000000.0000005,-0.002851388713724517,0.002645433793302582,480000000.0000005,2.983127341247098e-06,-7.22492902179324e-07,480000000.0000005,0.025,0
486666666.6666672,-0.002704022647215361,0.002655251238995136,486666666.6666672,2.837918467920736e-06,-8.08064144692169e-07,486666666.6666672,0.025,0
493333333.3333338,-0.002561104772730818,0.002660568094088457,493333333.3333338,2.69583104126567e-06,-8.843831993650139e-07,493333333.3333338,0.025,0
500000000.0000005,-0.002422597454172754,0.00266167813973246,500000000.0000005,2.557073075302958e-06,-9.520008259460446e-07,500000000.0000005,0.025,0
506666666.6666672,-0.002288456715715646,0.002658861875229616,506666666.6666672,2.421820585858173e-06,-1.011450122489469e-06,506666666.6666672,0.025,0
513333333.3333339,-0.002158632841644377,0.002652386979559006,513333333.3333339,2.290219890514643e-06,-1.063245813572064e-06,513333333.3333339,0.025,0
520000000.0000006,-0.002033070938528824,0.002642508759360956,520000000.0000006,2.16238984525687e-06,-1.10788372797392e-06,520000000.0000006,0.025,0
526666666.6666673,-0.001911711461975923,0.002629470584013339,526666666.6666673,2.038424005490182e-06,-1.145840445024399e-06,526666666.6666673,0.025,0
533333333.333334,-0.00179449071007588,0.002613504308391135,533333333.333334,1.918392702346613e-06,-1.177573090377242e-06,533333333.333334,0.025,0
540000000.0000006,-0.001681341285496952,0.002594830683735187,540000000.0000006,1.802345027783297e-06,-1.203519263327398e-06,540000000.0000006,0.025,0
546666666.6666672,-0.00157219252802189,0.00257365975716457,546666666.6666672,1.690310724169209e-06,-1.224097079451909e-06,546666666.6666672,0.025,0
553333333.3333338,-0.001466970919213609,0.002550191260178141,553333333.3333338,1.582301975850137e-06,-1.239705313526582e-06,553333333.3333338,0.025,0
560000000.0000005,-0.001365600460756451,0.002524614986585094,560000000.0000005,1.478315101662683e-06,-1.250723629178297e-06,560000000.0000005,0.025,0
566666666.6666671,-0.001268003027947504,0.002497111160133159,566666666.6666671,1.378332148508488e-06,-1.25751288283415e-06,566666666.6666671,0.025,0
573333333.3333337,-0.001174098699670755,0.002467850792205527,573333333.3333337,1.282322387138369e-06,-1.260415490811787e-06,573333333.3333337,0.025,0
580000000.0000004,-0.001083806066154365,0.002436996029802916,580000000.0000004,1.190243711971067e-06,-1.259755849388284e-06,580000000.0000004,0.025,0
586666666.666667,-0.0009970425156668821,0.00240470049411709,586666666.666667,1.102043947466899e-06,-1.25584079877901e-06,586666666.666667,0.025,0
593333333.3333336,-0.0009137245013094842,0.002371109609881403,593333333.3333336,1.017662063941913e-06,-1.248960122833665e-06,593333333.3333336,0.025,0
600000000.0000002,-0.0008337677889352626,0.002336360925714272,600000000.0000002,9.370293061409758e-07,-1.23938707714341e-06,600000000.0000002,0.025,0
606666666.6666669,-0.0007570876871955909,0.00230058442566538,606666666.6666669,8.600702380824021e-07,-1.227378939061916e-06,606666666.6666669,0.025,0
613333333.3333335,-0.0006835992606548303,0.002263902832113083,613333333.3333335,7.867037078940335e-07,-1.213177573836043e-06,613333333.3333335,0.025,0
620000000.0000001,-0.0006132175268687022,0.002226431900181475,620000000.0000001,7.168437364309493e-07,-1.197010011730123e-06,620000000.0000001,0.025,0
626666666.6666667,-0.0005458576382693101,0.002188280703826188,626666666.6666667,6.504003335684351e-07,-1.179089031633048e-06,626666666.6666667,0.025,0
633333333.3333334,-0.0004814350496562452,0.002149551913733003,633333333.3333334,5.872802460001476e-07,-1.159613747184923e-06,633333333.3333334,0.025,0
640000000,-0.0004198656720621365,0.002110342067148724,640000000,5.273876404108341e-07,-1.138770191959118e-06,640000000,0.025,0
646666666.6666666,-0.0003610660137184883,0.002070741829786749,646666666.6666666,4.706247257732805e-07,-1.116731900707087e-06,646666666.6666666,0.025,0
653333333.3333333,-0.0003049533088361322,0.002030836249899249,653333333.3333333,4.168923184988475e-07,-1.093660484050979e-06,653333333.3333333,0.025,0
